Sleep_Stage,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4
NREM,0.0251,0.87415,4.24585,1.99805,0.74927
NREM,0.02143,1.1239,4.12098,1.99805,1.37366
NREM,0.21885,0.49951,2.2478,0.99902,0.49951
NREM,0.00829,0.99902,5.49463,2.49756,0.74927
NREM,0.01209,1.24878,4.74537,2.49756,0.62439
NREM,0.00744,1.1239,5.61951,2.62244,0.99902
NREM,0.01191,1.62341,4.37073,2.37268,1.87317
NREM,0.00826,1.37366,5.36976,2.74732,1.1239
NREM,0.00979,1.24878,4.99512,2.37268,1.1239
NREM,0.00331,1.49854,6.11902,3.24683,0.49951
NREM,0.00851,1.24878,4.99512,2.62244,0.74927
NREM,0.012,0.99902,4.49561,2.2478,0.74927
NREM,0.00933,1.37366,5.12,2.62244,1.37366
NREM,0.00675,1.37366,5.12,2.99707,1.37366
NREM,0.00245,0.74927,7.3678,2.8722,0.62439
NREM,0.00459,0.62439,5.61951,1.99805,0.62439
NREM,0.00234,0.62439,6.2439,1.99805,0.37463
NREM,0.00125,0.87415,6.61854,3.24683,0.74927
NREM,0.00317,1.37366,5.74439,2.8722,0.49951
NREM,0.00119,0.99902,6.86829,3.37171,0.62439
NREM,0.00689,0.49951,5.61951,1.62341,0.49951
NREM,0.00285,1.24878,5.74439,2.8722,0.62439
NREM,0.00259,1.74829,5.74439,3.24683,2.37268
NREM,0.00295,1.87317,5.74439,3.37171,1.37366
NREM,0.00538,1.49854,5.12,2.8722,1.49854
NREM,0.00269,1.49854,6.2439,3.37171,0.99902
NREM,0.04691,0.49951,3.49659,1.74829,0.49951
NREM,0.00483,1.49854,5.36976,3.12195,0.12488
NREM,0.00451,1.49854,5.61951,2.8722,1.24878
NREM,0.00407,1.87317,5.36976,3.12195,1.37366
NREM,0.00387,1.74829,5.49463,3.37171,1.62341
NREM,0.00416,1.49854,5.36976,2.99707,1.24878
NREM,0.00406,1.49854,5.74439,3.24683,0.74927
NREM,0.00536,1.37366,5.61951,2.8722,0.74927
NREM,0.00538,1.24878,5.36976,3.12195,1.1239
NREM,0.00686,1.24878,5.24488,2.8722,0.74927
NREM,0.00683,1.24878,5.36976,2.8722,1.1239
NREM,0.00492,1.37366,5.61951,2.99707,1.1239
NREM,0.00544,1.49854,5.36976,2.74732,1.49854
NREM,0.0147,1.24878,4.74537,2.74732,1.1239
NREM,0.0072,1.37366,4.99512,2.62244,1.24878
NREM,0.00589,1.37366,5.74439,3.12195,1.1239
NREM,0.01197,1.1239,4.87024,2.62244,1.1239
NREM,0.00494,1.24878,5.86927,2.99707,0.87415
NREM,0.00668,1.49854,5.24488,3.12195,1.74829
NREM,0.01161,1.37366,4.37073,2.49756,1.1239
NREM,0.00845,1.37366,5.36976,2.74732,1.37366
NREM,0.00641,1.1239,5.36976,2.8722,1.1239
NREM,0.00924,1.24878,5.36976,2.74732,1.24878
NREM,0.01727,0.62439,5.12,2.12293,0.49951
NREM,0.00505,0.87415,5.74439,2.2478,0.87415
NREM,0.00639,1.24878,5.36976,2.37268,1.49854
NREM,0.00702,1.37366,4.74537,2.37268,1.37366
NREM,0.00277,1.24878,6.11902,3.24683,0.37463
NREM,0.0081,0.99902,5.12,2.49756,0.74927
NREM,0.00391,0.87415,5.36976,2.62244,0.37463
NREM,0.00578,0.99902,5.36976,2.49756,0.49951
NREM,0.00452,1.24878,5.74439,2.8722,0.62439
NREM,0.00646,1.37366,4.87024,2.37268,1.1239
NREM,0.00636,1.37366,4.74537,2.74732,1.49854
NREM,0.04053,0.62439,3.49659,1.37366,0.62439
NREM,0.00669,0.99902,5.36976,2.2478,0.74927
NREM,0.00956,1.37366,4.37073,2.62244,1.1239
NREM,0.00692,1.24878,5.24488,2.74732,1.1239
NREM,0.00595,0.49951,5.86927,2.12293,0.49951
NREM,0.00655,1.49854,4.87024,2.49756,1.62341
NREM,0.21138,0.49951,2.12293,0.87415,0.49951
NREM,0.00604,0.87415,5.36976,1.87317,0.49951
NREM,0.00476,1.24878,5.24488,2.62244,0.87415
NREM,0.00187,0.74927,6.2439,2.62244,0.62439
NREM,0.00203,1.24878,5.49463,3.12195,0.37463
NREM,0.0029,0.74927,5.49463,2.37268,0.62439
NREM,0.00307,1.24878,5.49463,3.12195,0.87415
NREM,0.00256,1.24878,5.86927,3.24683,0.37463
NREM,0.00702,1.87317,4.49561,2.74732,0.99902
NREM,0.00214,1.62341,6.2439,3.24683,0.74927
NREM,0.01164,1.37366,4.12098,2.49756,0.99902
NREM,0.00819,1.62341,4.87024,2.49756,2.12293
NREM,0.00228,1.49854,5.49463,3.24683,0.62439
NREM,0.00727,1.24878,4.99512,2.74732,1.24878
NREM,0.00359,1.62341,5.61951,3.49659,0.87415
NREM,0.00682,1.24878,4.62049,2.74732,0.87415
NREM,0.00827,1.62341,4.62049,2.74732,1.62341
NREM,0.00823,1.37366,4.49561,2.49756,1.49854
NREM,0.01011,1.37366,4.74537,2.74732,1.1239
NREM,0.00299,1.49854,5.49463,2.99707,1.37366
NREM,0.00391,1.74829,5.36976,3.24683,1.87317
NREM,0.00762,1.37366,4.87024,2.62244,1.1239
NREM,0.00367,1.49854,5.36976,3.12195,0.74927
NREM,0.00906,1.1239,4.74537,2.62244,0.87415
NREM,0.0047,1.37366,4.99512,2.8722,1.37366
NREM,0.00565,1.74829,5.61951,3.12195,1.24878
NREM,0.00559,1.49854,5.24488,3.24683,1.37366
NREM,0.00591,1.62341,5.49463,2.74732,1.74829
NREM,0.0039,1.37366,5.99415,3.37171,0.99902
NREM,0.00757,1.49854,4.99512,2.99707,0.99902
NREM,0.00904,1.74829,4.87024,2.74732,1.99805
NREM,0.00484,1.24878,5.36976,2.8722,0.99902
NREM,0.00564,1.49854,5.99415,3.12195,1.1239
NREM,0.00508,1.37366,5.36976,2.99707,1.1239
NREM,0.0128,1.49854,4.99512,2.62244,0.87415
NREM,0.01139,1.24878,4.49561,2.49756,1.37366
NREM,0.01539,0.87415,4.62049,2.49756,0.74927
NREM,0.01076,1.1239,4.74537,2.62244,0.99902
NREM,0.02027,1.24878,4.37073,2.37268,0.87415
NREM,0.0114,1.1239,4.74537,2.37268,0.99902
NREM,0.01804,1.1239,4.12098,2.2478,0.87415
REM,0.0165,1.1239,3.87122,2.12293,0.87415
REM,0.00336,1.49854,5.74439,2.99707,0.49951
REM,0.00239,1.62341,5.61951,3.12195,0.49951
REM,0.00376,0.87415,5.74439,2.62244,0.74927
REM,0.00264,0.87415,5.49463,2.99707,0.49951
REM,0.00179,0.99902,6.49366,3.12195,0.49951
REM,0.0022,0.99902,5.74439,3.12195,0.62439
REM,0.00216,1.1239,5.86927,2.99707,0.74927
REM,0.00443,0.99902,5.12,2.74732,0.87415
REM,0.00194,1.24878,6.2439,3.37171,0.62439
REM,0.00186,1.37366,6.49366,3.12195,0.62439
REM,0.00198,1.1239,6.11902,3.49659,0.87415
REM,0.0042,0.62439,5.74439,2.49756,0.62439
REM,0.00199,0.99902,6.36878,3.62146,0.87415
REM,0.00175,1.62341,6.36878,3.74634,0.74927
REM,0.00348,0.87415,5.49463,2.8722,0.62439
REM,0.00209,1.24878,5.61951,3.24683,0.37463
REM,0.00251,0.74927,5.99415,2.99707,0.62439
REM,0.00215,1.24878,6.11902,3.37171,0.62439
REM,0.00175,1.1239,6.36878,3.37171,0.74927
REM,0.00519,0.74927,5.24488,2.37268,0.62439
REM,0.00283,0.99902,5.49463,2.8722,0.74927
REM,0.00161,1.37366,5.99415,3.24683,0.74927
REM,0.00693,0.74927,4.62049,2.37268,0.49951
REM,0.00269,0.87415,5.74439,2.74732,0.99902
REM,0.00182,1.37366,5.99415,3.37171,0.87415
REM,0.00147,1.49854,6.11902,3.87122,0.74927
REM,0.00201,1.1239,6.74341,3.24683,0.62439
REM,0.00161,1.62341,6.36878,3.74634,0.74927
REM,0.00391,0.99902,5.61951,2.8722,0.62439
REM,0.00191,0.99902,5.99415,2.99707,0.74927
REM,0.00203,1.1239,6.11902,3.24683,0.74927
REM,0.00171,1.24878,6.2439,3.62146,0.74927
NREM,0.01095,1.24878,4.37073,2.49756,0.74927
NREM,0.00329,1.1239,5.36976,2.49756,0.74927
NREM,0.01606,0.99902,4.12098,1.99805,0.87415
NREM,0.01286,1.1239,4.62049,2.49756,1.24878
NREM,0.0061,1.1239,5.12,2.62244,1.1239
NREM,0.00663,1.24878,4.87024,2.49756,0.99902
NREM,0.00361,1.37366,5.24488,2.8722,1.24878
NREM,0.00436,1.1239,5.49463,2.8722,0.62439
NREM,0.00598,1.24878,5.49463,2.49756,0.87415
NREM,0.01265,0.87415,3.9961,1.74829,0.99902
NREM,0.03029,0.62439,3.74634,1.62341,0.49951
NREM,0.00473,1.1239,4.99512,2.62244,0.62439
NREM,0.00246,1.37366,6.2439,3.24683,1.49854
NREM,0.00411,1.62341,5.74439,3.12195,1.87317
NREM,0.00692,1.24878,4.87024,2.8722,0.74927
NREM,0.00258,1.49854,5.61951,3.12195,0.87415
NREM,0.00355,1.49854,5.86927,3.24683,1.37366
NREM,0.00292,1.49854,5.86927,3.24683,1.37366
NREM,0.00674,0.99902,5.12,2.62244,0.87415
NREM,0.00585,1.62341,5.24488,3.24683,0.87415
NREM,0.00367,1.37366,5.49463,3.12195,1.37366
NREM,0.00346,1.49854,5.86927,3.37171,0.62439
NREM,0.01272,0.99902,4.37073,2.62244,0.74927
NREM,0.00341,1.37366,5.74439,3.24683,1.1239
NREM,0.00362,1.24878,6.2439,3.12195,1.24878
NREM,0.00495,1.37366,5.61951,2.8722,1.24878
NREM,0.00487,1.37366,5.86927,2.99707,1.37366
NREM,0.00616,1.1239,5.24488,2.49756,0.74927
NREM,0.00599,1.24878,5.61951,2.99707,0.99902
NREM,0.00714,1.1239,5.49463,2.74732,0.99902
NREM,0.00837,0.99902,5.61951,2.62244,0.87415
NREM,0.00677,0.99902,5.36976,2.74732,0.74927
NREM,0.00804,0.87415,5.12,2.62244,0.74927
NREM,0.01107,0.87415,4.99512,2.12293,0.87415
NREM,0.01523,0.99902,4.87024,1.99805,0.87415
NREM,0.0095,1.1239,4.74537,2.37268,1.24878
NREM,0.00868,0.87415,5.12,2.49756,0.87415
NREM,0.0139,0.87415,4.87024,2.2478,0.87415
NREM,0.02402,0.74927,4.24585,1.62341,0.87415
NREM,0.01769,0.74927,4.62049,2.2478,0.49951
NREM,0.01549,0.87415,4.87024,2.37268,0.49951
NREM,0.02503,0.99902,4.12098,1.99805,0.99902
NREM,0.01738,1.24878,4.24585,2.2478,0.49951
NREM,0.00696,0.87415,5.12,2.62244,0.87415
NREM,0.01229,0.99902,4.74537,2.62244,0.74927
NREM,0.00893,1.1239,4.87024,2.62244,0.87415
NREM,0.01006,0.99902,4.99512,2.62244,0.49951
NREM,0.01756,0.74927,4.49561,1.74829,0.74927
NREM,0.01793,0.62439,4.49561,2.12293,0.49951
NREM,0.01304,0.87415,4.87024,1.99805,0.87415
NREM,0.0124,0.74927,4.99512,2.37268,0.87415
NREM,0.01301,0.87415,4.74537,2.49756,0.62439
NREM,0.01831,0.87415,4.37073,2.12293,0.87415
NREM,0.01535,0.74927,4.49561,2.12293,0.74927
NREM,0.01535,0.74927,4.74537,2.2478,0.62439
NREM,0.01873,0.74927,4.37073,1.99805,0.74927
NREM,0.02416,0.87415,4.24585,1.99805,0.49951
NREM,0.01518,0.74927,4.49561,2.2478,0.49951
NREM,0.0198,0.87415,4.12098,1.99805,0.74927
NREM,0.01561,0.74927,4.49561,2.12293,0.49951
NREM,0.019,0.87415,4.37073,2.12293,0.62439
NREM,0.01825,0.74927,4.62049,1.99805,0.74927
NREM,0.01995,0.87415,4.37073,1.87317,0.74927
NREM,0.02769,0.74927,4.49561,2.12293,0.62439
NREM,0.0331,0.74927,4.49561,1.74829,0.62439
NREM,0.00645,0.99902,5.12,2.49756,0.62439
NREM,0.01297,0.74927,4.62049,1.99805,0.49951
NREM,0.22186,0.62439,2.8722,1.74829,0.49951
NREM,0.02542,0.62439,3.87122,1.74829,0.74927
NREM,0.00294,0.87415,6.2439,2.8722,0.62439
NREM,0.00718,1.1239,5.61951,2.74732,0.49951
NREM,0.00357,1.49854,5.61951,2.99707,1.74829
NREM,0.00442,1.37366,6.11902,3.12195,1.24878
NREM,0.00458,1.37366,5.74439,3.12195,1.37366
NREM,0.00492,1.37366,5.61951,2.99707,0.99902
NREM,0.00597,1.49854,5.61951,2.99707,1.37366
NREM,0.00671,1.24878,5.61951,3.12195,0.99902
NREM,0.01263,1.24878,4.74537,2.62244,0.62439
NREM,0.01024,0.99902,4.99512,2.62244,0.62439
NREM,0.00472,1.37366,5.86927,3.12195,0.99902
NREM,0.00629,1.1239,5.24488,2.99707,1.1239
NREM,0.00902,0.99902,5.36976,2.62244,1.1239
NREM,0.0533,0.49951,3.74634,1.37366,0.49951
NREM,0.01995,1.1239,4.12098,2.62244,0.99902
NREM,0.03378,0.62439,4.24585,1.99805,0.37463
NREM,0.0606,0.49951,3.49659,1.24878,0.49951
NREM,0.01613,1.24878,4.62049,2.49756,1.37366
NREM,0.00366,1.1239,5.74439,2.99707,1.1239
NREM,0.00519,1.1239,6.11902,2.8722,0.99902
NREM,0.00703,0.99902,5.24488,2.62244,0.87415
NREM,0.00793,1.24878,5.36976,2.99707,1.24878
NREM,0.00598,0.99902,5.49463,2.8722,0.74927
NREM,0.00533,1.37366,5.61951,2.99707,0.62439
NREM,0.0156,0.99902,4.87024,2.62244,0.49951
NREM,0.00764,1.24878,5.36976,2.62244,1.37366
NREM,0.00819,1.1239,5.12,2.62244,0.62439
NREM,0.00982,1.1239,4.99512,2.37268,0.74927
NREM,0.01123,0.99902,4.74537,2.49756,0.62439
NREM,0.00784,1.1239,5.12,2.8722,0.62439
NREM,0.01192,1.1239,5.12,2.37268,0.87415
NREM,0.01957,0.74927,4.49561,2.12293,0.62439
NREM,0.01078,0.87415,4.99512,2.2478,0.99902
NREM,0.01241,0.99902,4.74537,2.2478,0.74927
NREM,0.01692,0.99902,4.62049,2.37268,0.74927
NREM,0.01128,0.99902,4.99512,2.62244,0.74927
NREM,0.01747,0.87415,4.49561,1.99805,0.74927
NREM,0.02336,0.74927,4.24585,1.87317,0.62439
NREM,0.01304,0.74927,4.99512,2.49756,0.49951
NREM,0.02044,0.87415,4.24585,1.99805,0.87415
NREM,0.01456,0.99902,4.87024,2.2478,0.99902
NREM,0.01988,0.74927,4.62049,2.12293,0.62439
NREM,0.01557,0.99902,4.62049,2.2478,0.99902
NREM,0.02085,0.62439,4.62049,1.99805,0.62439
NREM,0.03088,0.99902,3.9961,1.87317,0.87415
NREM,0.01771,0.99902,4.37073,2.12293,0.74927
NREM,0.01032,0.74927,5.12,2.12293,0.49951
NREM,0.01302,0.87415,4.74537,2.12293,0.87415
NREM,0.04163,0.74927,3.74634,1.99805,0.62439
NREM,0.12516,0.49951,3.12195,1.1239,0.37463
NREM,0.00573,0.99902,5.49463,1.99805,0.99902
NREM,0.00726,1.24878,4.37073,2.12293,0.99902
NREM,0.0038,1.24878,5.86927,2.99707,0.49951
NREM,0.01107,0.99902,4.87024,2.49756,0.87415
NREM,0.00562,1.87317,5.12,3.12195,1.99805
NREM,0.01268,1.37366,4.74537,2.74732,1.37366
NREM,0.01056,1.74829,4.62049,2.62244,2.2478
NREM,0.02796,1.1239,3.74634,2.2478,1.1239
NREM,0.01689,1.24878,4.24585,2.49756,1.1239
REM,0.00691,1.24878,4.99512,2.37268,0.87415
REM,0.00543,1.24878,5.74439,2.99707,0.87415
REM,0.01013,1.1239,4.87024,2.2478,1.1239
REM,0.00305,1.24878,6.2439,3.62146,0.74927
REM,0.00256,1.74829,5.74439,3.37171,2.2478
REM,0.00228,1.62341,6.49366,3.74634,0.74927
REM,0.00618,1.1239,5.36976,2.62244,1.24878
REM,0.00262,0.99902,5.99415,3.24683,0.87415
REM,0.00322,1.37366,5.74439,3.24683,0.49951
REM,0.00543,0.74927,5.36976,2.62244,0.62439
REM,0.00174,1.37366,6.61854,3.87122,0.62439
REM,0.00362,1.37366,5.99415,2.99707,0.74927
REM,0.00171,0.99902,6.49366,3.49659,0.74927
REM,0.00266,0.87415,5.86927,2.74732,0.87415
REM,0.00504,0.74927,5.61951,2.62244,0.62439
REM,0.00312,0.87415,5.99415,2.8722,0.74927
REM,0.00752,0.62439,4.74537,2.12293,0.49951
REM,0.00618,0.74927,4.87024,2.49756,0.62439
REM,0.00241,0.62439,6.11902,2.99707,0.37463
REM,0.00187,1.62341,5.99415,3.87122,0.74927
REM,0.0036,0.99902,5.36976,2.74732,0.49951
REM,0.0026,0.87415,5.99415,2.99707,0.37463
REM,0.00266,1.1239,5.86927,3.12195,0.49951
REM,0.00621,0.87415,4.87024,2.62244,0.49951
REM,0.00536,0.87415,5.12,2.2478,0.87415
REM,0.0017,1.1239,6.11902,3.24683,0.74927
REM,0.00172,1.62341,6.49366,3.9961,0.87415
REM,0.00821,1.37366,4.87024,2.74732,0.99902
REM,0.00226,1.24878,6.36878,3.37171,0.62439
REM,0.00249,1.37366,6.2439,3.62146,0.87415
REM,0.00228,1.37366,6.99317,3.12195,0.74927
REM,0.00189,1.49854,5.99415,3.74634,0.74927
REM,0.0031,1.1239,5.61951,3.12195,1.1239
REM,0.00207,1.24878,5.99415,3.24683,0.37463
REM,0.00417,1.62341,4.99512,3.12195,2.2478
REM,0.00278,1.24878,6.36878,3.49659,0.74927
REM,0.00232,0.99902,5.74439,3.24683,0.74927
REM,0.00223,1.37366,5.99415,3.49659,0.74927
REM,0.00288,0.74927,5.86927,2.99707,0.62439
REM,0.00591,0.62439,4.87024,2.2478,0.49951
REM,0.00469,0.74927,5.24488,2.37268,0.62439
REM,0.01439,0.62439,3.9961,1.74829,0.49951
REM,0.00267,0.74927,6.2439,3.12195,0.62439
REM,0.0074,0.62439,4.87024,1.99805,0.62439
REM,0.00208,0.87415,6.2439,3.12195,0.87415
REM,0.00241,0.87415,6.2439,3.12195,0.74927
REM,0.00195,1.37366,6.49366,3.62146,1.24878
REM,0.01585,0.99902,4.12098,2.12293,0.62439
REM,0.006,0.99902,4.99512,2.37268,0.99902
REM,0.00712,0.99902,4.87024,2.49756,0.62439
REM,0.00272,0.87415,5.99415,2.74732,0.62439
REM,0.00558,0.99902,4.74537,2.49756,0.99902
NREM,0.00149,0.62439,6.86829,2.8722,0.37463
NREM,0.00224,0.74927,6.2439,2.62244,0.74927
NREM,0.00201,0.87415,6.2439,2.62244,0.62439
NREM,0.00252,0.87415,5.99415,2.74732,0.87415
NREM,0.00155,1.1239,6.61854,3.37171,0.49951
NREM,0.00235,0.62439,6.36878,1.99805,0.62439
NREM,0.00185,0.74927,6.11902,2.8722,0.62439
NREM,0.00579,1.37366,4.99512,2.62244,0.49951
NREM,0.00185,1.37366,6.11902,3.12195,0.62439
NREM,0.00864,0.99902,5.12,2.8722,0.99902
NREM,0.00438,0.62439,5.36976,2.49756,0.74927
NREM,0.00343,1.24878,5.49463,2.49756,1.24878
NREM,0.00175,0.99902,6.49366,3.12195,0.49951
NREM,0.00242,1.24878,5.86927,2.8722,1.24878
NREM,0.00541,1.24878,4.87024,2.37268,1.1239
NREM,0.00274,1.1239,5.24488,2.49756,0.87415
NREM,0.00205,0.99902,5.86927,3.12195,0.99902
NREM,0.00277,0.87415,5.99415,2.74732,0.74927
NREM,0.00852,0.37463,4.12098,0.99902,0.37463
NREM,0.00424,0.49951,5.12,2.2478,0.37463
NREM,0.00675,1.1239,4.62049,2.2478,0.87415
NREM,0.00488,1.1239,4.87024,2.74732,0.49951
NREM,0.00787,1.24878,4.62049,2.37268,1.87317
NREM,0.0038,1.49854,5.36976,2.99707,0.49951
NREM,0.00223,0.99902,5.99415,3.37171,0.74927
NREM,0.01031,1.24878,4.37073,2.49756,0.62439
NREM,0.00362,1.37366,5.12,2.74732,0.49951
NREM,0.00388,0.99902,5.24488,2.74732,0.74927
NREM,0.01016,0.99902,4.37073,2.37268,0.62439
NREM,0.00772,1.24878,4.74537,2.74732,0.62439
NREM,0.0021,1.24878,5.74439,3.37171,0.99902
NREM,0.00925,1.37366,4.37073,2.49756,0.74927
NREM,0.00454,0.99902,5.49463,2.62244,0.74927
NREM,0.00375,0.74927,5.61951,2.49756,0.62439
NREM,0.00234,0.99902,5.61951,2.62244,0.74927
NREM,0.00244,0.99902,5.99415,2.99707,0.87415
NREM,0.00873,0.62439,4.49561,1.62341,0.62439
NREM,0.00267,1.24878,5.86927,3.12195,0.99902
NREM,0.00537,1.1239,5.24488,2.49756,1.37366
NREM,0.00579,0.99902,4.99512,2.99707,0.99902
NREM,0.00247,1.1239,6.2439,3.12195,0.62439
NREM,0.00311,1.1239,5.86927,3.37171,0.62439
NREM,0.00632,1.49854,5.24488,2.74732,1.99805
NREM,0.00408,1.37366,5.49463,3.12195,0.99902
NREM,0.00245,1.1239,5.99415,3.24683,0.87415
NREM,0.00277,1.37366,6.2439,3.37171,0.62439
NREM,0.00251,1.49854,5.86927,3.37171,0.74927
NREM,0.00406,1.49854,5.49463,3.12195,0.74927
NREM,0.00433,1.1239,5.74439,2.8722,0.87415
NREM,0.00356,1.24878,6.2439,3.37171,0.87415
NREM,0.00371,1.24878,5.99415,3.12195,0.62439
NREM,0.00405,1.49854,5.86927,3.24683,1.1239
NREM,0.00678,1.24878,5.61951,2.8722,0.74927
NREM,0.00445,1.24878,5.49463,3.24683,0.62439
NREM,0.00618,1.1239,5.61951,2.99707,1.1239
NREM,0.00568,0.99902,5.36976,2.8722,0.62439
NREM,0.0191,0.74927,4.37073,1.62341,0.74927
NREM,0.00511,1.1239,5.24488,2.8722,0.87415
NREM,0.00528,1.24878,5.36976,2.99707,0.99902
NREM,0.00495,0.87415,5.74439,3.12195,0.87415
NREM,0.00626,1.37366,5.61951,2.99707,0.74927
NREM,0.00688,1.1239,5.12,2.74732,0.62439
NREM,0.00786,1.1239,4.74537,2.74732,0.62439
NREM,0.00984,0.99902,4.87024,2.2478,0.74927
NREM,0.00987,0.87415,5.12,2.12293,0.74927
NREM,0.00884,0.99902,5.12,2.8722,0.37463
NREM,0.01039,0.99902,4.87024,2.49756,1.24878
