Sleep_Stage,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2
NREM,0.00098,4.62049,9.1161,6.99317,4.12098
NREM,0.00094,4.49561,9.74049,7.24293,5.74439
NREM,0.00085,4.87024,9.36585,7.24293,5.49463
NREM,0.00086,4.74537,9.61561,7.49268,2.8722
NREM,0.00078,4.12098,9.61561,7.24293,2.74732
NREM,0.00099,4.62049,8.61659,7.3678,5.12
NREM,0.00103,4.62049,8.36683,6.99317,4.24585
NREM,0.00081,4.37073,9.86537,7.49268,3.9961
NREM,0.00079,4.62049,9.74049,7.24293,5.61951
NREM,0.00076,4.37073,9.24098,7.24293,3.49659
NREM,0.00055,4.49561,11.11415,9.24098,2.74732
NREM,0.00332,2.99707,10.98927,7.49268,3.24683
NREM,0.00077,5.86927,11.23902,9.24098,5.99415
NREM,0.00098,5.49463,11.48878,9.1161,5.99415
NREM,0.00078,6.11902,11.11415,9.24098,7.49268
NREM,0.00087,5.49463,10.98927,9.1161,5.86927
NREM,0.00086,5.74439,10.98927,9.49073,5.61951
NREM,0.00081,5.49463,11.23902,9.36585,3.74634
NREM,0.00063,5.86927,11.23902,9.24098,5.61951
NREM,0.00071,5.86927,11.98829,10.24,3.74634
NREM,0.00081,5.61951,11.23902,9.49073,7.3678
NREM,0.00082,5.86927,11.11415,9.36585,6.11902
NREM,0.00064,5.49463,11.61366,9.49073,5.12
NREM,0.00033,6.36878,11.98829,10.36488,5.74439
NREM,0.00021,6.36878,13.1122,10.98927,5.74439
NREM,0.00017,6.61854,13.36195,11.86341,5.36976
NREM,0.00028,5.99415,11.98829,10.24,5.61951
NREM,0.00035,6.11902,12.36293,10.73951,7.49268
NREM,0.00021,6.36878,13.1122,11.23902,5.86927
NREM,0.00042,6.49366,14.86049,12.61268,5.24488
NREM,0.00033,5.36976,11.98829,9.74049,5.61951
NREM,0.0005,5.49463,11.73854,9.49073,5.49463
NREM,0.00058,5.24488,11.98829,9.61561,3.62146
NREM,0.00063,4.87024,11.3639,8.61659,4.74537
NREM,0.00058,5.24488,11.86341,9.24098,3.62146
NREM,0.00067,5.12,12.11317,9.24098,5.74439
NREM,0.00065,5.12,10.73951,8.74146,3.62146
NREM,0.00059,5.24488,11.3639,9.24098,5.24488
NREM,0.00067,5.24488,10.86439,8.74146,5.49463
NREM,0.00065,4.74537,10.98927,8.74146,3.62146
NREM,0.00076,5.12,10.61463,8.86634,5.86927
NREM,0.00069,5.36976,11.48878,8.61659,5.49463
NREM,0.00072,5.24488,11.48878,8.86634,3.87122
NREM,0.00057,5.36976,11.73854,9.49073,2.99707
NREM,0.0007,4.99512,10.11512,8.24195,3.62146
NREM,0.00079,5.24488,10.24,8.49171,5.12
NREM,0.00076,4.87024,10.24,8.49171,4.49561
NREM,0.00073,4.99512,10.86439,8.49171,5.36976
NREM,0.00082,5.24488,11.23902,9.61561,5.49463
NREM,0.00063,5.49463,10.24,8.49171,5.74439
NREM,0.00066,5.24488,11.86341,9.1161,4.49561
NREM,0.00065,5.49463,10.98927,8.74146,2.99707
NREM,0.00067,4.87024,10.73951,8.49171,3.74634
NREM,0.00071,5.36976,11.73854,8.86634,5.49463
NREM,0.0007,4.87024,10.61463,8.36683,5.12
NREM,0.00066,4.99512,10.61463,8.86634,4.24585
NREM,0.00075,4.87024,11.73854,9.1161,3.74634
NREM,0.00081,4.87024,10.48976,8.11707,4.87024
NREM,0.00085,6.36878,12.4878,10.86439,3.62146
NREM,0.00043,5.99415,12.73756,10.36488,3.62146
NREM,0.0004,5.74439,12.73756,10.36488,4.99512
NREM,0.00042,5.49463,11.86341,9.86537,4.49561
NREM,0.00052,5.49463,10.48976,9.24098,4.12098
NREM,0.00043,6.2439,12.36293,10.86439,2.99707
NREM,0.00037,6.11902,12.4878,10.48976,4.87024
NREM,0.00058,5.36976,12.11317,9.74049,3.49659
NREM,0.00053,5.86927,12.23805,10.61463,5.36976
NREM,0.00051,5.99415,11.86341,9.74049,3.9961
NREM,0.00052,5.74439,11.3639,9.86537,6.74341
NREM,0.00247,1.99805,13.98634,7.61756,1.87317
NREM,0.00069,4.62049,13.23707,9.99024,0.87415
NREM,0.00048,5.99415,12.23805,10.36488,3.62146
NREM,0.00063,5.49463,11.86341,9.61561,4.74537
NREM,0.00211,2.49756,11.48878,8.11707,1.74829
NREM,0.00052,5.36976,13.1122,9.86537,1.62341
NREM,0.00107,3.37171,12.86244,9.61561,0.99902
NREM,0.00052,5.74439,12.36293,10.36488,3.62146
NREM,0.00052,5.74439,12.11317,10.48976,5.24488
NREM,0.00022,6.61854,12.4878,10.86439,9.61561
NREM,0.0002,5.99415,12.86244,11.23902,5.49463
NREM,0.0002,5.99415,12.98732,10.98927,2.74732
NREM,0.00028,5.61951,12.36293,9.99024,3.87122
NREM,0.00039,5.74439,12.61268,10.24,3.37171
NREM,0.00048,5.36976,11.23902,9.24098,4.99512
NREM,0.0004,5.49463,11.86341,10.24,5.61951
NREM,0.00053,5.36976,12.11317,10.36488,4.87024
NREM,0.00054,5.74439,12.23805,10.36488,3.74634
NREM,0.00042,5.49463,11.11415,8.74146,5.49463
NREM,0.00045,5.61951,12.36293,10.24,4.12098
NREM,0.00061,5.12,11.73854,9.36585,4.74537
NREM,0.00051,5.12,12.11317,9.49073,4.62049
NREM,0.00045,5.61951,11.73854,9.61561,6.36878
NREM,0.00058,4.99512,11.11415,8.74146,3.87122
NREM,0.00065,5.61951,11.48878,9.74049,4.87024
NREM,0.00043,5.12,11.73854,9.61561,3.24683
NREM,0.00064,5.24488,12.11317,9.36585,3.62146
NREM,0.00072,4.99512,10.98927,8.74146,4.24585
NREM,0.0005,5.24488,11.11415,9.1161,3.49659
NREM,0.00064,4.99512,10.73951,8.99122,5.12
NREM,0.00054,4.99512,11.11415,8.99122,4.62049
NREM,0.00063,4.87024,11.73854,8.99122,3.62146
NREM,0.00067,4.99512,11.61366,8.61659,3.49659
NREM,0.00059,5.24488,12.11317,9.24098,6.36878
NREM,0.00062,4.99512,12.11317,9.49073,3.24683
NREM,0.00063,5.49463,11.3639,9.61561,3.62146
NREM,0.0006,5.36976,10.61463,9.24098,3.9961
NREM,0.00062,5.12,10.11512,8.36683,5.74439
NREM,0.00061,5.36976,11.61366,9.24098,2.8722
NREM,0.0005,4.99512,10.86439,8.61659,3.49659
NREM,0.00081,5.24488,12.23805,8.99122,6.2439
NREM,0.00055,4.99512,11.23902,8.99122,4.99512
NREM,0.00058,5.49463,11.48878,9.1161,5.74439
NREM,0.00059,4.99512,11.86341,9.24098,4.24585
NREM,0.00053,5.12,12.4878,10.11512,4.87024
NREM,0.00043,6.11902,11.73854,10.11512,6.99317
NREM,0.00049,5.61951,11.73854,9.49073,5.86927
REM,0.00037,5.86927,11.86341,9.61561,3.37171
REM,0.0004,5.86927,12.11317,9.99024,6.49366
REM,0.00033,5.86927,12.11317,9.86537,5.61951
REM,0.00039,5.74439,11.3639,9.74049,5.86927
REM,0.00028,6.49366,11.61366,10.24,8.74146
REM,0.00029,6.49366,11.86341,10.11512,6.49366
REM,0.0003,5.86927,11.11415,9.36585,5.99415
REM,0.00027,5.74439,11.98829,9.86537,6.49366
REM,0.00033,5.12,11.23902,9.36585,5.74439
REM,0.00041,6.74341,11.11415,9.61561,8.86634
REM,0.00038,7.24293,10.98927,9.49073,8.61659
REM,0.0003,5.74439,11.48878,9.86537,6.61854
REM,0.0003,5.74439,11.48878,9.49073,2.99707
REM,0.00029,5.61951,11.61366,9.74049,2.8722
REM,0.00035,5.61951,11.23902,9.36585,5.99415
REM,0.00026,5.12,11.3639,9.49073,2.99707
REM,0.00024,5.49463,11.61366,9.61561,5.24488
REM,0.00031,5.36976,11.48878,9.99024,3.62146
REM,0.00029,5.99415,11.86341,9.99024,3.49659
REM,0.00033,5.12,11.73854,9.36585,5.74439
REM,0.00024,5.49463,11.48878,9.36585,2.99707
REM,0.00024,5.49463,10.98927,9.49073,3.87122
REM,0.00029,5.24488,11.23902,9.74049,3.87122
REM,0.00031,5.12,11.3639,9.24098,4.62049
REM,0.00024,6.11902,12.23805,10.36488,5.99415
REM,0.00027,5.36976,11.98829,9.61561,4.24585
REM,0.00026,5.86927,11.61366,9.86537,6.61854
REM,0.00042,6.36878,10.61463,9.36585,7.9922
REM,0.00028,5.86927,11.11415,9.24098,3.49659
REM,0.00032,5.24488,10.98927,9.24098,3.62146
REM,0.00024,5.86927,11.48878,9.74049,4.37073
REM,0.00028,6.2439,11.86341,10.11512,6.36878
REM,0.00031,6.11902,11.73854,10.11512,6.2439
NREM,0.00048,5.74439,11.11415,9.49073,5.99415
NREM,0.00026,5.74439,12.11317,10.61463,5.49463
NREM,0.00045,5.24488,12.4878,9.61561,5.12
NREM,0.0005,5.36976,11.61366,9.61561,2.99707
NREM,0.00042,5.36976,11.73854,9.36585,5.36976
NREM,0.00045,5.12,11.61366,9.49073,4.12098
NREM,0.00043,5.61951,12.11317,10.36488,3.62146
NREM,0.00047,5.36976,11.3639,9.49073,4.99512
NREM,0.0006,6.2439,12.73756,10.48976,6.36878
NREM,0.00065,4.24585,16.23415,12.86244,3.74634
NREM,0.00042,5.74439,12.73756,10.61463,4.24585
NREM,0.00038,5.24488,11.11415,9.1161,3.24683
NREM,0.00044,5.12,12.23805,10.24,3.87122
NREM,0.00056,4.99512,11.23902,8.74146,4.12098
NREM,0.0005,5.49463,11.11415,8.74146,6.86829
NREM,0.00033,5.61951,11.23902,9.1161,3.62146
NREM,0.00046,4.99512,12.36293,10.11512,4.24585
NREM,0.00051,4.62049,11.86341,9.1161,4.37073
NREM,0.00046,5.61951,12.23805,10.48976,3.12195
NREM,0.00061,4.99512,10.61463,8.36683,3.9961
NREM,0.00053,4.87024,10.61463,8.36683,3.62146
NREM,0.00049,4.99512,10.36488,8.61659,4.12098
NREM,0.00051,4.87024,10.98927,8.74146,3.49659
NREM,0.00043,5.24488,10.98927,8.61659,7.11805
NREM,0.00055,5.12,12.23805,9.1161,4.74537
NREM,0.00063,4.99512,10.73951,8.24195,4.24585
NREM,0.00056,4.87024,12.36293,9.61561,4.49561
NREM,0.00058,4.87024,10.36488,8.24195,3.9961
NREM,0.00053,5.12,12.11317,9.36585,3.62146
NREM,0.0005,5.24488,10.48976,8.36683,4.99512
NREM,0.00062,5.12,11.11415,8.36683,4.99512
NREM,0.00078,4.87024,9.86537,7.74244,4.87024
NREM,0.00049,4.74537,10.36488,8.24195,4.24585
NREM,0.00078,4.87024,10.11512,7.74244,5.24488
NREM,0.00072,4.24585,9.99024,7.86732,3.49659
NREM,0.00061,4.87024,9.61561,7.61756,4.24585
NREM,0.00068,4.62049,10.48976,7.74244,3.49659
NREM,0.00065,4.74537,11.98829,8.24195,4.24585
NREM,0.0006,4.49561,9.86537,7.61756,4.37073
NREM,0.00071,4.74537,9.61561,7.49268,4.99512
NREM,0.00069,4.37073,10.11512,7.61756,4.12098
NREM,0.0007,4.37073,9.74049,7.49268,4.12098
NREM,0.00042,4.62049,10.36488,8.49171,5.74439
NREM,0.00071,5.24488,9.49073,7.74244,5.99415
NREM,0.00067,4.49561,11.86341,8.36683,4.37073
NREM,0.00054,4.62049,10.98927,7.9922,4.62049
NREM,0.00067,4.74537,9.86537,7.74244,4.74537
NREM,0.00055,4.62049,10.73951,8.11707,4.74537
NREM,0.00073,4.87024,9.61561,7.74244,4.87024
NREM,0.0007,4.37073,9.36585,7.3678,3.74634
NREM,0.00064,4.87024,10.73951,8.36683,5.12
NREM,0.00079,4.87024,9.49073,7.74244,4.62049
NREM,0.00067,4.74537,9.1161,7.24293,4.49561
NREM,0.00067,4.74537,9.74049,7.3678,4.74537
NREM,0.00064,4.37073,9.86537,7.49268,4.62049
NREM,0.00068,4.99512,10.11512,7.61756,3.9961
NREM,0.00066,4.49561,9.86537,7.49268,5.24488
NREM,0.00065,4.49561,9.99024,7.3678,4.62049
NREM,0.00064,4.99512,9.61561,7.61756,5.24488
NREM,0.00073,4.87024,9.99024,7.3678,5.61951
NREM,0.00075,4.74537,9.49073,7.3678,4.62049
NREM,0.00074,4.74537,9.36585,7.3678,4.87024
NREM,0.00059,3.9961,9.24098,7.11805,2.74732
NREM,0.00085,4.37073,13.73659,9.74049,3.37171
NREM,0.00114,4.24585,14.2361,10.73951,2.49756
NREM,0.00055,5.12,9.99024,8.49171,5.61951
NREM,0.00053,5.61951,11.48878,9.61561,3.9961
NREM,0.00346,2.62244,8.74146,5.86927,2.49756
NREM,0.00085,5.86927,11.61366,9.36585,6.2439
NREM,0.00076,5.24488,11.3639,9.24098,4.49561
NREM,0.00077,5.36976,11.11415,9.24098,4.37073
NREM,0.00073,5.49463,11.98829,9.36585,5.24488
NREM,0.0009,5.86927,11.61366,9.36585,4.87024
NREM,0.00085,5.36976,11.61366,9.1161,5.36976
NREM,0.00091,5.24488,11.48878,8.86634,3.74634
NREM,0.00091,5.49463,11.73854,9.36585,3.87122
NREM,0.00097,5.24488,11.98829,9.49073,3.87122
NREM,0.00097,5.24488,11.23902,8.74146,6.11902
NREM,0.00087,4.87024,11.3639,8.74146,3.62146
NREM,0.00097,5.24488,10.98927,8.49171,5.24488
NREM,0.00095,4.99512,10.86439,8.74146,3.87122
NREM,0.00092,5.36976,11.86341,9.49073,3.87122
NREM,0.00133,3.74634,10.73951,8.24195,1.37366
NREM,0.00078,5.24488,10.73951,9.24098,5.36976
NREM,0.00253,3.37171,14.11122,8.11707,1.99805
NREM,0.00108,3.87122,10.48976,8.49171,2.62244
NREM,0.00076,5.61951,11.73854,9.1161,5.74439
NREM,0.00067,5.49463,11.61366,9.1161,4.24585
NREM,0.00096,5.49463,11.86341,9.1161,5.36976
NREM,0.0007,5.24488,11.86341,9.36585,3.62146
NREM,0.0009,4.99512,11.48878,8.86634,3.74634
NREM,0.00077,5.36976,12.11317,9.49073,4.99512
NREM,0.00075,5.12,11.48878,8.99122,4.99512
NREM,0.00087,4.74537,10.48976,8.49171,2.8722
NREM,0.0008,5.36976,11.48878,8.61659,3.74634
NREM,0.001,4.99512,11.73854,8.86634,3.74634
NREM,0.00075,5.24488,11.11415,8.74146,3.37171
NREM,0.00069,5.12,11.23902,8.99122,4.24585
NREM,0.00085,5.12,10.86439,8.61659,5.99415
NREM,0.00073,5.12,11.86341,9.1161,4.74537
NREM,0.00079,4.87024,11.23902,8.61659,4.37073
NREM,0.00078,4.99512,10.86439,8.36683,4.87024
NREM,0.00079,4.99512,11.23902,8.61659,3.87122
NREM,0.00089,4.87024,10.36488,8.24195,5.99415
NREM,0.00073,4.87024,11.73854,8.74146,2.99707
NREM,0.00083,4.99512,10.98927,8.74146,5.61951
NREM,0.00081,4.99512,11.3639,8.74146,3.62146
NREM,0.00087,4.49561,10.98927,8.36683,2.99707
NREM,0.00099,4.62049,10.61463,8.24195,3.49659
NREM,0.00106,4.74537,10.48976,8.24195,4.24585
NREM,0.00089,4.37073,11.23902,8.11707,2.99707
NREM,0.00083,4.62049,10.86439,8.74146,2.99707
NREM,0.001,4.62049,10.61463,8.11707,5.12
NREM,0.00079,5.36976,10.98927,9.36585,3.74634
NREM,0.00072,4.99512,10.98927,8.86634,4.74537
NREM,0.00072,5.24488,11.3639,9.61561,3.74634
NREM,0.00079,5.24488,10.98927,9.24098,4.99512
NREM,0.00492,2.49756,9.36585,5.36976,1.99805
NREM,0.00047,6.36878,13.61171,11.61366,5.36976
NREM,0.00047,6.36878,12.61268,10.61463,6.36878
NREM,0.00048,5.36976,10.98927,9.24098,5.99415
NREM,0.00065,5.36976,12.23805,10.11512,3.74634
NREM,0.00065,4.99512,11.11415,8.74146,4.49561
NREM,0.00056,5.61951,11.86341,9.74049,5.74439
NREM,0.00081,5.61951,10.98927,8.86634,5.99415
NREM,0.00062,6.11902,11.61366,9.49073,6.49366
NREM,0.00062,5.24488,11.73854,9.1161,5.74439
NREM,0.00058,5.99415,11.48878,9.49073,2.99707
REM,0.00036,5.49463,11.86341,9.61561,3.87122
REM,0.00045,5.86927,11.23902,8.86634,5.86927
REM,0.00049,5.99415,11.3639,9.36585,7.11805
REM,0.00046,5.49463,11.73854,9.61561,4.24585
REM,0.00035,5.74439,11.23902,8.99122,5.74439
REM,0.00045,6.36878,10.98927,8.99122,7.74244
REM,0.00042,5.36976,10.73951,9.1161,3.87122
REM,0.00037,5.99415,11.48878,9.61561,6.11902
REM,0.0004,4.99512,11.61366,9.61561,4.37073
REM,0.00039,5.61951,11.23902,9.24098,3.24683
REM,0.00041,5.36976,11.11415,9.1161,3.49659
REM,0.00043,5.61951,11.11415,9.36585,3.87122
REM,0.00031,6.11902,11.98829,10.11512,5.86927
REM,0.00039,5.74439,11.23902,9.1161,5.74439
REM,0.00035,5.74439,11.48878,9.61561,6.11902
REM,0.00029,5.24488,12.11317,9.99024,3.62146
REM,0.00032,5.49463,11.61366,9.86537,3.9961
REM,0.00029,5.74439,11.86341,9.61561,6.49366
REM,0.00031,5.61951,11.61366,9.86537,3.62146
REM,0.00038,5.12,11.73854,9.74049,2.99707
REM,0.00033,5.61951,11.61366,9.74049,2.8722
REM,0.00034,5.49463,11.48878,9.61561,4.49561
REM,0.00036,5.24488,11.61366,9.61561,5.12
REM,0.00032,5.36976,11.3639,9.49073,3.24683
REM,0.00038,5.61951,11.3639,9.36585,5.49463
REM,0.0003,5.99415,12.23805,9.86537,3.37171
REM,0.00051,6.49366,11.11415,9.49073,8.24195
REM,0.00057,5.36976,10.61463,8.86634,6.11902
REM,0.00038,5.61951,11.23902,9.49073,5.99415
REM,0.00049,5.36976,11.11415,9.36585,3.87122
REM,0.00053,7.3678,10.73951,9.36585,8.49171
REM,0.00035,5.86927,11.11415,9.36585,2.8722
REM,0.00045,4.99512,10.86439,8.86634,4.99512
REM,0.00032,5.99415,11.61366,9.86537,6.61854
REM,0.00048,5.61951,11.48878,9.36585,3.24683
REM,0.00036,5.49463,11.23902,9.61561,3.62146
REM,0.00029,5.86927,11.48878,9.36585,2.99707
REM,0.00036,5.49463,11.48878,9.61561,4.62049
REM,0.00039,5.99415,11.11415,9.49073,2.99707
REM,0.00039,6.36878,11.11415,9.36585,3.24683
REM,0.00033,5.49463,11.48878,9.49073,4.49561
REM,0.00035,5.86927,11.23902,9.86537,3.74634
REM,0.00032,5.74439,12.36293,10.24,4.37073
REM,0.00034,5.49463,11.48878,9.74049,6.11902
REM,0.00033,5.86927,11.73854,9.86537,6.11902
REM,0.00043,5.36976,11.48878,9.61561,5.12
REM,0.00033,6.11902,11.86341,9.74049,6.36878
REM,0.00034,4.87024,11.61366,9.49073,2.8722
REM,0.00032,6.2439,12.36293,10.36488,6.61854
REM,0.00035,5.61951,11.48878,9.61561,3.9961
REM,0.00028,6.11902,12.23805,10.24,6.2439
REM,0.00035,5.24488,11.86341,9.61561,4.87024
NREM,0.0003,6.2439,10.98927,9.61561,4.74537
NREM,0.00033,5.86927,10.73951,9.36585,5.49463
NREM,0.00031,6.2439,11.73854,9.99024,5.74439
NREM,0.00033,6.49366,11.73854,9.99024,8.11707
NREM,0.00028,5.99415,11.98829,9.74049,5.99415
NREM,0.00024,6.2439,12.4878,10.98927,4.87024
NREM,0.00028,5.36976,11.48878,9.49073,4.99512
NREM,0.00037,4.99512,10.73951,8.99122,3.87122
NREM,0.00041,5.12,10.61463,8.61659,4.24585
NREM,0.00136,3.62146,11.48878,8.36683,1.87317
NREM,0.00053,4.24585,13.61171,9.49073,1.99805
NREM,0.0003,5.61951,11.86341,9.36585,5.99415
NREM,0.00032,5.86927,11.48878,9.86537,6.2439
NREM,0.00032,5.36976,10.98927,9.36585,5.49463
NREM,0.00039,5.74439,11.61366,9.49073,3.9961
NREM,0.00036,5.61951,10.86439,8.86634,4.62049
NREM,0.00042,5.86927,11.98829,9.99024,5.99415
NREM,0.00055,5.86927,11.73854,9.99024,5.12
NREM,0.00015,6.61854,13.23707,11.3639,6.2439
NREM,0.00033,5.24488,10.98927,8.86634,4.12098
NREM,0.00032,5.74439,11.3639,9.24098,6.2439
NREM,0.00044,5.36976,10.61463,8.99122,4.37073
NREM,0.00053,5.86927,10.48976,9.24098,5.86927
NREM,0.00042,5.24488,12.73756,10.11512,4.49561
NREM,0.0005,5.12,11.48878,9.1161,5.12
NREM,0.00063,5.12,12.11317,9.49073,4.87024
NREM,0.00046,4.87024,10.86439,8.86634,4.62049
NREM,0.00062,4.99512,8.99122,7.9922,4.24585
NREM,0.00054,5.24488,10.61463,8.86634,5.74439
NREM,0.00056,5.36976,11.23902,9.1161,4.49561
NREM,0.00059,5.24488,10.61463,8.74146,5.12
NREM,0.00043,5.36976,11.73854,9.61561,4.37073
NREM,0.00061,5.36976,12.4878,9.36585,4.62049
NREM,0.00027,6.36878,12.23805,10.86439,5.86927
NREM,0.00026,6.11902,13.1122,10.73951,6.11902
NREM,0.0004,5.49463,12.73756,10.86439,4.99512
NREM,0.00028,5.86927,12.11317,11.11415,4.12098
NREM,0.00044,5.24488,10.86439,9.1161,3.9961
NREM,0.00041,6.49366,11.98829,10.86439,7.24293
NREM,0.00039,5.49463,11.73854,9.86537,3.24683
NREM,0.00054,5.36976,11.73854,9.49073,5.12
NREM,0.00047,5.74439,12.61268,10.86439,5.86927
NREM,0.00057,4.99512,11.98829,9.36585,5.12
NREM,0.00065,4.87024,11.73854,8.86634,3.74634
NREM,0.00066,5.12,12.36293,9.74049,4.12098
NREM,0.00075,5.24488,12.11317,9.36585,3.74634
NREM,0.00057,5.36976,11.86341,8.86634,4.62049
NREM,0.00072,4.99512,10.48976,8.36683,3.12195
NREM,0.00057,5.36976,11.23902,9.1161,6.61854
NREM,0.00073,5.12,11.48878,8.99122,4.12098
NREM,0.00059,5.49463,12.23805,9.49073,5.49463
NREM,0.00063,5.49463,10.98927,8.99122,3.37171
NREM,0.00083,4.99512,11.61366,9.1161,4.74537
NREM,0.00065,4.87024,11.48878,8.49171,4.87024
NREM,0.00071,5.12,11.98829,8.74146,2.8722
NREM,0.00075,4.99512,11.86341,8.49171,4.87024
NREM,0.00086,4.74537,10.36488,7.86732,4.24585
NREM,0.00068,5.12,10.48976,8.36683,5.86927
NREM,0.0009,5.12,9.86537,8.11707,5.24488
NREM,0.00078,4.87024,10.36488,8.11707,4.99512
NREM,0.00084,4.87024,11.48878,8.11707,3.87122
NREM,0.00077,4.99512,9.86537,7.9922,4.62049
NREM,0.0007,4.87024,11.98829,8.61659,4.49561
NREM,0.00074,4.99512,10.36488,7.86732,4.87024
NREM,0.00069,4.87024,10.48976,8.11707,4.99512
NREM,0.00072,4.74537,10.48976,7.9922,3.9961
NREM,0.00081,4.87024,9.99024,8.24195,4.62049
NREM,0.00083,5.12,10.11512,7.49268,5.86927
NREM,0.00055,4.49561,10.36488,7.9922,3.9961
