Sleep_Stage,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2
NREM,0.00221,1.37366,6.2439,3.37171,1.1239
NREM,0.00129,1.24878,6.11902,3.62146,0.62439
NREM,0.00151,1.99805,6.36878,3.87122,0.62439
NREM,0.00229,1.49854,5.99415,3.74634,0.74927
NREM,0.00144,1.37366,6.49366,3.62146,0.87415
NREM,0.00245,1.62341,5.74439,3.24683,0.99902
NREM,0.00157,1.62341,5.99415,3.74634,0.74927
NREM,0.00222,1.1239,5.86927,3.49659,0.99902
NREM,0.00196,1.49854,5.99415,3.62146,0.62439
NREM,0.00227,1.1239,6.11902,3.24683,0.37463
NREM,0.00191,1.49854,6.11902,3.49659,0.87415
NREM,0.00263,0.99902,6.11902,3.24683,0.74927
NREM,0.00272,1.1239,5.99415,3.12195,0.62439
NREM,0.00217,1.24878,5.86927,3.49659,0.87415
NREM,0.00218,1.24878,6.2439,3.24683,0.49951
NREM,0.00202,1.24878,5.86927,3.37171,0.62439
NREM,0.00292,1.49854,6.11902,3.37171,1.24878
NREM,0.00346,1.1239,5.24488,2.74732,1.24878
NREM,0.00387,0.87415,5.74439,2.49756,0.49951
NREM,0.00251,1.1239,5.86927,3.24683,1.1239
NREM,0.00242,0.99902,5.74439,3.12195,0.87415
NREM,0.00163,0.87415,6.86829,3.12195,0.62439
NREM,0.00235,0.87415,5.99415,2.99707,0.62439
REM,0.00139,0.99902,6.49366,3.24683,0.87415
REM,0.00128,1.37366,6.49366,3.37171,0.74927
REM,0.00101,1.24878,6.86829,3.37171,0.74927
REM,0.00113,1.1239,6.86829,3.49659,0.62439
REM,0.001,1.24878,6.86829,2.99707,0.74927
REM,0.00092,0.74927,7.3678,3.24683,0.49951
REM,0.00085,1.24878,6.74341,3.49659,0.74927
REM,0.00096,0.74927,6.49366,3.12195,0.74927
REM,0.00132,0.99902,5.86927,3.37171,0.87415
REM,0.00111,0.87415,7.74244,3.24683,0.49951
REM,0.00091,1.37366,8.24195,3.62146,0.49951
REM,0.00117,0.87415,6.49366,3.12195,0.49951
REM,0.00114,0.87415,6.61854,3.12195,0.62439
REM,0.00092,1.1239,6.36878,3.37171,0.49951
REM,0.0009,1.1239,6.61854,3.87122,0.87415
REM,0.00101,1.1239,5.86927,3.37171,0.74927
REM,0.00109,0.99902,6.11902,2.99707,0.37463
REM,0.00096,0.99902,6.61854,3.74634,0.74927
REM,0.00108,0.99902,6.61854,3.24683,0.62439
REM,0.00094,1.74829,6.11902,3.62146,0.74927
REM,0.00106,1.1239,5.99415,2.99707,1.1239
REM,0.00106,1.24878,5.99415,3.12195,0.62439
REM,0.00095,1.24878,6.11902,3.62146,0.49951
REM,0.00132,1.24878,5.86927,3.12195,0.74927
REM,0.00065,1.1239,7.24293,3.62146,0.49951
REM,0.00088,1.37366,6.2439,3.49659,0.49951
REM,0.00102,1.24878,6.36878,2.99707,0.74927
REM,0.00107,1.1239,7.61756,3.49659,0.74927
REM,0.0008,1.24878,6.74341,3.49659,0.49951
REM,0.00124,1.24878,6.11902,3.24683,0.62439
REM,0.00074,1.49854,6.49366,3.37171,0.87415
REM,0.00085,0.99902,6.86829,3.37171,0.62439
REM,0.00102,1.1239,6.86829,3.12195,0.62439
NREM,0.00109,1.62341,6.74341,3.87122,0.49951
NREM,0.00083,1.24878,6.49366,3.37171,0.49951
NREM,0.00211,0.87415,5.99415,3.12195,0.62439
NREM,0.00146,1.49854,6.36878,3.62146,0.74927
NREM,0.00136,1.1239,6.2439,3.62146,0.74927
NREM,0.0013,1.37366,6.11902,3.87122,1.49854
NREM,0.0014,1.1239,6.49366,3.62146,0.74927
NREM,0.00161,1.37366,6.36878,3.49659,0.74927
NREM,0.00305,0.74927,6.36878,2.8722,0.62439
NREM,0.01044,0.87415,3.9961,1.87317,0.99902
NREM,0.00212,0.87415,6.2439,2.8722,0.74927
NREM,0.00129,1.24878,6.2439,3.49659,0.87415
NREM,0.00127,1.74829,6.11902,3.74634,0.87415
NREM,0.00142,1.62341,6.11902,3.9961,0.87415
NREM,0.00205,1.1239,6.2439,3.12195,0.74927
NREM,0.00112,1.24878,6.49366,3.49659,0.87415
NREM,0.00156,1.1239,6.11902,3.62146,0.99902
NREM,0.00169,1.49854,5.74439,3.74634,0.87415
NREM,0.00159,0.99902,6.74341,3.37171,0.62439
NREM,0.0017,1.1239,6.2439,3.87122,0.99902
NREM,0.00194,1.24878,5.86927,3.49659,0.62439
NREM,0.00156,1.49854,6.2439,3.62146,0.74927
NREM,0.0032,0.99902,5.36976,2.8722,0.74927
NREM,0.00168,1.1239,5.99415,3.24683,0.87415
NREM,0.00151,1.49854,6.11902,3.87122,0.74927
NREM,0.00244,1.24878,5.74439,3.49659,0.74927
NREM,0.00268,1.1239,5.61951,2.99707,0.49951
NREM,0.00366,0.87415,5.49463,2.8722,0.74927
NREM,0.00258,0.87415,5.86927,3.24683,0.62439
NREM,0.00345,0.87415,5.61951,2.49756,0.74927
NREM,0.00318,0.87415,5.74439,2.8722,0.74927
NREM,0.00321,1.1239,5.61951,3.37171,0.74927
NREM,0.00409,0.87415,5.12,2.2478,0.74927
NREM,0.00346,1.1239,5.49463,3.37171,0.74927
NREM,0.00505,0.87415,5.24488,2.99707,0.49951
NREM,0.00402,0.62439,5.49463,2.99707,0.62439
NREM,0.0037,0.74927,5.49463,3.24683,0.62439
NREM,0.0051,0.99902,5.12,2.62244,0.87415
NREM,0.00585,0.74927,4.87024,2.49756,0.62439
NREM,0.00508,0.87415,5.24488,2.62244,0.74927
NREM,0.00667,0.74927,4.87024,2.49756,0.49951
NREM,0.00662,0.87415,4.99512,2.37268,0.62439
NREM,0.00379,0.87415,5.12,2.49756,0.49951
NREM,0.00181,1.37366,6.2439,4.12098,1.1239
NREM,0.00378,0.87415,5.24488,3.12195,0.62439
NREM,0.00301,0.87415,5.36976,3.12195,0.62439
NREM,0.00377,0.99902,5.36976,2.99707,0.62439
NREM,0.00474,0.74927,5.12,2.49756,0.62439
NREM,0.0063,0.62439,5.36976,2.49756,0.49951
NREM,0.00535,0.74927,5.12,2.8722,0.62439
NREM,0.00538,0.74927,5.12,2.62244,0.62439
NREM,0.00467,0.87415,5.49463,2.8722,0.74927
NREM,0.00574,0.74927,5.36976,2.37268,0.62439
NREM,0.00654,0.74927,5.12,2.49756,0.62439
NREM,0.00786,0.74927,4.62049,2.2478,0.74927
NREM,0.00581,0.74927,5.49463,2.49756,0.74927
NREM,0.00597,0.74927,4.99512,2.74732,0.74927
NREM,0.00701,0.74927,4.87024,2.37268,0.49951
NREM,0.00428,0.87415,5.36976,2.74732,0.62439
NREM,0.0068,0.74927,5.24488,2.37268,0.49951
NREM,0.00435,0.87415,5.49463,3.12195,0.62439
NREM,0.00543,0.87415,5.24488,2.74732,0.62439
NREM,0.00539,0.87415,4.62049,2.74732,0.62439
NREM,0.07546,0.62439,2.74732,0.99902,0.62439
NREM,0.05329,0.49951,3.12195,1.24878,0.49951
NREM,0.00307,0.99902,5.61951,2.8722,0.87415
NREM,0.00449,0.74927,5.61951,1.99805,0.62439
NREM,0.1606,0.62439,2.99707,1.74829,0.49951
NREM,0.10054,0.49951,2.37268,0.74927,0.37463
NREM,0.00183,1.62341,6.36878,3.9961,0.74927
NREM,0.00419,0.87415,5.99415,2.8722,0.49951
NREM,0.00183,1.49854,6.61854,3.87122,0.74927
NREM,0.00282,1.1239,6.86829,3.37171,0.62439
NREM,0.00219,1.49854,6.36878,3.87122,0.62439
NREM,0.00254,1.24878,6.36878,3.87122,0.62439
NREM,0.00291,1.24878,6.36878,3.62146,0.62439
NREM,0.00427,0.87415,5.99415,3.24683,0.62439
NREM,0.00385,1.37366,5.99415,3.24683,1.37366
NREM,0.00391,0.99902,5.74439,3.24683,0.87415
NREM,0.00363,0.99902,6.11902,3.49659,0.87415
NREM,0.00335,1.24878,5.99415,3.49659,0.74927
NREM,0.00384,0.99902,5.99415,3.37171,0.62439
NREM,0.12494,0.49951,2.74732,1.1239,0.62439
NREM,0.00625,0.87415,5.36976,2.49756,0.87415
NREM,0.04753,0.87415,3.74634,2.12293,0.37463
NREM,0.10506,0.49951,2.62244,0.87415,0.49951
NREM,0.00356,0.99902,5.99415,2.99707,0.62439
NREM,0.00168,1.37366,6.49366,3.9961,0.74927
NREM,0.00227,1.37366,6.74341,4.12098,0.87415
NREM,0.00223,1.37366,6.2439,3.62146,0.74927
NREM,0.00348,0.99902,5.99415,3.49659,0.74927
NREM,0.00243,1.1239,6.2439,3.62146,0.74927
NREM,0.00364,1.1239,5.74439,3.12195,0.62439
NREM,0.0063,0.99902,5.24488,2.8722,0.62439
NREM,0.00323,0.99902,6.2439,3.37171,0.74927
NREM,0.00377,1.37366,5.86927,3.62146,0.74927
NREM,0.00424,0.62439,5.74439,2.99707,0.62439
NREM,0.00445,0.74927,5.61951,2.74732,0.62439
NREM,0.00629,0.87415,5.49463,2.49756,0.62439
NREM,0.00397,0.74927,5.74439,2.99707,0.62439
NREM,0.00536,0.87415,5.36976,2.8722,0.87415
NREM,0.0044,0.74927,5.61951,2.8722,0.62439
NREM,0.0055,0.74927,5.61951,2.74732,0.49951
NREM,0.00625,0.74927,5.36976,2.74732,0.62439
NREM,0.00416,0.87415,5.61951,2.99707,0.49951
NREM,0.00718,0.74927,5.24488,2.37268,0.62439
NREM,0.00562,0.87415,5.49463,2.74732,0.74927
NREM,0.00617,0.99902,5.12,2.99707,0.74927
NREM,0.00906,0.74927,5.12,2.49756,0.49951
NREM,0.00827,0.74927,5.24488,2.49756,0.62439
NREM,0.01117,0.74927,4.74537,1.99805,0.62439
NREM,0.00674,0.74927,5.12,2.62244,0.62439
NREM,0.00902,0.74927,4.99512,2.62244,0.62439
NREM,0.00826,0.87415,4.99512,2.12293,0.74927
NREM,0.00338,0.87415,5.86927,3.12195,0.49951
NREM,0.00849,0.74927,4.87024,1.99805,0.62439
NREM,0.00314,0.99902,6.11902,3.37171,0.87415
NREM,0.26038,0.74927,2.8722,1.74829,0.62439
NREM,0.0028,0.74927,6.36878,2.37268,0.49951
NREM,0.00272,0.87415,6.49366,2.49756,0.62439
NREM,0.00151,1.1239,6.2439,3.62146,1.1239
NREM,0.00165,1.24878,6.36878,3.87122,0.62439
NREM,0.00269,0.87415,5.86927,3.24683,0.62439
NREM,0.00195,1.24878,6.36878,3.24683,0.49951
NREM,0.00346,1.24878,6.2439,3.12195,0.87415
NREM,0.00208,1.37366,6.61854,3.12195,1.62341
NREM,0.00317,1.1239,5.74439,2.99707,0.99902
NREM,0.00393,0.99902,5.99415,2.62244,0.74927
REM,0.00123,1.37366,6.2439,3.49659,0.37463
REM,0.00146,1.1239,6.61854,3.37171,0.49951
REM,0.00179,1.1239,6.74341,3.12195,0.62439
REM,0.00115,1.24878,6.49366,3.87122,0.87415
REM,0.00108,1.24878,6.74341,3.37171,0.74927
REM,0.00114,1.1239,7.61756,3.74634,0.49951
REM,0.00178,1.1239,5.99415,3.24683,0.74927
REM,0.00103,0.99902,6.86829,3.49659,0.49951
REM,0.00135,1.24878,5.99415,3.62146,0.62439
REM,0.00135,0.99902,6.49366,3.37171,0.49951
REM,0.00122,1.24878,6.2439,3.49659,0.74927
REM,0.00173,1.24878,6.2439,3.24683,0.87415
REM,0.00082,1.24878,7.24293,3.62146,0.74927
REM,0.00109,1.37366,6.61854,3.49659,0.87415
REM,0.00122,1.1239,6.49366,3.24683,0.62439
REM,0.0012,0.99902,5.99415,3.37171,0.49951
REM,0.00139,0.87415,5.99415,3.12195,0.49951
REM,0.00112,0.99902,6.36878,3.24683,0.74927
REM,0.00092,1.1239,6.61854,3.62146,0.62439
REM,0.00111,1.62341,6.36878,3.62146,0.99902
REM,0.00109,1.37366,6.2439,3.37171,0.74927
REM,0.00092,1.24878,6.49366,3.74634,0.74927
REM,0.00114,1.37366,6.2439,3.49659,0.74927
REM,0.00121,0.99902,6.36878,3.37171,0.49951
REM,0.00147,0.99902,6.2439,3.24683,0.49951
REM,0.00093,1.1239,6.74341,3.37171,0.74927
REM,0.00103,1.1239,8.11707,4.12098,0.62439
REM,0.00196,1.1239,6.11902,3.37171,0.49951
REM,0.00104,1.74829,6.49366,3.62146,0.49951
REM,0.00137,1.24878,6.49366,3.74634,0.62439
REM,0.00097,0.99902,8.36683,3.87122,0.62439
REM,0.00101,0.99902,6.99317,3.37171,0.74927
REM,0.0013,1.62341,6.11902,3.74634,0.74927
REM,0.00076,1.87317,6.86829,3.74634,2.2478
REM,0.00201,1.24878,6.2439,3.12195,1.1239
REM,0.0012,1.1239,6.36878,3.49659,0.62439
REM,0.00102,0.99902,6.61854,3.24683,0.62439
REM,0.00101,1.1239,6.49366,3.87122,0.74927
REM,0.00129,1.1239,6.74341,3.24683,0.74927
REM,0.0011,1.1239,7.24293,3.37171,0.49951
REM,0.00126,1.24878,6.11902,3.24683,0.74927
REM,0.00205,0.74927,5.99415,2.74732,0.49951
REM,0.00093,1.1239,6.61854,3.37171,0.62439
REM,0.0015,0.87415,5.99415,3.12195,0.37463
REM,0.00102,1.1239,6.49366,3.49659,0.99902
REM,0.00126,1.1239,6.49366,3.74634,0.62439
REM,0.00087,1.62341,6.74341,3.62146,0.62439
REM,0.00212,0.99902,5.24488,2.74732,0.87415
REM,0.00117,0.99902,6.74341,3.12195,0.99902
REM,0.00138,1.1239,6.36878,3.12195,0.62439
REM,0.00082,1.1239,6.99317,3.37171,0.62439
REM,0.00127,1.24878,6.11902,3.24683,0.87415
NREM,0.00074,1.1239,7.49268,3.87122,0.62439
NREM,0.00076,1.37366,7.11805,3.74634,0.99902
NREM,0.00094,0.87415,7.24293,3.37171,0.62439
NREM,0.00078,1.24878,7.61756,3.74634,0.62439
NREM,0.00086,0.87415,6.99317,3.49659,0.62439
NREM,0.0009,0.74927,6.99317,3.12195,0.62439
NREM,0.00088,1.24878,6.49366,3.62146,0.37463
NREM,0.00124,1.1239,6.11902,3.74634,0.74927
NREM,0.00101,1.62341,6.36878,3.9961,0.49951
NREM,0.02531,1.24878,3.74634,1.87317,1.74829
NREM,0.03011,0.62439,3.12195,1.1239,0.49951
NREM,0.00098,1.1239,6.36878,3.49659,0.62439
NREM,0.00114,1.1239,6.36878,3.24683,0.37463
NREM,0.00076,1.37366,6.36878,3.9961,1.37366
NREM,0.00131,0.87415,6.61854,3.37171,0.62439
NREM,0.00081,1.37366,6.61854,4.12098,0.74927
NREM,0.0009,1.37366,7.24293,3.87122,0.74927
NREM,0.00119,1.24878,6.99317,3.9961,0.74927
NREM,0.00515,0.37463,4.24585,0.62439,0.37463
NREM,0.00265,0.37463,5.86927,2.12293,0.37463
NREM,0.00153,0.99902,6.2439,2.99707,0.74927
NREM,0.00149,1.1239,6.2439,3.49659,0.37463
NREM,0.00188,0.99902,6.74341,3.12195,0.37463
NREM,0.00274,0.62439,5.49463,2.62244,0.49951
NREM,0.00121,1.37366,6.36878,3.9961,0.74927
NREM,0.00192,1.1239,6.2439,3.87122,0.74927
NREM,0.00161,1.37366,5.74439,3.49659,1.1239
NREM,0.00158,1.37366,6.11902,4.12098,0.74927
NREM,0.0022,1.24878,5.74439,3.24683,0.37463
NREM,0.00188,1.1239,6.2439,3.49659,0.74927
NREM,0.00138,1.49854,6.36878,4.12098,0.62439
NREM,0.00249,0.87415,5.86927,2.74732,0.87415
NREM,0.00159,1.24878,6.36878,3.87122,0.74927
NREM,0.00138,0.87415,6.49366,2.62244,0.49951
NREM,0.00086,0.99902,6.61854,3.24683,0.74927
NREM,0.00171,0.87415,6.2439,3.24683,0.62439
NREM,0.00118,0.74927,6.36878,3.24683,0.49951
NREM,0.00116,1.24878,6.36878,3.9961,0.99902
NREM,0.00112,0.99902,7.3678,3.37171,0.62439
NREM,0.00109,1.37366,6.61854,3.62146,0.37463
NREM,0.00131,1.62341,6.49366,3.9961,1.37366
NREM,0.00138,1.37366,6.36878,3.62146,1.49854
NREM,0.00211,1.24878,5.86927,3.49659,1.1239
NREM,0.00217,1.37366,5.86927,3.74634,0.99902
NREM,0.00155,1.49854,6.11902,4.12098,0.74927
NREM,0.00173,1.49854,6.36878,3.9961,1.1239
NREM,0.00133,1.62341,6.61854,3.9961,1.37366
NREM,0.00182,1.62341,6.2439,3.9961,0.99902
NREM,0.00215,1.1239,6.2439,3.24683,0.74927
NREM,0.0019,1.74829,6.2439,3.87122,0.74927
NREM,0.00178,1.37366,6.11902,3.74634,1.1239
NREM,0.00219,1.49854,6.2439,3.37171,0.87415
NREM,0.00184,1.62341,6.49366,4.24585,0.74927
NREM,0.00273,1.1239,5.74439,3.24683,0.74927
NREM,0.00306,0.87415,5.86927,3.12195,0.62439
NREM,0.00236,1.37366,5.99415,3.62146,0.87415
NREM,0.00324,1.24878,5.74439,3.62146,0.74927
NREM,0.00206,1.62341,6.11902,3.74634,0.62439
NREM,0.00235,1.37366,6.2439,3.9961,0.87415
NREM,0.0031,0.99902,5.61951,3.49659,0.62439
NREM,0.0046,0.87415,5.49463,2.99707,0.62439
NREM,0.00384,0.99902,5.86927,3.12195,0.74927
NREM,0.00285,1.1239,5.74439,3.37171,0.74927
NREM,0.00306,0.99902,5.86927,3.37171,0.49951
NREM,0.00447,0.62439,5.36976,2.74732,0.49951
NREM,0.00521,0.74927,5.24488,2.74732,0.74927
NREM,0.00371,1.1239,5.86927,3.12195,0.74927
