Sleep_Stage,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2
NREM,0.00042,7.11805,12.98732,12.36293,4.99512
NREM,0.00035,7.11805,13.23707,12.4878,7.11805
NREM,0.00029,7.49268,13.36195,12.4878,6.74341
NREM,0.00029,7.11805,13.73659,12.61268,6.86829
NREM,0.00035,6.86829,13.36195,12.4878,6.11902
NREM,0.00034,7.74244,13.23707,12.73756,6.61854
NREM,0.00032,8.11707,13.36195,12.86244,6.36878
NREM,0.00034,7.49268,13.61171,12.86244,4.99512
NREM,0.00041,6.86829,12.98732,12.36293,5.74439
NREM,0.00024,7.3678,14.36098,12.98732,5.86927
NREM,0.00042,6.99317,12.98732,12.11317,6.11902
NREM,0.00034,6.99317,13.36195,12.4878,6.49366
NREM,0.0003,7.11805,13.36195,12.61268,6.49366
NREM,0.00034,6.86829,13.23707,12.36293,5.86927
NREM,0.00036,7.61756,13.23707,12.61268,5.24488
NREM,0.00038,6.99317,12.73756,11.98829,7.11805
NREM,0.00033,7.11805,13.1122,12.4878,6.11902
NREM,0.00034,6.99317,13.36195,12.73756,5.36976
NREM,0.00032,7.3678,13.36195,12.4878,7.49268
NREM,0.00029,6.99317,13.61171,12.61268,6.36878
NREM,0.00039,7.11805,13.23707,12.73756,5.36976
NREM,0.0003,7.24293,13.36195,12.73756,5.61951
NREM,0.0004,6.86829,13.1122,12.36293,4.87024
NREM,0.00029,7.24293,13.61171,12.61268,6.99317
NREM,0.00025,6.74341,14.11122,12.73756,5.61951
NREM,0.00045,7.61756,13.86146,12.98732,6.2439
NREM,0.0003,6.86829,13.61171,12.73756,5.36976
NREM,0.00028,6.99317,13.73659,12.86244,5.49463
NREM,0.00034,6.61854,13.1122,12.36293,6.11902
NREM,0.00033,7.24293,13.61171,12.73756,5.74439
NREM,0.00032,6.99317,13.73659,12.61268,5.49463
NREM,0.00033,7.3678,13.23707,12.61268,7.61756
NREM,0.00026,7.24293,13.61171,12.86244,5.61951
NREM,0.00033,6.86829,13.1122,12.23805,6.36878
NREM,0.00033,6.74341,13.23707,12.23805,5.12
NREM,0.00029,7.61756,13.86146,12.98732,5.61951
NREM,0.00029,7.24293,13.86146,12.98732,5.99415
NREM,0.00027,6.99317,13.61171,12.73756,5.86927
NREM,0.00031,9.36585,18.98146,17.98244,9.24098
NREM,0.00114,9.61561,19.23122,18.60683,7.24293
NREM,0.00051,8.74146,15.98439,14.86049,8.61659
NREM,0.00057,8.99122,15.23512,13.98634,12.61268
NREM,0.00054,8.61659,16.35902,15.60976,7.49268
NREM,0.00052,8.61659,15.98439,14.86049,8.61659
NREM,0.00055,8.99122,15.48488,14.48585,7.49268
NREM,0.00051,8.99122,15.60976,14.73561,10.86439
NREM,0.00041,8.74146,15.98439,15.11024,7.86732
NREM,0.00052,9.49073,15.48488,14.61073,8.11707
NREM,0.00054,8.99122,15.11024,14.36098,7.3678
NREM,0.00055,8.86634,15.48488,14.61073,8.24195
NREM,0.00045,8.99122,15.73463,14.98537,8.86634
NREM,0.00029,9.49073,16.73366,16.23415,8.61659
NREM,0.0002,9.99024,17.10829,16.4839,8.86634
NREM,0.00019,10.61463,17.6078,17.23317,9.61561
NREM,0.00022,9.61561,16.85854,16.10927,8.11707
NREM,0.00029,9.74049,16.85854,16.23415,7.49268
NREM,0.0002,10.48976,17.10829,16.73366,8.86634
NREM,0.00051,11.48878,20.23024,20.23024,10.36488
NREM,0.00022,9.74049,17.73268,16.98341,8.61659
NREM,0.00032,9.24098,15.85951,15.11024,6.61854
NREM,0.00037,9.36585,14.61073,14.11122,12.23805
NREM,0.00035,8.61659,15.48488,14.2361,8.49171
NREM,0.00035,9.1161,14.98537,14.11122,7.49268
NREM,0.00039,9.49073,15.85951,14.86049,12.36293
NREM,0.00034,8.61659,14.98537,13.73659,8.61659
NREM,0.00035,8.99122,14.86049,13.98634,8.86634
NREM,0.00036,8.61659,14.98537,13.98634,6.61854
NREM,0.00033,8.74146,15.23512,14.2361,6.99317
NREM,0.00039,8.74146,14.61073,13.36195,8.99122
NREM,0.00038,8.61659,14.61073,13.86146,5.61951
NREM,0.00041,8.74146,14.61073,13.61171,8.74146
NREM,0.00037,9.1161,14.73561,13.61171,8.11707
NREM,0.00033,7.86732,14.98537,13.98634,7.24293
NREM,0.0004,7.9922,14.61073,13.48683,7.24293
NREM,0.00038,8.24195,14.73561,13.61171,7.24293
NREM,0.00037,8.36683,14.73561,13.48683,7.61756
NREM,0.00048,9.36585,13.61171,12.98732,12.11317
NREM,0.00032,7.86732,14.98537,13.86146,7.61756
NREM,0.00039,8.99122,14.48585,13.61171,11.98829
NREM,0.00034,8.36683,14.86049,13.61171,5.86927
NREM,0.00032,8.49171,15.23512,14.11122,8.86634
NREM,0.0004,8.86634,14.2361,13.36195,12.36293
NREM,0.00032,8.49171,15.11024,13.73659,5.12
NREM,0.00034,8.61659,14.73561,13.61171,9.36585
NREM,0.00039,9.49073,14.11122,13.23707,12.23805
NREM,0.00038,7.9922,14.61073,13.36195,7.74244
NREM,0.00077,10.11512,18.60683,18.10732,8.61659
NREM,0.00036,9.74049,19.10634,18.85659,9.1161
NREM,0.00033,9.99024,18.98146,18.73171,7.86732
NREM,0.00029,9.61561,16.23415,15.60976,8.36683
NREM,0.00032,8.61659,14.86049,13.86146,8.61659
NREM,0.00039,10.11512,16.4839,15.85951,9.74049
NREM,0.00032,9.74049,17.6078,17.10829,8.36683
NREM,0.00039,9.61561,16.60878,15.85951,8.36683
NREM,0.00043,9.86537,16.4839,15.85951,10.98927
NREM,0.00037,9.49073,17.10829,16.23415,7.86732
NREM,0.00036,9.24098,16.35902,15.60976,8.49171
NREM,0.001,11.98829,21.10439,21.10439,11.98829
NREM,0.00046,10.48976,18.73171,18.48195,9.24098
NREM,0.0004,9.86537,16.98341,16.4839,8.36683
NREM,0.00043,9.36585,16.60878,15.85951,9.1161
NREM,0.00081,10.11512,22.10341,21.35415,10.98927
NREM,0.00036,10.36488,17.85756,17.48293,7.3678
NREM,0.00062,10.73951,18.98146,18.73171,13.86146
NREM,0.00041,9.99024,17.85756,17.35805,8.61659
NREM,0.00042,10.11512,16.35902,15.98439,9.49073
NREM,0.00023,9.86537,17.98244,17.23317,9.61561
NREM,0.00018,10.36488,18.2322,17.98244,9.36585
NREM,0.00018,10.36488,18.48195,18.2322,9.99024
NREM,0.0002,9.86537,17.23317,16.60878,7.61756
NREM,0.00031,9.86537,17.6078,16.98341,8.99122
NREM,0.0003,8.99122,16.4839,15.23512,8.24195
NREM,0.00029,9.99024,16.4839,15.73463,10.61463
NREM,0.00037,10.11512,15.48488,14.98537,11.73854
NREM,0.00041,9.99024,17.98244,17.48293,9.61561
NREM,0.00024,8.61659,16.73366,15.48488,5.86927
NREM,0.00033,9.74049,15.11024,14.2361,9.36585
NREM,0.00038,9.24098,14.73561,13.86146,8.36683
NREM,0.00032,9.36585,14.73561,13.86146,12.36293
NREM,0.0003,9.36585,16.23415,15.11024,6.36878
NREM,0.00032,8.61659,15.11024,14.11122,8.24195
NREM,0.00046,9.36585,15.36,14.2361,7.74244
NREM,0.00027,9.61561,16.10927,15.36,9.1161
NREM,0.0004,9.24098,14.48585,13.48683,12.36293
NREM,0.00039,8.74146,14.48585,13.61171,7.9922
NREM,0.0003,8.74146,15.60976,14.48585,7.61756
NREM,0.00035,8.74146,14.48585,13.73659,8.49171
NREM,0.0003,8.74146,15.23512,13.98634,7.61756
NREM,0.00035,8.99122,14.73561,13.73659,12.11317
NREM,0.00036,8.74146,14.2361,13.23707,8.74146
NREM,0.00037,9.1161,14.48585,13.73659,12.73756
NREM,0.00038,9.36585,13.48683,13.1122,8.49171
NREM,0.00041,9.24098,13.98634,13.48683,8.99122
NREM,0.00036,8.74146,14.61073,13.48683,7.86732
NREM,0.00029,8.11707,15.36,14.36098,7.24293
NREM,0.00037,8.99122,14.36098,13.61171,6.99317
NREM,0.00026,8.49171,14.98537,13.98634,8.11707
NREM,0.00047,8.99122,13.73659,13.36195,6.2439
NREM,0.0003,8.99122,14.61073,13.73659,8.24195
NREM,0.00034,8.86634,14.48585,13.86146,7.86732
NREM,0.00035,9.36585,14.11122,13.48683,11.86341
NREM,0.00037,9.86537,14.98537,14.48585,7.74244
NREM,0.00035,9.49073,14.98537,14.11122,9.36585
NREM,0.00032,9.1161,15.23512,14.73561,8.11707
REM,0.00026,9.1161,16.10927,15.23512,8.11707
REM,0.00029,9.61561,15.98439,15.60976,6.49366
REM,0.00026,9.1161,16.60878,16.10927,8.61659
REM,0.00028,9.1161,15.98439,15.23512,8.61659
REM,0.00025,9.36585,15.98439,15.36,8.74146
REM,0.00024,9.61561,16.4839,15.98439,8.49171
REM,0.0002,8.86634,16.4839,15.73463,8.86634
REM,0.00019,9.61561,17.10829,16.35902,6.49366
REM,0.0002,9.24098,16.60878,15.73463,10.61463
REM,0.00034,8.86634,15.60976,14.86049,8.86634
REM,0.00034,8.86634,16.23415,14.98537,8.61659
REM,0.00021,9.49073,16.35902,15.60976,8.24195
REM,0.0002,9.1161,16.73366,15.98439,8.36683
REM,0.0002,9.61561,16.73366,16.23415,9.61561
REM,0.00022,9.1161,16.35902,15.60976,6.36878
REM,0.00017,9.36585,16.4839,15.85951,8.36683
REM,0.00017,9.24098,17.23317,16.35902,8.61659
REM,0.00022,9.61561,16.60878,15.85951,8.24195
REM,0.00024,9.49073,16.10927,15.60976,9.49073
REM,0.0002,9.24098,16.35902,15.48488,6.86829
REM,0.00015,9.24098,16.73366,15.85951,7.49268
REM,0.00016,9.1161,16.23415,15.48488,9.61561
REM,0.00018,9.49073,16.60878,15.73463,9.99024
REM,0.00019,9.1161,16.60878,15.85951,9.1161
REM,0.0002,9.61561,16.10927,15.60976,8.86634
REM,0.00018,9.24098,16.4839,15.98439,8.74146
REM,0.00018,9.36585,16.98341,16.10927,8.86634
REM,0.00031,8.61659,16.35902,15.36,7.9922
REM,0.00019,8.74146,16.4839,15.73463,8.11707
REM,0.00019,8.99122,16.4839,15.85951,8.86634
REM,0.00018,9.36585,16.60878,15.85951,8.74146
REM,0.00022,9.49073,16.35902,15.73463,8.74146
REM,0.00025,9.36585,16.4839,15.73463,8.61659
NREM,0.00031,8.86634,15.23512,14.61073,7.49268
NREM,0.0002,9.86537,16.4839,15.98439,8.61659
NREM,0.0003,9.49073,15.60976,14.73561,12.86244
NREM,0.00033,9.24098,15.11024,14.2361,8.74146
NREM,0.00026,9.1161,15.73463,14.98537,5.36976
NREM,0.00028,9.24098,15.11024,14.11122,8.99122
NREM,0.00031,9.74049,14.98537,14.11122,12.36293
NREM,0.0003,9.1161,15.36,14.48585,6.86829
NREM,0.00052,9.99024,19.48098,19.23122,8.86634
NREM,0.00056,14.2361,21.47902,21.85366,16.98341
NREM,0.00035,10.36488,17.98244,17.6078,9.36585
NREM,0.00022,8.99122,16.35902,15.60976,8.99122
NREM,0.00029,10.11512,13.98634,13.36195,12.23805
NREM,0.00029,8.49171,14.11122,13.36195,7.61756
NREM,0.00028,8.36683,14.2361,13.61171,7.86732
NREM,0.00021,8.61659,15.85951,14.86049,7.74244
NREM,0.0003,10.11512,13.86146,13.23707,12.36293
NREM,0.00028,9.61561,13.73659,12.98732,12.61268
NREM,0.00034,9.61561,13.86146,13.36195,12.61268
NREM,0.00031,8.24195,13.86146,13.1122,7.3678
NREM,0.00026,8.11707,14.2361,13.1122,7.11805
NREM,0.00026,8.24195,14.48585,13.36195,7.24293
NREM,0.00026,8.61659,13.98634,13.48683,6.49366
NREM,0.00023,8.36683,14.61073,13.61171,7.11805
NREM,0.00033,9.1161,13.61171,13.1122,12.4878
NREM,0.0003,8.11707,13.48683,12.98732,12.86244
NREM,0.00036,9.61561,13.73659,13.23707,12.61268
NREM,0.00028,8.11707,13.73659,12.98732,6.11902
NREM,0.0003,9.36585,13.61171,13.1122,12.61268
NREM,0.00026,7.86732,14.2361,13.1122,6.99317
NREM,0.00032,8.24195,13.73659,13.1122,12.61268
NREM,0.00032,7.61756,13.61171,12.98732,6.86829
NREM,0.00023,8.24195,14.36098,13.61171,6.99317
NREM,0.00032,7.86732,13.86146,13.23707,5.24488
NREM,0.00028,7.86732,14.11122,13.1122,5.99415
NREM,0.00024,7.61756,14.11122,13.1122,5.86927
NREM,0.00029,7.86732,13.98634,13.1122,12.73756
NREM,0.00032,8.99122,13.23707,12.86244,12.23805
NREM,0.00023,7.61756,14.61073,13.48683,6.99317
NREM,0.00028,7.3678,13.73659,12.86244,6.61854
NREM,0.00027,7.74244,13.86146,13.1122,6.61854
NREM,0.00026,7.49268,14.11122,12.98732,6.49366
NREM,0.0002,8.61659,15.85951,14.48585,9.74049
NREM,0.00031,7.11805,13.73659,12.98732,6.86829
NREM,0.00032,8.49171,13.48683,12.86244,12.36293
NREM,0.00024,8.24195,13.86146,13.23707,6.74341
NREM,0.00028,7.74244,13.73659,12.98732,6.11902
NREM,0.00024,8.36683,13.98634,13.23707,12.36293
NREM,0.0003,7.49268,13.86146,12.98732,6.49366
NREM,0.00025,7.3678,14.11122,13.23707,7.61756
NREM,0.00028,8.61659,13.61171,13.1122,8.74146
NREM,0.00031,7.49268,13.48683,12.73756,6.86829
NREM,0.00025,6.99317,14.2361,12.86244,6.86829
NREM,0.00025,7.24293,13.73659,12.98732,5.61951
NREM,0.00023,7.74244,14.36098,13.23707,6.74341
NREM,0.00028,7.49268,13.73659,12.98732,6.11902
NREM,0.00024,7.61756,14.11122,12.98732,5.24488
NREM,0.00024,7.3678,13.86146,12.98732,6.99317
NREM,0.00025,7.49268,14.2361,13.36195,5.24488
NREM,0.00028,7.24293,13.23707,12.73756,5.61951
NREM,0.00028,7.24293,13.73659,12.86244,5.99415
NREM,0.00027,7.11805,13.73659,12.73756,5.99415
NREM,0.00019,7.61756,14.61073,13.48683,6.86829
NREM,0.00053,10.86439,18.73171,18.35707,9.74049
NREM,0.00084,11.86341,22.47805,22.85268,11.98829
NREM,0.00027,8.11707,15.11024,14.36098,7.24293
NREM,0.00036,9.36585,17.73268,16.85854,8.61659
NREM,0.00078,7.24293,19.10634,16.60878,2.49756
NREM,0.00056,8.99122,16.23415,15.48488,7.9922
NREM,0.00044,9.1161,15.73463,14.86049,7.3678
NREM,0.00047,8.99122,16.35902,15.11024,6.49366
NREM,0.00047,9.1161,15.11024,14.36098,7.86732
NREM,0.00062,8.74146,14.2361,13.23707,7.74244
NREM,0.00051,8.86634,15.11024,14.36098,7.3678
NREM,0.00053,8.74146,15.48488,14.61073,8.36683
NREM,0.00058,9.1161,14.86049,13.86146,8.36683
NREM,0.0006,9.24098,14.61073,13.86146,12.4878
NREM,0.00053,8.61659,15.36,14.11122,7.11805
NREM,0.00045,8.86634,15.85951,14.61073,8.24195
NREM,0.00052,8.36683,15.36,14.2361,6.74341
NREM,0.0005,8.61659,15.60976,14.48585,7.61756
NREM,0.00055,9.49073,14.98537,13.86146,11.98829
NREM,0.00053,8.86634,16.60878,15.48488,7.61756
NREM,0.00043,8.99122,15.60976,14.61073,9.49073
NREM,0.0012,11.61366,24.85073,25.10049,14.98537
NREM,0.00047,8.74146,16.85854,15.23512,8.99122
NREM,0.00047,8.99122,15.48488,14.61073,8.36683
NREM,0.00041,8.86634,15.48488,14.61073,7.86732
NREM,0.0006,8.61659,14.36098,13.48683,12.23805
NREM,0.00044,9.1161,15.36,14.48585,12.11317
NREM,0.00048,8.86634,15.48488,14.61073,6.74341
NREM,0.00049,9.49073,15.11024,14.36098,12.4878
NREM,0.00043,8.99122,15.73463,14.48585,7.74244
NREM,0.00041,8.61659,15.85951,14.61073,8.86634
NREM,0.00046,8.49171,15.73463,14.61073,12.4878
NREM,0.00054,8.99122,14.73561,13.61171,8.11707
NREM,0.0004,8.61659,15.60976,14.61073,6.86829
NREM,0.00038,8.99122,15.98439,15.11024,5.99415
NREM,0.00043,8.49171,15.60976,14.48585,5.99415
NREM,0.00043,9.1161,15.36,14.61073,7.74244
NREM,0.0004,8.74146,15.98439,14.73561,5.49463
NREM,0.00041,8.36683,16.10927,14.73561,8.36683
NREM,0.00043,8.49171,15.48488,14.48585,8.24195
NREM,0.00041,8.36683,15.73463,14.36098,5.99415
NREM,0.00039,9.24098,15.60976,14.61073,6.99317
NREM,0.00043,8.74146,15.48488,14.36098,8.49171
NREM,0.00043,8.86634,15.23512,14.48585,6.61854
NREM,0.00041,8.86634,15.85951,14.73561,8.49171
NREM,0.00046,8.24195,15.48488,14.11122,7.49268
NREM,0.00048,8.24195,15.11024,13.98634,6.11902
NREM,0.00039,8.74146,16.10927,14.86049,5.74439
NREM,0.00042,8.74146,15.60976,14.61073,8.24195
NREM,0.00045,8.11707,15.36,14.2361,7.11805
NREM,0.00049,8.99122,15.48488,14.61073,8.86634
NREM,0.0004,8.74146,16.23415,15.23512,6.86829
NREM,0.00046,9.49073,16.35902,15.48488,9.74049
NREM,0.00048,8.74146,15.48488,14.48585,7.24293
NREM,0.00096,7.24293,18.73171,16.35902,2.8722
NREM,0.00048,10.48976,17.98244,17.73268,9.61561
NREM,0.00041,10.24,18.60683,18.2322,7.49268
NREM,0.00028,9.1161,15.98439,15.11024,10.73951
NREM,0.00043,9.86537,14.48585,13.73659,12.4878
NREM,0.00033,8.86634,15.48488,14.48585,5.99415
NREM,0.00038,9.36585,14.98537,14.2361,8.61659
NREM,0.00048,8.49171,14.36098,13.48683,8.11707
NREM,0.00045,9.1161,14.61073,13.98634,9.1161
NREM,0.00035,9.24098,15.36,14.48585,5.74439
NREM,0.00038,8.99122,15.48488,14.61073,7.9922
REM,0.00024,9.36585,17.10829,16.35902,8.11707
REM,0.00029,8.49171,16.4839,15.85951,6.74341
REM,0.00034,8.74146,15.98439,15.36,7.11805
REM,0.0003,9.36585,15.85951,15.23512,9.61561
REM,0.00023,8.61659,16.85854,15.98439,7.86732
REM,0.00034,8.49171,15.98439,15.11024,8.61659
REM,0.00026,8.86634,16.4839,15.85951,8.49171
REM,0.00026,8.99122,16.35902,15.60976,8.74146
REM,0.00026,9.49073,16.35902,15.98439,8.49171
REM,0.00026,8.86634,16.10927,15.73463,7.9922
REM,0.00024,8.99122,16.60878,15.85951,6.86829
REM,0.00028,8.86634,16.23415,15.48488,8.24195
REM,0.00025,9.36585,15.98439,15.48488,8.61659
REM,0.00026,8.86634,16.23415,15.60976,8.11707
REM,0.00025,9.36585,16.4839,15.60976,9.36585
REM,0.00021,9.86537,16.73366,15.98439,9.24098
REM,0.00022,9.36585,17.10829,16.35902,8.74146
REM,0.0002,9.36585,16.85854,16.10927,6.49366
REM,0.00022,9.49073,16.60878,15.98439,8.86634
REM,0.00026,9.61561,16.60878,15.85951,9.61561
REM,0.00023,9.61561,16.35902,15.85951,9.61561
REM,0.00022,9.36585,16.60878,15.60976,6.86829
REM,0.00023,9.49073,16.73366,15.98439,9.99024
REM,0.00021,9.1161,16.73366,15.98439,8.61659
REM,0.00025,9.1161,16.4839,15.73463,9.36585
REM,0.00023,9.49073,16.60878,15.85951,8.74146
REM,0.00041,8.74146,16.4839,15.48488,8.24195
REM,0.00032,8.49171,15.98439,15.23512,6.11902
REM,0.00025,9.24098,16.10927,15.11024,9.49073
REM,0.0003,9.1161,16.23415,15.11024,9.24098
REM,0.00047,8.61659,15.36,14.36098,8.49171
REM,0.00025,8.99122,16.73366,15.85951,8.99122
REM,0.00024,8.86634,16.60878,15.60976,6.74341
REM,0.00024,9.49073,16.73366,15.73463,8.11707
REM,0.0003,9.1161,16.23415,15.23512,6.74341
REM,0.00024,9.24098,16.4839,15.73463,9.36585
REM,0.0002,8.99122,16.85854,15.98439,8.11707
REM,0.00024,9.36585,16.60878,15.73463,9.49073
REM,0.00028,8.99122,15.98439,15.11024,9.61561
REM,0.0003,8.86634,16.10927,15.23512,8.86634
REM,0.00022,9.36585,16.4839,15.85951,9.49073
REM,0.00027,9.61561,16.23415,15.60976,9.74049
REM,0.00025,9.99024,17.10829,16.4839,9.99024
REM,0.00023,9.61561,16.4839,15.85951,9.61561
REM,0.00024,9.24098,16.85854,15.85951,9.1161
REM,0.00029,9.36585,16.35902,15.48488,8.99122
REM,0.00024,9.24098,16.4839,15.85951,7.9922
REM,0.00021,9.36585,16.60878,15.98439,9.24098
REM,0.00027,9.74049,16.4839,15.73463,9.61561
REM,0.00023,9.36585,16.73366,15.98439,7.24293
REM,0.00023,9.74049,16.85854,16.10927,9.74049
REM,0.00023,9.49073,16.85854,16.10927,10.24
NREM,0.00023,8.99122,16.23415,15.36,8.11707
NREM,0.00023,8.74146,15.85951,14.98537,8.86634
NREM,0.00027,9.36585,16.4839,15.73463,8.74146
NREM,0.00027,9.24098,16.23415,15.23512,8.11707
NREM,0.00022,9.1161,17.35805,16.4839,8.86634
NREM,0.00023,9.99024,17.35805,16.98341,9.74049
NREM,0.00019,9.1161,16.73366,15.85951,8.86634
NREM,0.0002,8.74146,15.85951,14.73561,6.86829
NREM,0.00022,8.36683,15.23512,14.11122,8.24195
NREM,0.00062,9.61561,18.98146,17.98244,6.61854
NREM,0.00032,11.11415,20.97951,20.72976,14.11122
NREM,0.00021,9.1161,17.23317,16.4839,7.9922
NREM,0.00022,9.49073,17.23317,16.35902,6.2439
NREM,0.00019,9.1161,16.4839,15.98439,9.61561
NREM,0.00026,8.86634,15.98439,15.23512,7.61756
NREM,0.00021,8.61659,16.73366,15.98439,6.61854
NREM,0.00032,9.61561,16.60878,16.10927,9.1161
NREM,0.00041,9.36585,16.4839,15.98439,8.99122
NREM,0.00016,10.48976,19.10634,18.73171,9.49073
NREM,0.00019,8.86634,17.10829,16.10927,6.86829
NREM,0.00021,8.99122,17.10829,16.10927,7.49268
NREM,0.00025,8.61659,14.73561,13.98634,7.49268
NREM,0.00034,8.36683,14.2361,13.1122,9.36585
NREM,0.00028,10.24,14.11122,13.86146,12.98732
NREM,0.00028,8.99122,13.98634,13.36195,12.73756
NREM,0.00039,9.36585,13.48683,13.1122,12.4878
NREM,0.00025,8.49171,14.11122,13.48683,8.24195
NREM,0.00026,7.61756,14.11122,12.86244,8.11707
NREM,0.00029,8.61659,14.2361,13.61171,7.24293
NREM,0.00034,8.86634,14.11122,13.61171,8.36683
NREM,0.00032,8.49171,13.48683,13.1122,12.73756
NREM,0.00028,9.36585,14.73561,13.86146,7.49268
NREM,0.00038,9.24098,13.23707,13.1122,12.61268
NREM,0.00024,9.99024,16.4839,16.23415,11.23902
NREM,0.00023,10.11512,17.73268,17.10829,9.49073
NREM,0.00034,10.61463,18.60683,18.2322,10.61463
NREM,0.00024,10.36488,16.35902,16.10927,11.48878
NREM,0.00025,8.86634,16.10927,15.23512,8.11707
NREM,0.00036,9.61561,15.98439,15.23512,8.74146
NREM,0.00027,9.49073,16.10927,15.23512,8.49171
NREM,0.00033,9.24098,14.86049,13.98634,12.4878
NREM,0.00036,10.24,13.86146,13.48683,12.98732
NREM,0.00034,9.24098,14.73561,14.11122,9.24098
NREM,0.00035,8.99122,14.2361,13.36195,12.36293
NREM,0.0004,10.11512,14.11122,13.36195,12.4878
NREM,0.00045,9.1161,13.48683,12.86244,12.36293
NREM,0.00033,8.49171,14.11122,13.36195,12.61268
NREM,0.00035,8.11707,14.48585,13.48683,7.3678
NREM,0.00034,8.86634,14.61073,13.73659,6.61854
NREM,0.00041,8.86634,13.73659,13.23707,7.3678
NREM,0.00038,9.36585,13.61171,13.23707,12.73756
NREM,0.00037,8.61659,13.98634,13.23707,12.4878
NREM,0.00048,8.86634,13.48683,12.86244,12.4878
NREM,0.00033,8.61659,14.48585,13.48683,12.61268
NREM,0.00039,8.74146,13.98634,13.23707,12.73756
NREM,0.00039,8.49171,13.73659,12.98732,12.23805
NREM,0.00037,7.9922,13.98634,13.1122,12.73756
NREM,0.00033,8.24195,14.61073,13.61171,5.86927
NREM,0.00041,7.86732,13.48683,12.98732,5.24488
NREM,0.00034,8.11707,14.36098,13.23707,5.12
NREM,0.00039,8.61659,13.61171,13.36195,12.61268
NREM,0.00033,7.74244,14.11122,13.1122,6.61854
NREM,0.00035,8.86634,13.73659,13.23707,12.36293
NREM,0.00033,7.86732,14.11122,13.36195,5.86927
NREM,0.00031,8.11707,14.36098,13.61171,4.99512
NREM,0.00031,8.11707,14.36098,13.36195,12.4878
NREM,0.00036,8.11707,13.61171,12.73756,6.2439
