Sleep_Stage,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4
NREM,0.00168,3.9961,11.3639,9.36585,2.99707
NREM,0.00196,3.9961,10.24,7.9922,3.49659
NREM,0.00161,4.37073,10.86439,9.74049,2.8722
NREM,0.00181,4.62049,12.36293,9.24098,0.99902
NREM,0.00124,5.99415,10.98927,9.1161,5.74439
NREM,0.00148,5.49463,12.23805,10.24,3.87122
NREM,0.00138,5.61951,10.86439,9.1161,7.49268
NREM,0.00149,4.74537,11.3639,9.1161,3.87122
NREM,0.00122,5.61951,11.3639,9.86537,5.49463
NREM,0.00121,5.24488,11.3639,10.11512,4.99512
NREM,0.00112,5.49463,11.86341,9.86537,2.74732
NREM,0.00154,5.12,11.98829,10.36488,2.99707
NREM,0.00142,5.12,11.48878,9.86537,3.62146
NREM,0.00146,5.49463,11.61366,9.74049,2.62244
NREM,0.0015,4.87024,11.48878,9.1161,3.37171
NREM,0.00059,6.49366,12.98732,11.11415,5.74439
NREM,0.00042,6.2439,12.36293,10.61463,5.74439
NREM,0.00031,6.2439,13.1122,11.3639,5.36976
NREM,0.00047,5.99415,12.36293,10.61463,5.61951
NREM,0.00074,5.24488,12.11317,9.99024,3.62146
NREM,0.00043,5.99415,13.23707,11.23902,4.87024
NREM,0.00075,6.11902,13.86146,11.73854,6.36878
NREM,0.00089,4.37073,11.23902,8.61659,3.9961
NREM,0.00118,4.37073,11.98829,8.74146,3.24683
NREM,0.00145,4.12098,12.23805,10.11512,3.62146
NREM,0.00128,4.62049,11.73854,8.99122,2.99707
NREM,0.00104,4.99512,12.11317,9.99024,4.37073
NREM,0.00409,4.24585,11.98829,8.86634,3.24683
NREM,0.0016,4.74537,11.3639,8.99122,4.87024
NREM,0.00167,4.37073,11.98829,8.86634,3.49659
NREM,0.00138,4.12098,11.98829,8.74146,3.87122
NREM,0.00171,4.12098,10.73951,8.24195,3.37171
NREM,0.00147,4.37073,11.73854,9.1161,2.8722
NREM,0.00133,4.99512,11.86341,10.11512,3.9961
NREM,0.00186,4.74537,12.23805,9.74049,2.49756
NREM,0.00187,4.37073,11.73854,9.1161,2.62244
NREM,0.00169,4.62049,11.11415,8.24195,4.62049
NREM,0.00183,4.49561,11.11415,8.11707,3.74634
NREM,0.00149,4.87024,11.86341,9.1161,2.49756
NREM,0.00155,4.87024,11.86341,8.99122,4.37073
NREM,0.00224,4.62049,11.86341,10.11512,3.12195
NREM,0.00131,4.74537,10.24,8.24195,2.8722
NREM,0.00191,4.99512,12.11317,10.86439,3.49659
NREM,0.00187,4.24585,11.73854,9.1161,2.99707
NREM,0.00133,4.74537,12.11317,9.1161,2.99707
NREM,0.00156,4.87024,12.11317,10.61463,3.24683
NREM,0.00167,4.12098,11.11415,8.74146,3.87122
NREM,0.00175,4.62049,10.48976,8.36683,3.87122
NREM,0.00182,4.62049,11.86341,10.36488,5.49463
NREM,0.00179,4.49561,11.11415,8.36683,2.99707
NREM,0.00157,5.61951,11.98829,10.24,3.74634
NREM,0.00066,6.11902,12.86244,10.86439,7.3678
NREM,0.00081,5.61951,13.48683,10.48976,4.99512
NREM,0.00078,5.61951,11.73854,9.86537,3.9961
NREM,0.00099,4.87024,11.48878,9.61561,4.74537
NREM,0.00091,5.61951,12.61268,10.98927,4.99512
NREM,0.00058,5.49463,13.23707,10.48976,3.24683
NREM,0.00085,5.24488,12.36293,9.49073,3.49659
NREM,0.001,5.12,11.61366,9.86537,2.8722
NREM,0.00078,5.74439,12.23805,9.99024,7.11805
NREM,0.00097,4.87024,11.73854,9.36585,4.12098
NREM,0.00122,4.87024,14.73561,12.23805,4.62049
NREM,0.00098,5.49463,12.86244,10.24,5.49463
NREM,0.00102,5.49463,11.73854,9.99024,2.74732
NREM,0.00116,4.62049,11.98829,9.24098,2.74732
NREM,0.00071,6.2439,13.98634,11.86341,3.12195
NREM,0.00096,4.99512,12.11317,9.74049,3.87122
NREM,0.00135,4.24585,12.86244,10.11512,1.1239
NREM,0.00067,5.86927,12.73756,10.48976,6.49366
NREM,0.00076,5.49463,12.23805,10.36488,2.8722
NREM,0.00039,5.86927,12.4878,10.61463,5.74439
NREM,0.00043,5.24488,12.23805,9.86537,3.37171
NREM,0.00039,5.49463,13.1122,10.86439,4.74537
NREM,0.00098,4.99512,11.11415,8.74146,5.24488
NREM,0.00084,5.12,12.61268,9.74049,3.49659
NREM,0.0019,3.74634,9.86537,7.49268,2.62244
NREM,0.00131,3.87122,10.86439,8.36683,3.49659
NREM,0.00145,4.49561,11.61366,8.99122,3.24683
NREM,0.00174,4.12098,11.98829,8.86634,3.12195
NREM,0.00075,4.62049,12.11317,9.49073,3.37171
NREM,0.00173,4.12098,11.86341,8.61659,3.62146
NREM,0.00205,4.62049,11.48878,8.61659,4.12098
NREM,0.00149,4.12098,11.73854,8.49171,2.74732
NREM,0.00175,3.87122,11.86341,8.11707,3.12195
NREM,0.00158,3.87122,11.98829,9.24098,2.62244
NREM,0.00151,4.87024,11.86341,9.74049,5.12
NREM,0.0007,4.74537,11.86341,9.86537,4.12098
NREM,0.00225,3.9961,12.11317,8.74146,3.37171
NREM,0.00209,4.12098,11.73854,8.61659,3.49659
NREM,0.0014,4.37073,12.11317,9.24098,2.49756
NREM,0.00162,4.24585,12.23805,9.36585,3.24683
NREM,0.00137,3.9961,11.11415,8.24195,2.8722
NREM,0.00247,3.62146,11.73854,8.49171,3.24683
NREM,0.00212,4.37073,12.61268,9.1161,3.49659
NREM,0.00163,4.62049,12.36293,9.99024,4.12098
NREM,0.0016,4.74537,12.36293,10.86439,4.24585
NREM,0.00213,3.9961,12.23805,8.36683,2.99707
NREM,0.00191,4.24585,10.61463,8.24195,5.12
NREM,0.00132,4.12098,11.48878,8.36683,3.62146
NREM,0.00217,4.99512,11.98829,8.61659,5.12
NREM,0.00135,4.24585,12.11317,8.61659,3.74634
NREM,0.00398,4.12098,11.98829,7.86732,2.49756
NREM,0.00207,4.12098,10.86439,8.61659,3.74634
NREM,0.0026,3.9961,10.86439,8.24195,3.62146
NREM,0.00213,5.12,11.86341,9.49073,3.12195
NREM,0.00284,3.9961,11.48878,7.86732,2.12293
NREM,0.0018,4.99512,11.61366,8.99122,4.37073
NREM,0.00204,4.49561,10.98927,8.74146,4.99512
REM,0.00116,3.9961,11.3639,8.24195,2.62244
REM,0.00099,5.12,11.3639,9.36585,2.8722
REM,0.00082,5.12,10.86439,9.24098,5.36976
REM,0.00087,5.12,11.98829,9.99024,4.87024
REM,0.00067,4.62049,10.98927,8.86634,4.37073
REM,0.00058,5.86927,12.11317,9.74049,5.24488
REM,0.00067,4.87024,10.98927,9.1161,3.49659
REM,0.00055,5.49463,11.11415,8.86634,3.12195
REM,0.00078,4.62049,10.24,8.36683,3.24683
REM,0.00075,5.49463,10.98927,8.74146,5.61951
REM,0.00074,5.36976,10.98927,9.1161,5.36976
REM,0.00069,5.12,11.23902,9.1161,3.62146
REM,0.00074,5.12,10.36488,8.61659,2.99707
REM,0.00078,5.24488,10.48976,8.36683,2.8722
REM,0.00074,5.12,10.73951,8.74146,3.37171
REM,0.00074,4.62049,10.24,8.24195,4.37073
REM,0.00066,4.74537,10.61463,8.49171,4.87024
REM,0.00066,4.99512,10.36488,8.86634,3.9961
REM,0.00075,5.24488,9.99024,8.74146,3.49659
REM,0.00071,5.49463,11.11415,9.24098,6.74341
REM,0.00065,5.12,10.48976,8.49171,5.24488
REM,0.00072,4.62049,9.86537,8.24195,2.62244
REM,0.00063,4.87024,10.36488,8.99122,5.36976
REM,0.00082,4.49561,9.74049,8.11707,3.12195
REM,0.00062,4.87024,10.98927,8.74146,3.9961
REM,0.00072,4.99512,10.61463,8.49171,3.37171
REM,0.00073,4.74537,10.24,8.36683,4.37073
REM,0.00093,5.74439,9.49073,8.49171,6.61854
REM,0.00073,4.99512,9.86537,8.24195,3.87122
REM,0.00093,4.87024,10.11512,7.9922,4.74537
REM,0.00055,5.36976,10.86439,8.99122,3.9961
REM,0.00061,5.12,11.11415,8.86634,3.49659
REM,0.00073,5.61951,11.86341,9.86537,4.62049
NREM,0.00126,4.74537,11.3639,9.1161,3.9961
NREM,0.00063,5.36976,13.1122,10.36488,2.99707
NREM,0.0011,4.49561,12.86244,10.48976,4.12098
NREM,0.00165,4.24585,10.61463,8.49171,3.74634
NREM,0.0012,4.62049,11.3639,8.74146,3.62146
NREM,0.00109,4.62049,11.86341,9.36585,2.62244
NREM,0.00109,4.62049,12.4878,10.73951,3.62146
NREM,0.00106,4.74537,11.48878,9.1161,4.87024
NREM,0.00087,5.99415,12.73756,10.61463,6.49366
NREM,0.00068,5.61951,16.10927,13.73659,3.37171
NREM,0.00115,4.62049,11.61366,9.61561,3.37171
NREM,0.00069,4.87024,12.11317,9.61561,4.99512
NREM,0.00105,4.74537,12.4878,11.61366,3.49659
NREM,0.00193,4.49561,12.23805,9.1161,3.24683
NREM,0.00153,4.24585,11.98829,8.99122,3.12195
NREM,0.00084,4.99512,11.3639,9.24098,4.12098
NREM,0.00138,4.49561,12.61268,11.61366,3.49659
NREM,0.00134,5.24488,12.4878,12.11317,3.12195
NREM,0.0014,5.12,12.73756,11.73854,3.12195
NREM,0.00183,4.12098,12.11317,7.9922,3.49659
NREM,0.00117,4.49561,11.73854,8.99122,3.49659
NREM,0.00119,4.49561,11.73854,8.86634,4.12098
NREM,0.00147,3.9961,12.61268,9.1161,4.12098
NREM,0.00113,4.74537,12.11317,9.49073,4.74537
NREM,0.00139,5.36976,12.73756,12.11317,3.87122
NREM,0.00175,4.62049,12.36293,9.99024,2.8722
NREM,0.00173,5.12,12.61268,11.73854,5.12
NREM,0.00118,4.74537,11.48878,9.49073,2.74732
NREM,0.0016,4.74537,12.4878,11.3639,5.49463
NREM,0.00149,4.49561,11.61366,9.49073,2.49756
NREM,0.00183,4.99512,11.98829,10.24,4.49561
NREM,0.00143,4.49561,11.86341,9.49073,3.12195
NREM,0.00147,4.87024,11.11415,9.24098,5.24488
NREM,0.00132,4.87024,12.4878,10.73951,4.24585
NREM,0.00187,4.74537,11.11415,9.49073,4.87024
NREM,0.00114,4.49561,11.23902,8.61659,4.49561
NREM,0.00158,4.74537,12.36293,9.74049,4.74537
NREM,0.00196,4.49561,12.23805,10.48976,3.24683
NREM,0.00149,4.12098,11.23902,9.36585,2.99707
NREM,0.00177,4.12098,11.48878,8.99122,3.87122
NREM,0.00196,4.24585,11.48878,8.74146,4.12098
NREM,0.00189,3.87122,10.98927,8.24195,3.49659
NREM,0.00175,4.24585,9.99024,8.86634,2.37268
NREM,0.00159,4.87024,12.61268,8.61659,5.36976
NREM,0.00232,4.37073,12.36293,10.24,3.24683
NREM,0.00152,4.37073,12.36293,8.99122,4.24585
NREM,0.00148,4.62049,12.23805,9.99024,3.37171
NREM,0.00153,3.9961,11.23902,8.86634,2.99707
NREM,0.00162,4.62049,11.86341,9.86537,3.12195
NREM,0.00173,4.37073,10.48976,7.61756,2.49756
NREM,0.00165,4.12098,12.11317,9.74049,3.37171
NREM,0.00148,4.24585,11.86341,9.86537,2.8722
NREM,0.00178,3.9961,9.99024,7.11805,2.99707
NREM,0.00167,3.87122,10.48976,7.9922,3.12195
NREM,0.00203,4.12098,11.3639,8.24195,3.24683
NREM,0.00143,4.24585,12.36293,10.11512,3.87122
NREM,0.00195,3.9961,10.36488,9.24098,2.99707
NREM,0.00142,4.24585,11.48878,9.74049,2.8722
NREM,0.00145,4.12098,11.73854,8.49171,2.74732
NREM,0.00163,4.24585,11.98829,9.99024,4.24585
NREM,0.0017,4.24585,11.11415,8.86634,4.62049
NREM,0.0015,4.24585,10.86439,8.11707,5.36976
NREM,0.0017,4.12098,10.73951,8.36683,3.87122
NREM,0.002,3.87122,11.11415,9.49073,3.62146
NREM,0.00144,4.99512,12.73756,10.36488,3.49659
NREM,0.00089,5.36976,10.73951,9.24098,5.12
NREM,0.00099,4.99512,11.48878,9.86537,3.9961
NREM,0.0044,2.74732,10.24,7.24293,2.49756
NREM,0.00114,5.74439,11.86341,9.61561,5.86927
NREM,0.00076,5.74439,12.36293,10.48976,7.49268
NREM,0.00117,5.12,11.61366,9.86537,3.74634
NREM,0.00106,4.99512,12.73756,11.48878,2.99707
NREM,0.00149,5.12,12.4878,11.11415,2.99707
NREM,0.00154,4.62049,12.23805,10.48976,3.62146
NREM,0.00134,5.24488,12.4878,10.36488,5.49463
NREM,0.00176,4.87024,12.23805,9.99024,2.74732
NREM,0.00198,5.12,12.36293,10.98927,5.24488
NREM,0.00184,4.24585,11.61366,8.74146,2.37268
NREM,0.00161,4.62049,11.98829,9.1161,4.12098
NREM,0.0015,4.99512,12.23805,9.24098,5.12
NREM,0.00129,4.24585,11.86341,8.86634,3.74634
NREM,0.00173,4.87024,12.61268,11.11415,3.87122
NREM,0.00177,4.24585,11.23902,9.49073,3.49659
NREM,0.00175,4.12098,10.48976,8.36683,2.99707
NREM,0.00188,4.99512,14.48585,9.86537,3.37171
NREM,0.00127,5.12,10.61463,9.24098,4.12098
NREM,0.00206,4.49561,11.48878,8.49171,2.74732
NREM,0.00104,5.24488,12.73756,10.61463,3.12195
NREM,0.00158,5.74439,12.23805,11.86341,3.49659
NREM,0.00134,4.87024,11.86341,9.49073,2.99707
NREM,0.00213,4.37073,12.23805,8.86634,3.24683
NREM,0.00128,4.99512,12.4878,11.86341,3.62146
NREM,0.00143,4.87024,12.36293,10.48976,4.49561
NREM,0.00229,3.74634,10.24,7.74244,3.62146
NREM,0.00179,4.62049,12.11317,9.36585,3.87122
NREM,0.00175,4.62049,12.23805,10.48976,3.37171
NREM,0.00131,4.74537,11.3639,8.86634,3.37171
NREM,0.00154,4.24585,11.3639,8.74146,4.24585
NREM,0.00187,4.62049,11.86341,8.36683,5.86927
NREM,0.00146,4.87024,12.11317,10.36488,4.12098
NREM,0.00172,4.37073,10.98927,8.36683,4.37073
NREM,0.00139,4.74537,11.86341,9.24098,3.24683
NREM,0.00157,4.24585,11.11415,8.61659,3.12195
NREM,0.00185,4.37073,11.23902,8.36683,2.99707
NREM,0.00185,4.37073,11.86341,9.24098,3.24683
NREM,0.00169,4.24585,11.3639,9.24098,4.12098
NREM,0.00168,4.24585,12.23805,9.1161,3.37171
NREM,0.0017,4.62049,11.3639,8.74146,3.49659
NREM,0.00177,4.37073,11.3639,9.36585,3.24683
NREM,0.00189,4.49561,11.73854,8.74146,5.36976
NREM,0.00219,3.9961,11.11415,7.9922,3.37171
NREM,0.00139,4.49561,11.61366,9.24098,3.74634
NREM,0.00166,4.24585,11.11415,8.49171,2.74732
NREM,0.00169,4.62049,10.61463,9.86537,5.74439
NREM,0.00129,4.74537,10.98927,8.49171,4.37073
NREM,0.00113,5.49463,11.11415,9.61561,4.37073
NREM,0.00132,4.74537,11.11415,9.24098,5.24488
NREM,0.00176,4.24585,12.11317,9.49073,2.2478
NREM,0.00086,5.61951,12.98732,11.11415,4.49561
NREM,0.00071,6.36878,12.61268,10.48976,6.61854
NREM,0.00071,4.74537,11.3639,8.86634,2.99707
NREM,0.00126,4.99512,12.61268,11.86341,3.74634
NREM,0.00162,4.37073,11.86341,8.49171,3.87122
NREM,0.0018,4.37073,11.98829,9.36585,4.37073
NREM,0.00277,4.24585,11.48878,8.99122,3.12195
NREM,0.00239,3.9961,11.61366,8.49171,2.2478
NREM,0.00282,3.74634,10.73951,7.61756,3.12195
NREM,0.00231,3.62146,10.98927,7.74244,2.62244
REM,0.00095,4.99512,11.11415,8.74146,3.37171
REM,0.00154,5.12,9.99024,8.11707,6.2439
REM,0.00127,4.87024,10.86439,8.61659,5.49463
REM,0.00131,4.74537,11.3639,8.74146,3.9961
REM,0.00083,4.99512,10.61463,8.86634,4.12098
REM,0.00118,5.36976,9.86537,8.24195,5.61951
REM,0.00114,5.12,9.99024,7.9922,3.24683
REM,0.00088,5.36976,11.11415,8.74146,5.99415
REM,0.00118,4.74537,10.24,8.11707,4.74537
REM,0.00086,5.12,10.24,8.36683,2.74732
REM,0.00088,5.24488,10.24,8.36683,5.61951
REM,0.00114,4.99512,9.99024,8.24195,5.86927
REM,0.00067,5.12,10.73951,8.86634,4.37073
REM,0.00072,5.12,10.73951,8.86634,4.74537
REM,0.00091,5.24488,10.48976,8.74146,6.11902
REM,0.0007,5.36976,10.61463,8.61659,3.62146
REM,0.00065,4.87024,10.48976,8.74146,4.37073
REM,0.00084,4.74537,10.24,8.11707,2.49756
REM,0.00066,5.36976,10.48976,8.61659,3.87122
REM,0.00087,5.49463,10.86439,9.24098,5.61951
REM,0.00075,4.99512,10.86439,8.86634,4.62049
REM,0.00073,4.99512,10.48976,8.61659,4.37073
REM,0.00076,4.99512,10.73951,8.86634,4.87024
REM,0.00088,4.49561,9.99024,8.24195,4.49561
REM,0.00066,5.24488,10.86439,8.74146,4.37073
REM,0.00069,5.12,10.24,8.61659,4.74537
REM,0.00099,5.74439,11.48878,9.36585,5.12
REM,0.00143,4.37073,10.86439,8.24195,2.49756
REM,0.00107,5.36976,9.74049,8.36683,5.24488
REM,0.00119,4.74537,10.48976,8.24195,3.24683
REM,0.00112,6.2439,11.3639,8.99122,4.37073
REM,0.00096,5.24488,10.11512,8.24195,5.61951
REM,0.00093,4.74537,10.24,8.74146,4.62049
REM,0.00068,5.24488,10.61463,8.61659,3.74634
REM,0.00143,4.37073,11.11415,7.9922,4.49561
REM,0.00119,4.74537,9.86537,7.9922,3.24683
REM,0.00073,4.99512,10.73951,8.49171,5.36976
REM,0.00088,5.12,10.36488,8.74146,4.62049
REM,0.00089,5.24488,10.48976,8.61659,4.37073
REM,0.00063,4.87024,10.86439,8.74146,4.74537
REM,0.00077,4.99512,9.99024,8.61659,3.87122
REM,0.00068,5.24488,10.73951,9.1161,2.74732
REM,0.00064,4.99512,10.61463,8.61659,3.24683
REM,0.00061,5.24488,10.61463,8.99122,6.11902
REM,0.00074,5.49463,10.48976,8.74146,5.74439
REM,0.00087,5.24488,10.61463,8.99122,4.99512
REM,0.00085,5.49463,9.74049,8.36683,5.12
REM,0.00101,4.37073,9.86537,7.86732,2.8722
REM,0.0006,5.49463,11.48878,9.36585,4.12098
REM,0.00095,4.74537,10.24,8.49171,3.37171
REM,0.00054,5.49463,10.98927,9.49073,6.11902
REM,0.00072,4.62049,10.36488,8.24195,2.49756
NREM,0.00053,6.2439,12.73756,10.11512,5.24488
NREM,0.00048,5.86927,12.11317,9.49073,6.61854
NREM,0.00057,5.99415,12.61268,10.61463,6.36878
NREM,0.00056,5.86927,12.36293,9.86537,3.12195
NREM,0.00063,5.74439,12.23805,9.24098,5.99415
NREM,0.00035,6.36878,13.48683,11.48878,5.24488
NREM,0.00045,5.36976,12.11317,9.86537,5.49463
NREM,0.00091,4.87024,10.61463,8.49171,3.12195
NREM,0.00076,5.12,10.86439,8.74146,5.99415
NREM,0.0014,4.74537,12.36293,9.61561,5.49463
NREM,0.00057,5.36976,13.98634,10.73951,2.74732
NREM,0.0006,5.24488,12.23805,9.49073,5.12
NREM,0.00053,5.74439,12.36293,9.99024,3.24683
NREM,0.00055,5.36976,12.4878,9.99024,4.37073
NREM,0.00061,5.49463,13.1122,11.11415,3.74634
NREM,0.00046,5.49463,12.86244,10.48976,3.74634
NREM,0.00057,5.12,12.73756,10.11512,4.87024
NREM,0.00059,5.61951,12.73756,10.48976,5.24488
NREM,0.00027,5.61951,13.1122,11.23902,4.62049
NREM,0.0005,4.87024,11.73854,9.49073,4.12098
NREM,0.00063,4.87024,11.86341,9.61561,2.8722
NREM,0.00068,4.74537,11.98829,9.49073,2.8722
NREM,0.00095,5.24488,12.36293,10.48976,3.62146
NREM,0.00108,4.62049,12.98732,10.73951,3.87122
NREM,0.00083,4.74537,12.98732,12.23805,3.74634
NREM,0.00147,4.49561,12.73756,10.73951,3.12195
NREM,0.00074,4.49561,11.73854,9.49073,2.8722
NREM,0.00076,4.87024,12.11317,9.49073,3.37171
NREM,0.00115,4.24585,11.11415,9.1161,4.12098
NREM,0.00123,4.49561,12.4878,11.11415,3.62146
NREM,0.00081,4.87024,12.86244,11.86341,4.99512
NREM,0.00116,3.87122,11.86341,9.1161,1.99805
NREM,0.00095,5.49463,12.73756,12.36293,2.99707
NREM,0.00048,6.36878,12.86244,11.3639,6.11902
NREM,0.00043,5.61951,13.36195,10.86439,2.99707
NREM,0.00057,5.61951,13.48683,11.61366,3.12195
NREM,0.00056,4.99512,12.4878,10.11512,3.49659
NREM,0.0007,5.36976,11.48878,9.36585,5.61951
NREM,0.00084,5.61951,12.36293,10.61463,4.99512
NREM,0.00081,4.87024,11.98829,9.86537,3.24683
NREM,0.00082,5.49463,12.61268,10.98927,5.36976
NREM,0.00132,4.49561,12.86244,11.98829,3.74634
NREM,0.00165,4.62049,12.11317,8.86634,4.74537
NREM,0.00152,3.9961,11.98829,8.74146,3.37171
NREM,0.00095,5.49463,12.73756,12.4878,5.24488
NREM,0.00133,5.24488,12.4878,11.98829,3.74634
NREM,0.0011,4.99512,12.61268,11.98829,3.24683
NREM,0.00114,4.49561,12.36293,9.36585,3.24683
NREM,0.00118,4.87024,12.11317,9.36585,5.24488
NREM,0.00151,5.12,12.36293,10.36488,3.74634
NREM,0.00126,5.36976,12.73756,12.23805,5.24488
NREM,0.00172,4.62049,12.23805,9.49073,2.99707
NREM,0.00181,5.24488,12.4878,11.98829,4.62049
NREM,0.0018,4.49561,12.11317,8.74146,5.24488
NREM,0.00155,4.99512,12.4878,11.73854,3.24683
NREM,0.00127,4.62049,12.4878,10.98927,4.74537
NREM,0.00157,4.49561,12.36293,9.74049,3.37171
NREM,0.00106,4.74537,11.48878,9.24098,4.49561
NREM,0.00167,3.87122,12.23805,8.74146,2.8722
NREM,0.00142,4.62049,12.23805,9.86537,3.62146
NREM,0.00148,4.49561,12.73756,11.61366,3.9961
NREM,0.00166,4.37073,11.48878,8.36683,3.62146
NREM,0.00146,4.12098,12.4878,10.48976,3.49659
NREM,0.00128,4.37073,12.23805,9.49073,4.37073
NREM,0.00142,4.37073,12.36293,9.74049,3.49659
NREM,0.00155,4.49561,11.86341,9.99024,3.37171
NREM,0.00142,4.49561,12.23805,9.86537,3.87122
NREM,0.00133,4.49561,12.36293,10.48976,3.24683
NREM,0.00141,4.12098,11.11415,8.61659,4.62049
