Sleep_Stage,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4
NREM,0.03969,0.87415,3.87122,1.99805,0.87415
NREM,0.02238,0.87415,4.37073,2.2478,0.74927
NREM,0.02037,0.99902,4.74537,2.37268,0.62439
NREM,0.01577,0.99902,4.62049,2.49756,0.99902
NREM,0.01551,0.87415,4.62049,2.62244,0.74927
NREM,0.03258,1.1239,4.12098,2.2478,1.24878
NREM,0.02187,0.99902,4.37073,2.2478,0.62439
NREM,0.0296,0.62439,4.12098,2.12293,0.62439
NREM,0.03498,0.87415,3.9961,2.2478,0.74927
NREM,0.01922,0.74927,4.62049,2.2478,0.74927
NREM,0.03005,0.87415,4.37073,2.37268,0.74927
NREM,0.02935,0.87415,4.62049,2.12293,0.49951
NREM,0.02468,0.99902,4.24585,2.49756,0.49951
NREM,0.0321,0.74927,3.87122,1.99805,0.62439
NREM,0.02249,0.87415,3.9961,2.37268,0.49951
NREM,0.02427,0.99902,4.12098,2.2478,0.74927
NREM,0.02045,0.74927,4.62049,2.49756,0.62439
NREM,0.02721,0.87415,4.37073,2.2478,0.74927
NREM,0.0216,0.87415,4.37073,2.12293,0.49951
NREM,0.02193,0.74927,4.49561,2.37268,0.74927
NREM,0.03597,0.87415,4.24585,2.37268,0.74927
NREM,0.01488,0.99902,4.74537,2.74732,0.87415
NREM,0.02867,0.74927,4.49561,1.99805,0.74927
NREM,0.03207,0.74927,4.24585,1.99805,0.62439
NREM,0.02097,0.74927,4.37073,2.37268,0.49951
NREM,0.0129,0.99902,4.99512,2.74732,0.49951
NREM,0.03159,1.1239,4.24585,2.2478,0.99902
NREM,0.02587,0.74927,4.12098,2.12293,0.74927
NREM,0.02113,0.87415,4.62049,2.2478,0.62439
NREM,0.01544,1.1239,4.62049,2.49756,1.1239
NREM,0.2276,0.49951,2.2478,0.99902,0.49951
NREM,0.00537,1.1239,6.36878,2.8722,0.74927
NREM,0.00936,0.99902,5.61951,2.62244,0.62439
NREM,0.00569,1.37366,6.11902,3.12195,0.99902
NREM,0.00838,1.62341,5.24488,2.8722,1.87317
NREM,0.00466,1.37366,6.11902,3.12195,1.49854
NREM,0.00668,1.24878,5.49463,2.62244,1.1239
NREM,0.00379,1.74829,6.11902,3.37171,1.87317
NREM,0.00569,1.37366,5.86927,3.24683,0.74927
NREM,0.00889,1.1239,5.36976,2.8722,0.74927
NREM,0.00691,1.24878,5.86927,2.99707,0.74927
NREM,0.00681,1.37366,5.49463,3.24683,1.24878
NREM,0.0015,0.87415,7.61756,3.49659,0.87415
NREM,0.00204,0.74927,6.49366,2.74732,0.62439
NREM,0.00107,0.99902,6.74341,2.99707,0.74927
NREM,0.00122,1.24878,7.11805,3.74634,0.49951
NREM,0.00256,1.49854,6.11902,3.49659,0.49951
NREM,0.00107,1.1239,7.11805,3.87122,0.74927
NREM,0.00591,0.62439,5.74439,2.12293,0.37463
NREM,0.00389,1.74829,5.49463,3.12195,0.62439
NREM,0.00512,1.99805,5.36976,3.24683,2.37268
NREM,0.00467,2.2478,5.36976,3.62146,2.62244
NREM,0.0078,1.24878,5.12,2.99707,0.99902
NREM,0.00339,1.62341,5.74439,3.49659,0.99902
NREM,0.08087,0.62439,4.12098,1.87317,0.49951
NREM,0.00675,1.62341,5.36976,3.24683,2.12293
NREM,0.00808,1.49854,5.12,3.24683,1.37366
NREM,0.00535,1.99805,5.12,3.49659,1.87317
NREM,0.00701,1.99805,4.99512,3.37171,2.2478
NREM,0.00627,1.74829,5.12,3.24683,1.87317
NREM,0.00464,1.74829,5.74439,3.37171,1.87317
NREM,0.00742,1.87317,5.36976,3.24683,0.74927
NREM,0.00833,1.62341,5.24488,3.12195,1.62341
NREM,0.01045,1.24878,4.99512,2.74732,0.74927
NREM,0.00888,1.49854,5.24488,3.24683,0.87415
NREM,0.00577,1.74829,5.36976,3.12195,0.99902
NREM,0.00696,1.74829,5.36976,2.99707,1.37366
NREM,0.01261,1.49854,4.99512,2.99707,1.1239
NREM,0.00691,1.37366,5.49463,2.8722,0.49951
NREM,0.00655,1.49854,5.74439,3.49659,0.99902
NREM,0.01311,1.37366,4.74537,2.74732,0.99902
NREM,0.00708,1.37366,5.24488,2.8722,1.49854
NREM,0.00767,1.37366,5.61951,3.12195,0.37463
NREM,0.01329,1.1239,4.74537,2.62244,1.1239
NREM,0.00947,1.24878,5.49463,2.99707,0.74927
NREM,0.00976,1.24878,5.36976,3.12195,0.99902
NREM,0.01189,1.24878,4.99512,2.8722,1.24878
NREM,0.01012,1.24878,5.49463,2.49756,1.37366
NREM,0.00302,1.1239,6.49366,2.74732,0.49951
NREM,0.00492,1.24878,5.61951,2.49756,0.62439
NREM,0.00299,1.1239,6.2439,3.24683,0.87415
NREM,0.00282,1.74829,5.86927,3.74634,0.62439
NREM,0.00485,1.1239,5.74439,2.74732,1.1239
NREM,0.00277,1.1239,5.99415,2.99707,0.37463
NREM,0.00526,0.99902,5.49463,2.8722,0.99902
NREM,0.00316,1.37366,6.2439,3.49659,0.74927
NREM,0.00378,1.1239,6.11902,2.8722,0.99902
NREM,0.00492,1.37366,5.49463,2.99707,1.49854
NREM,0.03944,0.62439,3.74634,1.37366,0.49951
NREM,0.00573,0.99902,5.61951,2.74732,0.74927
NREM,0.00459,1.49854,5.86927,2.8722,0.87415
NREM,0.00574,1.37366,5.24488,2.99707,0.74927
NREM,0.00616,0.49951,5.86927,2.12293,0.49951
NREM,0.00384,1.49854,5.61951,3.24683,0.99902
NREM,0.10892,0.49951,2.8722,1.1239,0.49951
NREM,0.00422,0.74927,6.11902,2.62244,0.49951
NREM,0.00303,1.49854,6.11902,3.12195,0.87415
NREM,0.00107,0.99902,6.86829,3.62146,0.74927
NREM,0.00168,1.49854,5.99415,3.24683,0.74927
NREM,0.0017,0.87415,6.11902,2.99707,0.74927
NREM,0.0028,1.87317,5.74439,3.74634,0.99902
NREM,0.0029,1.74829,5.86927,3.37171,0.74927
NREM,0.00944,1.99805,4.87024,2.99707,0.99902
NREM,0.00432,2.2478,5.36976,3.37171,2.49756
NREM,0.00869,1.24878,4.99512,2.99707,0.99902
NREM,0.00862,1.87317,4.87024,3.12195,2.12293
NREM,0.0034,1.62341,5.36976,3.24683,2.12293
NREM,0.00796,1.49854,4.99512,3.24683,1.24878
NREM,0.00667,1.62341,5.74439,3.74634,0.87415
NREM,0.00708,1.37366,4.87024,3.12195,1.1239
NREM,0.0087,1.74829,4.74537,3.12195,0.87415
NREM,0.00748,1.87317,4.87024,2.99707,1.49854
NREM,0.00748,1.49854,5.24488,2.99707,0.62439
NREM,0.0023,1.62341,5.99415,3.62146,1.24878
NREM,0.0077,2.12293,4.99512,3.49659,1.87317
NREM,0.01005,1.62341,5.12,3.24683,0.99902
NREM,0.00618,1.62341,5.12,3.24683,0.74927
NREM,0.01143,1.37366,4.74537,2.74732,0.74927
NREM,0.00658,1.74829,4.87024,3.12195,2.12293
NREM,0.01052,2.12293,4.74537,3.24683,2.2478
NREM,0.00865,1.74829,5.12,3.37171,1.49854
NREM,0.00828,1.62341,5.24488,2.8722,1.62341
NREM,0.00561,1.62341,5.61951,3.37171,0.87415
NREM,0.01208,1.74829,4.74537,2.99707,2.12293
NREM,0.01025,1.74829,4.99512,2.99707,1.37366
NREM,0.00797,1.24878,4.87024,2.99707,0.99902
NREM,0.00719,1.62341,5.86927,3.62146,1.74829
NREM,0.00659,1.37366,5.24488,3.24683,1.1239
NREM,0.0195,1.87317,4.99512,2.99707,2.12293
NREM,0.01043,1.37366,4.87024,3.12195,1.24878
NREM,0.01793,1.1239,4.62049,2.8722,0.74927
NREM,0.01241,1.24878,5.36976,2.99707,0.74927
NREM,0.02095,1.49854,4.87024,2.74732,1.49854
NREM,0.00861,1.37366,5.61951,3.12195,0.99902
NREM,0.01117,1.37366,4.99512,2.99707,0.87415
REM,0.01071,1.37366,4.37073,2.49756,0.87415
REM,0.0033,1.62341,5.99415,3.37171,1.74829
REM,0.00271,1.74829,5.86927,3.49659,1.99805
REM,0.00331,1.74829,5.74439,2.99707,0.62439
REM,0.00282,1.49854,5.24488,3.37171,0.87415
REM,0.00207,1.24878,6.49366,3.12195,0.49951
REM,0.00222,1.62341,5.86927,3.49659,0.62439
REM,0.00228,1.24878,6.11902,2.99707,0.74927
REM,0.00428,1.37366,5.24488,2.99707,0.87415
REM,0.0022,1.62341,6.2439,3.62146,0.62439
REM,0.00236,1.62341,6.11902,3.49659,1.62341
REM,0.00288,1.24878,5.86927,3.37171,0.99902
REM,0.00247,1.49854,5.99415,3.37171,0.49951
REM,0.00225,1.24878,6.2439,3.74634,0.49951
REM,0.00237,1.62341,6.2439,3.62146,0.74927
REM,0.00309,1.62341,5.49463,3.24683,2.12293
REM,0.00225,1.87317,5.74439,3.49659,2.12293
REM,0.0023,1.24878,5.99415,3.49659,0.62439
REM,0.0029,1.37366,6.11902,3.24683,0.62439
REM,0.00204,1.74829,6.36878,3.62146,0.74927
REM,0.00301,1.24878,5.61951,3.12195,0.74927
REM,0.0028,1.49854,5.61951,3.37171,0.87415
REM,0.00206,1.49854,5.86927,3.62146,0.49951
REM,0.00412,1.49854,5.24488,2.99707,1.49854
REM,0.00226,1.49854,5.74439,3.62146,0.99902
REM,0.00239,1.87317,5.74439,3.49659,2.2478
REM,0.00216,1.74829,6.11902,3.87122,0.74927
REM,0.0024,1.74829,6.61854,3.74634,0.62439
REM,0.00213,1.87317,5.99415,3.74634,0.74927
REM,0.00344,1.62341,5.61951,3.37171,0.62439
REM,0.00197,1.62341,5.99415,3.24683,0.74927
REM,0.00232,1.49854,5.99415,3.37171,0.62439
REM,0.00203,1.37366,6.36878,3.62146,1.24878
NREM,0.00679,1.24878,5.36976,2.99707,0.62439
NREM,0.00285,1.49854,5.74439,2.99707,0.74927
NREM,0.01092,0.99902,4.62049,2.37268,0.87415
NREM,0.00999,1.24878,4.99512,2.8722,1.1239
NREM,0.00579,1.37366,5.36976,3.24683,0.74927
NREM,0.00656,1.24878,5.12,2.8722,0.99902
NREM,0.00625,1.1239,5.12,2.8722,1.1239
NREM,0.00648,1.1239,5.24488,2.8722,0.74927
NREM,0.00406,1.1239,6.11902,2.74732,0.74927
NREM,0.00762,0.74927,4.62049,1.99805,0.62439
NREM,0.01071,0.99902,4.74537,2.49756,0.74927
NREM,0.00287,1.49854,5.36976,3.24683,1.74829
NREM,0.00313,1.87317,5.74439,3.62146,0.87415
NREM,0.00604,1.87317,5.24488,3.49659,1.87317
NREM,0.00734,1.37366,5.12,3.12195,0.62439
NREM,0.00281,1.49854,5.74439,3.49659,0.87415
NREM,0.00667,1.49854,4.99512,3.12195,0.62439
NREM,0.00449,1.62341,5.61951,3.24683,1.37366
NREM,0.00841,1.1239,5.24488,2.8722,0.74927
NREM,0.00728,1.74829,5.24488,3.37171,2.12293
NREM,0.00461,1.49854,5.49463,3.37171,0.74927
NREM,0.00432,1.62341,5.61951,3.49659,0.62439
NREM,0.01398,0.99902,4.24585,2.49756,0.62439
NREM,0.00459,1.37366,5.49463,3.24683,0.62439
NREM,0.00421,1.49854,6.11902,3.62146,0.99902
NREM,0.00776,1.62341,5.24488,2.99707,1.24878
NREM,0.00706,1.37366,5.74439,3.12195,1.1239
NREM,0.00902,0.99902,4.99512,2.62244,0.74927
NREM,0.0115,0.87415,5.24488,2.74732,0.62439
NREM,0.00914,1.24878,5.12,2.74732,0.62439
NREM,0.00907,1.37366,5.61951,2.99707,1.24878
NREM,0.00933,1.24878,5.12,2.8722,0.74927
NREM,0.01085,0.87415,5.12,2.74732,0.74927
NREM,0.00979,0.87415,5.24488,2.62244,0.74927
NREM,0.02241,0.99902,4.74537,2.12293,0.49951
NREM,0.01049,0.99902,4.74537,2.37268,0.99902
NREM,0.01074,0.87415,5.24488,2.74732,0.74927
NREM,0.01689,0.99902,4.74537,2.62244,0.49951
NREM,0.02719,0.74927,4.12098,1.87317,0.62439
NREM,0.01767,0.87415,4.49561,2.37268,0.49951
NREM,0.02537,0.87415,4.49561,2.2478,0.62439
NREM,0.02773,0.74927,4.37073,2.2478,0.62439
NREM,0.01927,0.99902,4.37073,2.37268,0.74927
NREM,0.00587,1.24878,5.61951,3.62146,0.49951
NREM,0.01976,0.87415,4.74537,2.74732,0.74927
NREM,0.00804,1.37366,4.99512,3.12195,0.49951
NREM,0.01048,1.1239,5.12,2.62244,0.49951
NREM,0.02161,0.74927,4.24585,2.12293,0.62439
NREM,0.01864,0.62439,4.74537,2.2478,0.62439
NREM,0.01968,0.87415,4.62049,2.37268,0.87415
NREM,0.01913,0.74927,4.49561,2.37268,0.62439
NREM,0.01328,0.87415,4.74537,2.62244,0.74927
NREM,0.02032,0.87415,4.49561,2.37268,0.99902
NREM,0.01962,0.74927,4.37073,2.49756,0.49951
NREM,0.02237,0.74927,4.62049,2.49756,0.62439
NREM,0.02186,0.74927,4.24585,2.12293,0.62439
NREM,0.02184,0.74927,4.49561,2.62244,0.62439
NREM,0.0183,0.74927,4.24585,2.37268,0.62439
NREM,0.01763,0.99902,4.37073,2.37268,0.87415
NREM,0.01604,0.87415,4.49561,2.49756,0.74927
NREM,0.02044,0.87415,4.49561,2.12293,0.62439
NREM,0.02306,0.87415,4.37073,1.99805,0.49951
NREM,0.02526,0.87415,4.37073,2.12293,0.74927
NREM,0.03176,0.74927,4.12098,1.99805,0.62439
NREM,0.02577,0.62439,4.37073,1.62341,0.37463
NREM,0.00517,0.87415,5.74439,2.62244,0.62439
NREM,0.00689,0.87415,5.49463,2.49756,0.74927
NREM,0.19025,0.62439,2.99707,1.74829,0.49951
NREM,0.02,0.62439,4.62049,1.62341,0.62439
NREM,0.00253,1.24878,6.49366,3.12195,0.74927
NREM,0.00593,1.1239,5.74439,2.8722,0.49951
NREM,0.00388,1.74829,5.74439,3.24683,0.87415
NREM,0.00724,1.37366,5.49463,2.99707,0.74927
NREM,0.00653,1.49854,5.49463,3.24683,1.37366
NREM,0.00559,1.49854,5.61951,3.12195,1.1239
NREM,0.00909,1.24878,5.49463,2.8722,1.37366
NREM,0.01059,0.99902,5.36976,2.8722,0.74927
NREM,0.01523,0.99902,4.74537,2.62244,0.62439
NREM,0.01087,0.99902,5.24488,2.74732,0.62439
NREM,0.007,1.49854,5.49463,2.99707,0.74927
NREM,0.00589,1.24878,5.12,3.37171,0.74927
NREM,0.01276,0.87415,5.24488,2.49756,0.49951
NREM,0.05041,0.62439,3.87122,1.24878,0.49951
NREM,0.01187,1.24878,4.87024,2.8722,1.24878
NREM,0.03426,0.62439,4.24585,1.74829,0.49951
NREM,0.05764,0.49951,3.37171,1.1239,0.49951
NREM,0.01261,1.24878,4.87024,2.8722,1.24878
NREM,0.00352,1.49854,5.99415,3.37171,1.1239
NREM,0.00602,1.37366,6.2439,3.24683,0.99902
NREM,0.00566,1.24878,5.61951,3.24683,0.74927
NREM,0.01043,1.37366,5.49463,3.12195,1.24878
NREM,0.00583,1.24878,5.61951,3.12195,0.74927
NREM,0.00604,1.49854,5.61951,3.24683,0.49951
NREM,0.01874,1.24878,4.62049,2.8722,0.74927
NREM,0.00813,1.37366,5.36976,3.24683,0.74927
NREM,0.00931,1.1239,5.24488,3.12195,0.62439
NREM,0.01154,0.87415,4.99512,2.49756,0.62439
NREM,0.01564,0.99902,4.62049,2.49756,0.62439
NREM,0.01574,1.1239,4.99512,2.62244,0.74927
NREM,0.01163,0.99902,5.12,2.49756,0.87415
NREM,0.01553,0.87415,4.87024,2.62244,0.87415
NREM,0.01424,0.87415,4.87024,2.37268,0.87415
NREM,0.01705,0.99902,4.49561,2.37268,0.74927
NREM,0.02046,0.99902,4.74537,2.37268,0.62439
NREM,0.01278,0.99902,4.99512,2.8722,0.74927
NREM,0.02082,0.74927,4.37073,2.12293,0.62439
NREM,0.02418,0.74927,4.37073,2.2478,0.62439
NREM,0.01936,0.62439,4.87024,2.2478,0.49951
NREM,0.02017,0.87415,4.49561,2.2478,0.87415
NREM,0.02337,0.87415,4.62049,1.99805,0.62439
NREM,0.02839,0.74927,4.49561,2.37268,0.62439
NREM,0.01438,0.87415,4.74537,2.37268,0.99902
NREM,0.02396,0.74927,4.49561,2.2478,0.74927
NREM,0.02198,1.1239,4.12098,2.12293,0.49951
NREM,0.0073,1.24878,5.49463,2.99707,0.74927
NREM,0.0061,0.87415,5.86927,2.74732,0.62439
NREM,0.00758,1.37366,5.12,2.8722,0.87415
NREM,0.05092,0.74927,3.74634,1.49854,0.62439
NREM,0.00488,0.74927,5.99415,2.49756,0.49951
NREM,0.00363,0.99902,6.61854,2.49756,0.37463
NREM,0.00483,1.37366,5.12,2.74732,0.99902
NREM,0.00431,1.37366,5.99415,3.49659,0.99902
NREM,0.01075,1.1239,5.12,2.8722,0.99902
NREM,0.00776,1.87317,5.12,3.12195,1.99805
NREM,0.01726,1.37366,4.99512,2.8722,1.37366
NREM,0.01258,1.99805,4.87024,2.8722,2.2478
NREM,0.02836,1.24878,4.24585,2.62244,1.1239
NREM,0.0223,1.24878,4.37073,2.62244,0.62439
REM,0.00672,1.24878,5.24488,2.62244,0.87415
REM,0.00593,1.62341,5.86927,3.24683,2.12293
REM,0.00774,1.1239,5.24488,2.62244,1.1239
REM,0.004,1.62341,5.99415,3.87122,0.74927
REM,0.00319,1.74829,5.74439,3.12195,2.2478
REM,0.00301,1.74829,6.36878,3.74634,1.99805
REM,0.00514,1.24878,5.86927,3.12195,1.24878
REM,0.00252,1.62341,6.11902,3.74634,0.99902
REM,0.00459,1.49854,5.61951,3.37171,1.37366
REM,0.00338,1.49854,5.99415,3.24683,0.74927
REM,0.00234,1.62341,6.36878,3.87122,0.62439
REM,0.00494,1.37366,5.74439,3.12195,0.74927
REM,0.00268,0.99902,6.11902,3.37171,0.24976
REM,0.00262,1.37366,5.86927,3.24683,0.87415
REM,0.00317,1.37366,6.11902,3.49659,0.62439
REM,0.00267,1.49854,6.11902,3.24683,0.74927
REM,0.00334,1.1239,5.61951,3.12195,0.74927
REM,0.00353,1.62341,5.49463,3.24683,0.62439
REM,0.0021,0.99902,6.49366,3.74634,0.62439
REM,0.0022,1.87317,6.36878,3.87122,2.12293
REM,0.0024,1.74829,5.99415,3.49659,1.24878
REM,0.00223,1.74829,5.99415,3.62146,0.87415
REM,0.00327,1.24878,5.86927,3.12195,0.62439
REM,0.00407,1.49854,5.36976,3.24683,0.49951
REM,0.00359,0.99902,5.74439,2.8722,0.74927
REM,0.00196,1.37366,6.2439,3.74634,0.87415
REM,0.00194,1.74829,6.86829,4.37073,0.49951
REM,0.00749,1.62341,5.24488,2.99707,1.62341
REM,0.00324,1.74829,6.2439,3.49659,2.12293
REM,0.00348,1.74829,5.99415,3.62146,0.87415
REM,0.00304,1.49854,6.99317,3.74634,1.37366
REM,0.00229,1.74829,6.11902,4.12098,0.74927
REM,0.00355,1.62341,5.61951,3.37171,1.24878
REM,0.00243,1.74829,5.86927,3.37171,2.2478
REM,0.00692,1.74829,4.87024,2.99707,2.37268
REM,0.00414,1.62341,5.74439,3.37171,1.37366
REM,0.00268,1.24878,5.74439,3.37171,0.74927
REM,0.00279,1.49854,6.11902,3.62146,0.74927
REM,0.00278,1.37366,6.11902,3.62146,0.74927
REM,0.00264,1.1239,5.74439,3.24683,0.62439
REM,0.00252,1.49854,5.99415,3.49659,1.24878
REM,0.00576,0.74927,5.24488,2.62244,0.49951
REM,0.00218,1.62341,6.11902,3.37171,0.62439
REM,0.00239,1.24878,6.11902,3.37171,0.74927
REM,0.00229,1.49854,6.2439,3.49659,0.87415
REM,0.00236,1.49854,6.36878,3.87122,0.74927
REM,0.00213,1.62341,6.49366,3.87122,1.24878
REM,0.00601,1.37366,4.87024,2.8722,0.62439
REM,0.00401,0.87415,5.99415,2.49756,0.24976
REM,0.00436,1.37366,5.49463,3.12195,0.62439
REM,0.00247,0.99902,6.11902,2.99707,0.87415
REM,0.00359,1.24878,5.49463,2.99707,0.87415
NREM,0.00146,0.99902,7.11805,3.74634,0.74927
NREM,0.00153,1.1239,6.61854,3.49659,0.62439
NREM,0.00158,1.37366,6.61854,3.37171,0.87415
NREM,0.00172,1.24878,6.61854,3.37171,0.74927
NREM,0.00157,1.62341,6.49366,3.87122,0.49951
NREM,0.00173,0.62439,6.74341,2.37268,0.49951
NREM,0.00136,1.24878,6.2439,3.49659,0.74927
NREM,0.00472,1.62341,5.49463,2.99707,0.49951
NREM,0.00211,1.74829,5.99415,3.74634,1.1239
NREM,0.01012,0.87415,5.24488,2.74732,0.49951
NREM,0.00376,0.74927,5.61951,2.74732,0.74927
NREM,0.00175,1.37366,6.11902,3.62146,0.62439
NREM,0.00168,1.49854,6.36878,3.24683,1.49854
NREM,0.00188,1.37366,6.2439,3.37171,1.24878
NREM,0.00271,1.24878,5.99415,2.8722,0.62439
NREM,0.00153,1.37366,6.2439,3.62146,0.62439
NREM,0.0014,1.62341,6.36878,3.9961,0.74927
NREM,0.00188,1.1239,6.2439,3.49659,0.74927
NREM,0.00549,0.37463,4.99512,0.99902,0.37463
NREM,0.00283,0.37463,5.74439,2.99707,0.37463
NREM,0.00444,1.1239,5.12,2.74732,1.24878
NREM,0.0032,1.37366,5.36976,3.12195,1.1239
NREM,0.00492,1.37366,5.49463,2.8722,0.74927
NREM,0.00428,1.24878,5.74439,3.37171,0.49951
NREM,0.00234,1.37366,5.99415,3.74634,0.74927
NREM,0.01063,1.24878,4.87024,2.62244,0.74927
NREM,0.00351,1.62341,5.12,2.99707,0.49951
NREM,0.00363,1.1239,5.49463,3.24683,0.87415
NREM,0.00916,0.87415,4.74537,2.62244,0.87415
NREM,0.00729,1.24878,4.87024,2.99707,1.1239
NREM,0.00225,1.37366,5.86927,3.74634,0.49951
NREM,0.00953,1.37366,4.37073,2.62244,0.74927
NREM,0.00432,1.1239,5.74439,2.99707,0.62439
NREM,0.00176,0.87415,6.86829,2.99707,0.62439
NREM,0.0014,1.37366,6.36878,3.12195,0.74927
NREM,0.0018,1.49854,6.36878,3.37171,0.62439
NREM,0.00355,0.87415,5.36976,2.8722,0.62439
NREM,0.00203,1.49854,6.2439,3.74634,0.99902
NREM,0.00435,1.1239,5.86927,2.62244,1.37366
NREM,0.00362,1.24878,5.49463,3.12195,0.87415
NREM,0.00214,1.62341,6.36878,3.62146,2.49756
NREM,0.00425,1.74829,5.61951,3.74634,1.87317
NREM,0.00725,1.62341,5.24488,3.24683,0.87415
NREM,0.00851,1.37366,4.87024,3.12195,0.99902
NREM,0.0027,1.49854,6.2439,3.37171,0.87415
NREM,0.00416,1.49854,5.86927,3.49659,0.87415
NREM,0.00409,1.62341,5.74439,3.24683,0.74927
NREM,0.0041,1.74829,5.74439,3.37171,0.74927
NREM,0.00497,1.24878,5.61951,3.24683,0.62439
NREM,0.00393,1.99805,6.2439,3.74634,0.99902
NREM,0.00485,1.24878,5.99415,3.24683,0.62439
NREM,0.00604,1.62341,5.61951,3.37171,0.99902
NREM,0.00697,1.49854,5.74439,3.24683,1.1239
NREM,0.00772,1.37366,5.24488,3.24683,0.62439
NREM,0.0087,0.99902,5.36976,2.8722,0.49951
NREM,0.00689,0.99902,5.24488,2.99707,0.62439
NREM,0.01664,0.74927,4.74537,2.49756,0.74927
NREM,0.00383,1.37366,5.86927,3.49659,0.74927
NREM,0.008,1.62341,4.99512,3.12195,0.87415
NREM,0.00567,1.24878,5.36976,3.49659,0.87415
NREM,0.00947,1.1239,5.12,2.8722,0.62439
NREM,0.00961,1.24878,5.12,2.8722,0.74927
NREM,0.01193,0.87415,4.74537,2.74732,0.62439
NREM,0.00883,1.1239,4.99512,2.8722,0.62439
NREM,0.01319,0.87415,4.74537,2.49756,0.74927
NREM,0.01282,0.87415,4.99512,2.49756,0.62439
NREM,0.01706,0.74927,4.62049,2.12293,0.62439
NREM,0.01137,0.87415,4.74537,2.62244,0.62439
