Sleep_Stage,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4
NREM,0.00087,9.61561,12.98732,12.73756,10.11512
NREM,0.00072,9.24098,13.23707,12.86244,10.11512
NREM,0.00059,8.74146,13.48683,12.73756,5.86927
NREM,0.00094,8.99122,13.1122,12.73756,12.36293
NREM,0.00079,9.74049,13.1122,12.86244,10.36488
NREM,0.00076,8.24195,13.1122,12.61268,5.86927
NREM,0.00087,9.86537,15.48488,14.48585,10.48976
NREM,0.00106,9.99024,19.48098,18.98146,7.11805
NREM,0.00082,8.61659,16.73366,15.60976,8.61659
NREM,0.00104,9.99024,13.48683,13.23707,12.61268
NREM,0.00084,8.61659,16.23415,15.48488,7.49268
NREM,0.00085,9.24098,16.23415,15.36,8.36683
NREM,0.00082,9.36585,15.11024,14.36098,7.24293
NREM,0.00081,9.61561,14.86049,13.86146,10.73951
NREM,0.00077,9.49073,14.61073,13.86146,8.11707
NREM,0.00102,10.11512,13.98634,13.36195,12.11317
NREM,0.0009,9.74049,14.98537,14.11122,9.86537
NREM,0.00102,9.49073,14.61073,13.86146,9.61561
NREM,0.00085,8.99122,14.73561,13.86146,8.99122
NREM,0.00056,10.24,17.10829,16.60878,8.36683
NREM,0.00037,9.86537,17.10829,16.35902,12.23805
NREM,0.0003,10.48976,17.10829,16.85854,8.61659
NREM,0.00039,10.11512,17.35805,16.60878,7.9922
NREM,0.00052,9.86537,16.60878,16.10927,7.49268
NREM,0.0004,10.86439,17.48293,16.98341,10.61463
NREM,0.00077,11.11415,19.10634,18.98146,9.49073
NREM,0.00046,8.99122,17.10829,16.23415,8.61659
NREM,0.00058,9.36585,14.36098,13.86146,13.1122
NREM,0.00082,10.86439,13.61171,13.1122,12.23805
NREM,0.00066,9.49073,14.2361,13.61171,9.74049
NREM,0.00065,9.99024,13.86146,13.36195,12.36293
NREM,0.00204,9.36585,15.11024,14.36098,12.36293
NREM,0.00081,9.24098,13.86146,13.1122,7.49268
NREM,0.00082,9.86537,13.61171,13.36195,12.23805
NREM,0.00066,9.61561,13.98634,13.36195,12.36293
NREM,0.00069,8.49171,13.73659,12.98732,12.23805
NREM,0.00076,9.61561,13.61171,13.1122,12.23805
NREM,0.00081,10.11512,13.1122,12.73756,11.98829
NREM,0.00105,10.36488,13.48683,13.23707,12.4878
NREM,0.00092,10.11512,13.36195,12.86244,12.23805
NREM,0.00075,8.49171,13.61171,12.86244,5.99415
NREM,0.0008,8.49171,13.73659,13.23707,7.24293
NREM,0.00079,9.24098,13.48683,13.1122,12.11317
NREM,0.00082,9.24098,13.48683,13.1122,12.4878
NREM,0.00138,9.99024,12.98732,12.61268,12.11317
NREM,0.00061,7.86732,14.73561,13.73659,7.61756
NREM,0.00122,10.86439,13.1122,12.86244,12.4878
NREM,0.00095,9.36585,13.48683,13.1122,12.61268
NREM,0.00075,9.49073,13.48683,12.98732,12.61268
NREM,0.00101,10.36488,13.23707,12.98732,11.98829
NREM,0.00077,8.99122,13.36195,12.98732,11.11415
NREM,0.0008,8.36683,13.36195,12.98732,6.61854
NREM,0.00105,10.73951,12.86244,12.61268,12.23805
NREM,0.00077,8.74146,13.48683,12.98732,12.73756
NREM,0.00115,9.86537,16.73366,15.36,8.61659
NREM,0.00057,10.24,18.60683,18.2322,9.1161
NREM,0.00066,10.61463,19.48098,19.23122,7.74244
NREM,0.00056,9.49073,16.60878,15.73463,8.86634
NREM,0.00059,9.49073,15.11024,14.73561,10.48976
NREM,0.00079,10.61463,16.35902,15.85951,10.61463
NREM,0.00047,10.24,17.85756,17.6078,8.49171
NREM,0.00055,9.74049,16.98341,16.4839,8.36683
NREM,0.00068,9.61561,16.60878,15.60976,10.98927
NREM,0.00057,9.74049,17.6078,17.23317,7.11805
NREM,0.00057,9.49073,16.60878,15.73463,9.74049
NREM,0.00107,12.4878,20.60488,20.85463,12.4878
NREM,0.00075,10.11512,18.60683,17.98244,7.61756
NREM,0.0007,9.74049,16.85854,16.23415,8.36683
NREM,0.00067,9.61561,16.35902,15.48488,7.86732
NREM,0.00075,11.3639,21.97854,22.22829,10.86439
NREM,0.00061,9.99024,17.48293,16.73366,7.3678
NREM,0.00089,10.61463,18.10732,17.48293,9.74049
NREM,0.00054,10.24,17.73268,17.23317,9.49073
NREM,0.00054,10.24,16.23415,15.60976,6.74341
NREM,0.00034,9.86537,18.60683,17.85756,9.74049
NREM,0.0003,10.11512,18.73171,18.2322,7.49268
NREM,0.00031,10.86439,19.23122,18.73171,11.73854
NREM,0.00051,8.99122,16.85854,15.73463,5.24488
NREM,0.00059,9.74049,17.85756,17.35805,8.74146
NREM,0.00066,7.86732,15.36,13.98634,6.86829
NREM,0.00058,8.99122,15.98439,14.61073,10.36488
NREM,0.00074,9.61561,15.11024,14.48585,11.86341
NREM,0.00085,9.74049,15.60976,14.86049,9.24098
NREM,0.00042,9.74049,15.85951,14.73561,12.23805
NREM,0.00083,9.1161,14.11122,13.61171,13.23707
NREM,0.00098,9.1161,13.98634,13.23707,12.86244
NREM,0.00068,9.1161,14.73561,13.61171,12.73756
NREM,0.00071,9.49073,14.73561,13.73659,12.36293
NREM,0.00078,9.86537,14.11122,13.48683,12.86244
NREM,0.00086,9.74049,14.73561,13.86146,9.86537
NREM,0.00043,9.86537,15.98439,15.23512,7.86732
NREM,0.00106,10.24,13.48683,13.23707,12.11317
NREM,0.00093,9.24098,13.73659,13.36195,12.73756
NREM,0.00071,9.86537,13.73659,13.36195,12.23805
NREM,0.00084,9.74049,13.86146,13.61171,12.61268
NREM,0.00058,8.99122,14.61073,13.86146,9.74049
NREM,0.00106,9.86537,13.61171,13.36195,11.98829
NREM,0.00112,10.86439,13.36195,13.23707,12.73756
NREM,0.00098,10.11512,14.11122,13.61171,12.4878
NREM,0.00106,10.73951,13.1122,12.98732,12.73756
NREM,0.00096,9.36585,13.73659,13.36195,12.73756
NREM,0.0008,8.49171,14.48585,12.98732,7.74244
NREM,0.00061,8.86634,14.2361,13.48683,7.49268
NREM,0.00115,8.99122,13.61171,13.23707,12.86244
NREM,0.00066,9.49073,14.2361,13.61171,12.23805
NREM,0.00163,9.36585,13.23707,13.1122,12.73756
NREM,0.00091,8.86634,13.61171,13.1122,10.98927
NREM,0.00112,9.24098,13.61171,13.23707,7.86732
NREM,0.00127,9.36585,13.23707,12.98732,11.73854
NREM,0.00115,8.61659,13.98634,13.48683,12.23805
NREM,0.00097,9.24098,14.86049,13.73659,6.99317
NREM,0.00096,8.99122,14.61073,13.98634,8.86634
REM,0.0005,9.1161,16.4839,15.60976,12.61268
REM,0.00058,9.24098,16.35902,15.23512,9.99024
REM,0.00047,8.99122,15.98439,15.11024,9.61561
REM,0.00059,9.61561,15.11024,14.11122,8.86634
REM,0.00036,8.86634,16.23415,14.86049,8.86634
REM,0.00042,9.49073,17.73268,16.98341,8.49171
REM,0.00037,9.1161,16.35902,15.48488,9.36585
REM,0.00033,8.74146,17.23317,16.35902,7.74244
REM,0.00036,8.36683,16.4839,15.36,7.9922
REM,0.00044,8.49171,17.10829,16.10927,7.74244
REM,0.00044,8.74146,15.98439,14.86049,8.74146
REM,0.00039,9.1161,16.4839,15.73463,6.61854
REM,0.00038,8.36683,16.4839,15.23512,7.11805
REM,0.00041,8.24195,16.73366,15.60976,8.24195
REM,0.0004,8.49171,16.23415,15.11024,6.61854
REM,0.00034,8.24195,15.85951,14.48585,7.86732
REM,0.00032,8.49171,15.98439,14.86049,8.36683
REM,0.00036,8.61659,16.23415,14.98537,8.74146
REM,0.00038,8.49171,15.60976,14.61073,6.86829
REM,0.00042,8.99122,16.4839,15.85951,6.74341
REM,0.00033,8.36683,15.98439,14.61073,5.24488
REM,0.00032,8.11707,15.60976,14.48585,6.61854
REM,0.00034,8.86634,15.85951,14.86049,6.86829
REM,0.00033,8.24195,16.23415,14.98537,7.61756
REM,0.00032,8.86634,16.10927,15.11024,8.36683
REM,0.00036,8.74146,17.10829,16.10927,6.74341
REM,0.00037,8.24195,17.35805,16.10927,7.9922
REM,0.00052,8.24195,15.73463,14.61073,8.49171
REM,0.00035,7.9922,15.73463,14.48585,7.86732
REM,0.00042,7.9922,16.35902,14.86049,6.99317
REM,0.00031,8.61659,15.85951,14.98537,7.9922
REM,0.00035,8.61659,15.60976,14.36098,8.61659
REM,0.0005,9.61561,17.35805,16.60878,7.9922
NREM,0.00067,9.49073,15.73463,14.98537,9.74049
NREM,0.00044,10.73951,16.35902,15.85951,6.61854
NREM,0.00073,10.98927,14.48585,13.98634,12.86244
NREM,0.00073,8.86634,14.73561,14.11122,8.74146
NREM,0.00061,8.86634,15.60976,14.73561,8.86634
NREM,0.00059,9.74049,14.11122,13.73659,11.23902
NREM,0.00072,10.98927,14.11122,13.48683,12.36293
NREM,0.00057,9.24098,14.73561,13.86146,10.86439
NREM,0.00074,10.24,18.60683,18.10732,8.86634
NREM,0.00075,13.36195,20.48,21.10439,16.98341
NREM,0.00069,9.86537,17.35805,16.4839,8.99122
NREM,0.00042,9.86537,17.35805,16.60878,9.49073
NREM,0.00075,11.48878,13.61171,13.48683,12.4878
NREM,0.00099,9.99024,13.23707,12.98732,12.73756
NREM,0.00077,9.74049,13.86146,13.61171,12.73756
NREM,0.0005,9.24098,15.85951,15.23512,6.99317
NREM,0.001,11.48878,13.23707,13.23707,12.61268
NREM,0.00105,11.86341,12.98732,12.86244,12.61268
NREM,0.00111,11.23902,13.48683,13.36195,12.61268
NREM,0.00078,9.1161,13.61171,13.1122,12.73756
NREM,0.0006,9.1161,13.98634,13.23707,12.98732
NREM,0.00062,9.1161,13.98634,13.23707,12.23805
NREM,0.00075,10.11512,13.86146,13.48683,12.73756
NREM,0.00066,9.61561,13.73659,13.48683,12.4878
NREM,0.00116,11.61366,13.1122,12.98732,12.61268
NREM,0.00102,10.48976,13.1122,12.98732,12.61268
NREM,0.0013,11.3639,13.1122,12.98732,12.61268
NREM,0.00066,9.49073,13.36195,12.86244,10.86439
NREM,0.00107,11.3639,13.1122,12.98732,12.61268
NREM,0.0008,9.74049,13.36195,13.1122,12.73756
NREM,0.0011,10.24,13.23707,12.98732,12.61268
NREM,0.00076,9.86537,13.48683,13.23707,13.1122
NREM,0.00077,9.36585,13.73659,13.36195,9.99024
NREM,0.00084,10.86439,13.48683,13.23707,12.4878
NREM,0.00092,9.74049,13.36195,12.98732,10.36488
NREM,0.00055,8.99122,13.48683,13.1122,12.61268
NREM,0.00089,10.48976,13.23707,13.1122,12.73756
NREM,0.00117,11.3639,12.98732,12.86244,12.23805
NREM,0.0007,9.74049,13.86146,13.48683,10.24
NREM,0.00084,9.86537,13.23707,12.86244,12.61268
NREM,0.00089,9.49073,12.98732,12.61268,12.11317
NREM,0.00074,9.49073,13.36195,12.98732,9.74049
NREM,0.00077,8.86634,14.11122,12.86244,9.49073
NREM,0.00085,10.24,13.86146,13.73659,12.86244
NREM,0.00126,11.23902,12.86244,12.73756,12.36293
NREM,0.00074,10.61463,13.36195,13.23707,12.36293
NREM,0.00082,10.61463,13.23707,12.98732,12.61268
NREM,0.00069,9.49073,13.36195,12.98732,9.99024
NREM,0.00091,9.99024,13.36195,12.98732,12.4878
NREM,0.00067,8.36683,13.48683,12.98732,6.11902
NREM,0.00086,10.24,13.23707,12.98732,12.36293
NREM,0.00078,10.24,13.23707,12.98732,12.23805
NREM,0.00061,7.49268,13.86146,12.86244,5.61951
NREM,0.00061,8.74146,13.73659,13.23707,9.74049
NREM,0.00086,9.36585,13.1122,12.86244,12.61268
NREM,0.0008,10.48976,13.23707,12.98732,12.4878
NREM,0.00083,9.49073,13.23707,12.73756,9.86537
NREM,0.00075,9.86537,13.23707,12.98732,10.86439
NREM,0.00065,9.86537,13.73659,13.48683,13.1122
NREM,0.00087,10.11512,13.1122,12.86244,11.86341
NREM,0.00076,9.49073,13.23707,12.86244,10.86439
NREM,0.00062,8.74146,13.48683,13.1122,5.36976
NREM,0.00069,9.24098,13.61171,13.23707,10.36488
NREM,0.00099,9.86537,15.73463,14.86049,10.11512
NREM,0.00104,10.61463,20.48,20.23024,9.49073
NREM,0.00052,8.99122,15.73463,14.86049,7.3678
NREM,0.00063,9.86537,16.73366,15.85951,11.48878
NREM,0.0013,8.36683,15.85951,13.98634,10.86439
NREM,0.00077,9.24098,16.4839,15.60976,8.49171
NREM,0.00058,9.99024,15.60976,15.11024,7.49268
NREM,0.00072,9.74049,16.35902,15.36,10.11512
NREM,0.00077,11.3639,13.98634,13.61171,12.73756
NREM,0.00105,10.73951,13.23707,13.1122,12.36293
NREM,0.00096,10.98927,13.48683,13.1122,12.4878
NREM,0.00091,10.24,13.73659,13.36195,12.73756
NREM,0.00108,10.11512,13.48683,13.1122,12.23805
NREM,0.00127,11.11415,13.1122,12.86244,12.61268
NREM,0.00084,9.49073,13.98634,13.36195,11.98829
NREM,0.00084,9.49073,13.98634,13.48683,12.23805
NREM,0.00085,9.36585,13.98634,13.36195,12.86244
NREM,0.00065,9.49073,14.48585,13.61171,12.98732
NREM,0.00113,11.23902,13.48683,13.23707,12.86244
NREM,0.00092,9.49073,15.11024,14.11122,9.61561
NREM,0.00074,8.61659,15.11024,14.11122,8.74146
NREM,0.00135,11.61366,24.60098,24.85073,7.61756
NREM,0.00072,8.99122,15.73463,14.73561,7.74244
NREM,0.001,8.86634,14.48585,13.86146,8.11707
NREM,0.00074,10.61463,14.48585,13.98634,12.73756
NREM,0.00124,11.61366,12.98732,12.86244,11.98829
NREM,0.00077,9.61561,13.61171,13.1122,12.11317
NREM,0.00106,9.49073,13.61171,13.1122,12.4878
NREM,0.00097,11.73854,12.98732,12.86244,12.4878
NREM,0.00092,10.48976,13.36195,13.1122,12.36293
NREM,0.0008,8.36683,14.2361,13.1122,8.49171
NREM,0.00095,9.99024,13.48683,12.98732,12.4878
NREM,0.00107,10.86439,13.23707,12.98732,12.36293
NREM,0.00066,9.24098,13.98634,13.1122,10.73951
NREM,0.00069,9.49073,14.2361,13.48683,12.73756
NREM,0.00087,9.1161,13.98634,13.48683,5.86927
NREM,0.00088,10.61463,13.36195,12.98732,12.11317
NREM,0.00074,9.1161,13.98634,13.36195,12.4878
NREM,0.00072,9.86537,14.11122,13.48683,12.98732
NREM,0.0007,9.36585,13.98634,13.36195,10.73951
NREM,0.0008,9.36585,13.86146,13.23707,9.86537
NREM,0.00091,9.86537,13.48683,13.1122,12.4878
NREM,0.00082,9.61561,13.48683,12.98732,12.4878
NREM,0.00085,9.99024,13.73659,13.48683,12.73756
NREM,0.00077,9.49073,13.86146,13.36195,12.61268
NREM,0.00086,9.74049,13.61171,13.23707,10.36488
NREM,0.00088,9.74049,13.36195,12.98732,12.36293
NREM,0.00089,9.36585,13.36195,12.86244,12.23805
NREM,0.00071,9.49073,13.98634,13.36195,9.86537
NREM,0.00073,9.1161,14.2361,13.73659,8.24195
NREM,0.00097,9.61561,14.86049,13.73659,10.11512
NREM,0.00065,8.74146,15.60976,14.86049,6.99317
NREM,0.00074,9.24098,15.73463,14.98537,10.11512
NREM,0.00072,9.1161,14.86049,14.11122,8.61659
NREM,0.00098,9.99024,17.73268,16.60878,9.49073
NREM,0.00075,10.61463,16.98341,16.60878,9.61561
NREM,0.00061,9.74049,17.6078,17.10829,7.74244
NREM,0.00038,8.99122,16.10927,15.11024,7.49268
NREM,0.001,11.48878,13.36195,13.23707,12.61268
NREM,0.00076,9.36585,14.11122,13.61171,13.23707
NREM,0.00095,9.86537,13.23707,12.98732,12.61268
NREM,0.00136,9.24098,13.61171,13.23707,9.36585
NREM,0.00106,8.74146,13.86146,13.36195,13.1122
NREM,0.00106,8.36683,13.98634,13.48683,12.36293
NREM,0.00088,8.74146,14.2361,13.73659,6.11902
REM,0.00049,8.86634,15.60976,14.86049,6.99317
REM,0.00069,7.86732,14.36098,13.61171,6.2439
REM,0.00062,8.61659,15.36,14.61073,8.61659
REM,0.0007,8.74146,14.48585,13.61171,12.4878
REM,0.00043,8.74146,15.98439,14.86049,8.99122
REM,0.00059,7.9922,15.60976,13.98634,6.99317
REM,0.00054,7.61756,15.98439,14.73561,6.74341
REM,0.00047,8.61659,15.98439,14.86049,8.61659
REM,0.00053,8.11707,15.73463,14.48585,6.2439
REM,0.00041,8.24195,15.73463,14.86049,6.36878
REM,0.00044,8.24195,16.60878,15.23512,6.61854
REM,0.00052,7.9922,15.48488,14.11122,5.86927
REM,0.00037,8.61659,16.10927,15.23512,8.49171
REM,0.0004,8.61659,16.85854,15.60976,8.61659
REM,0.00047,8.49171,15.48488,14.48585,6.11902
REM,0.00037,8.36683,16.23415,14.86049,6.99317
REM,0.00034,8.49171,16.23415,15.11024,9.36585
REM,0.00038,8.36683,15.73463,14.86049,6.99317
REM,0.00037,8.24195,15.48488,14.61073,7.3678
REM,0.00051,8.86634,16.4839,15.36,9.61561
REM,0.0004,8.74146,15.60976,14.86049,7.24293
REM,0.00037,8.61659,16.23415,14.98537,5.99415
REM,0.0004,8.74146,15.85951,14.86049,7.3678
REM,0.00038,8.36683,15.98439,14.61073,6.49366
REM,0.00037,8.36683,15.98439,14.98537,7.49268
REM,0.00036,8.49171,15.98439,15.11024,6.49366
REM,0.00066,9.1161,17.73268,16.60878,7.61756
REM,0.00063,8.49171,15.98439,14.98537,6.36878
REM,0.00053,7.86732,14.86049,13.36195,7.61756
REM,0.00054,8.24195,15.23512,14.36098,5.99415
REM,0.00077,8.49171,14.61073,13.73659,7.61756
REM,0.00046,7.9922,15.60976,14.2361,5.61951
REM,0.00045,8.61659,15.11024,14.2361,9.49073
REM,0.00036,8.36683,15.98439,14.98537,7.24293
REM,0.00061,8.99122,15.73463,14.73561,4.49561
REM,0.00051,7.74244,15.85951,14.2361,6.61854
REM,0.00036,8.49171,16.10927,14.86049,8.49171
REM,0.00046,8.61659,15.48488,14.61073,7.3678
REM,0.00047,8.24195,16.23415,14.98537,8.24195
REM,0.00033,8.74146,16.4839,15.23512,8.11707
REM,0.0004,8.24195,15.48488,14.48585,8.11707
REM,0.00039,8.86634,16.23415,15.36,7.3678
REM,0.00034,8.49171,16.60878,15.85951,8.49171
REM,0.00035,8.74146,16.60878,15.23512,6.11902
REM,0.00041,8.36683,15.60976,14.73561,8.24195
REM,0.00051,8.86634,16.98341,15.85951,7.86732
REM,0.00044,7.86732,15.73463,14.48585,8.61659
REM,0.0004,7.9922,15.98439,14.2361,7.11805
REM,0.0004,9.1161,17.23317,16.23415,8.61659
REM,0.00043,8.49171,15.85951,14.86049,6.36878
REM,0.00033,9.1161,16.35902,15.60976,6.11902
REM,0.00034,8.24195,16.35902,15.36,7.11805
NREM,0.00043,9.36585,17.73268,17.10829,8.24195
NREM,0.00035,9.24098,17.6078,16.85854,8.36683
NREM,0.00049,9.86537,17.48293,16.60878,9.36585
NREM,0.00042,9.49073,16.73366,16.23415,8.36683
NREM,0.00041,9.36585,17.48293,17.10829,5.99415
NREM,0.00035,10.73951,18.73171,18.2322,9.61561
NREM,0.00031,9.74049,17.35805,16.73366,8.99122
NREM,0.00046,8.49171,16.35902,14.98537,8.24195
NREM,0.00041,8.86634,17.10829,16.23415,5.99415
NREM,0.00084,10.11512,17.85756,17.23317,9.99024
NREM,0.00045,11.23902,20.48,20.35512,6.36878
NREM,0.0004,9.74049,17.35805,16.98341,8.49171
NREM,0.00039,9.86537,17.48293,16.98341,7.9922
NREM,0.00039,9.99024,16.98341,16.35902,7.9922
NREM,0.00051,10.73951,16.4839,15.98439,9.36585
NREM,0.00035,10.48976,17.85756,17.48293,10.24
NREM,0.00039,10.48976,17.85756,17.23317,7.3678
NREM,0.00045,10.36488,16.98341,16.60878,8.86634
NREM,0.00024,10.73951,18.60683,17.98244,9.1161
NREM,0.00032,9.49073,18.10732,17.35805,8.49171
NREM,0.00039,9.61561,16.85854,16.4839,9.61561
NREM,0.00041,9.74049,15.60976,14.86049,6.61854
NREM,0.00071,10.24,15.48488,14.86049,10.24
NREM,0.00073,11.3639,14.36098,14.11122,12.98732
NREM,0.00062,12.23805,13.48683,13.48683,12.98732
NREM,0.00093,11.23902,13.73659,13.48683,12.36293
NREM,0.00041,9.86537,14.48585,14.11122,8.11707
NREM,0.00047,9.24098,13.98634,13.73659,12.86244
NREM,0.0006,9.24098,14.11122,13.61171,10.73951
NREM,0.00082,11.11415,13.61171,13.23707,12.36293
NREM,0.00061,11.61366,13.48683,13.36195,12.98732
NREM,0.00059,9.86537,15.11024,14.36098,12.73756
NREM,0.00088,12.11317,13.23707,13.23707,12.4878
NREM,0.00046,10.48976,16.60878,16.35902,9.74049
NREM,0.00037,10.61463,18.73171,18.35707,9.99024
NREM,0.00052,11.11415,17.73268,17.48293,10.36488
NREM,0.00038,10.36488,17.35805,16.85854,7.9922
NREM,0.00043,9.36585,16.60878,15.85951,6.61854
NREM,0.00066,10.24,16.4839,15.73463,9.1161
NREM,0.00051,9.99024,16.10927,15.23512,11.11415
NREM,0.00059,10.61463,13.98634,13.48683,12.4878
NREM,0.00093,12.11317,13.61171,13.48683,12.61268
NREM,0.00081,9.49073,13.98634,13.61171,13.1122
NREM,0.00068,9.1161,13.73659,13.48683,8.86634
NREM,0.00093,12.23805,13.23707,13.23707,12.61268
NREM,0.00107,11.73854,13.1122,12.98732,12.36293
NREM,0.00079,11.98829,13.36195,13.23707,12.61268
NREM,0.00064,9.86537,13.73659,13.36195,12.4878
NREM,0.00068,9.36585,13.86146,13.36195,12.61268
NREM,0.00103,10.11512,13.36195,13.23707,12.73756
NREM,0.00101,11.86341,13.23707,13.1122,12.73756
NREM,0.00095,9.86537,13.36195,12.98732,12.4878
NREM,0.00146,11.61366,12.98732,12.86244,12.36293
NREM,0.00088,9.61561,13.36195,13.1122,12.36293
NREM,0.0012,11.61366,13.1122,12.98732,12.36293
NREM,0.00079,11.23902,13.23707,12.98732,12.4878
NREM,0.00091,10.11512,13.1122,12.98732,12.73756
NREM,0.00059,9.24098,13.98634,13.61171,12.61268
NREM,0.00079,9.86537,13.48683,13.23707,13.1122
NREM,0.00079,10.48976,13.23707,13.1122,12.36293
NREM,0.00107,11.61366,13.36195,13.23707,12.73756
NREM,0.00076,9.1161,13.36195,13.1122,12.4878
NREM,0.00083,10.98927,13.23707,13.1122,12.86244
NREM,0.00069,10.11512,13.61171,13.48683,12.36293
NREM,0.00075,10.36488,13.36195,13.1122,12.86244
NREM,0.0008,10.24,13.23707,12.98732,12.86244
NREM,0.00077,10.36488,12.98732,12.73756,12.23805
