Sleep_Stage,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4
NREM,0.00112,5.24488,11.48878,10.11512,2.8722
NREM,0.00104,5.12,11.11415,9.49073,5.12
NREM,0.00203,4.62049,10.86439,9.99024,2.8722
NREM,0.00106,4.62049,10.61463,8.74146,2.8722
NREM,0.00127,5.36976,11.73854,10.98927,3.49659
NREM,0.00151,4.74537,10.86439,9.36585,2.99707
NREM,0.00102,5.24488,10.98927,9.74049,5.86927
NREM,0.00135,4.62049,11.48878,10.24,3.24683
NREM,0.00137,4.12098,10.98927,9.1161,2.49756
NREM,0.00135,4.99512,10.61463,9.86537,5.49463
NREM,0.00115,4.99512,11.61366,10.61463,5.49463
NREM,0.00142,4.99512,10.61463,8.86634,5.61951
NREM,0.00154,5.61951,11.3639,10.36488,5.74439
NREM,0.00068,5.99415,12.86244,10.98927,7.3678
NREM,0.00101,5.24488,12.4878,9.99024,4.99512
NREM,0.00086,4.74537,11.3639,9.49073,3.12195
NREM,0.00074,5.36976,11.61366,10.61463,4.37073
NREM,0.00103,5.49463,12.23805,11.11415,2.8722
NREM,0.00055,5.49463,12.98732,10.98927,2.74732
NREM,0.00078,5.36976,11.98829,10.11512,3.24683
NREM,0.00086,5.24488,11.98829,10.36488,2.8722
NREM,0.00083,4.87024,12.11317,9.61561,2.37268
NREM,0.00083,4.62049,11.98829,9.74049,3.12195
NREM,0.00118,4.87024,14.48585,12.11317,4.62049
NREM,0.00083,5.74439,13.1122,10.86439,5.49463
NREM,0.00121,3.87122,11.61366,9.49073,2.74732
NREM,0.00108,4.87024,11.98829,10.36488,2.49756
NREM,0.00065,6.61854,14.2361,12.11317,7.3678
NREM,0.00083,4.87024,12.36293,10.24,2.62244
NREM,0.00134,4.37073,12.86244,10.48976,4.49561
NREM,0.00061,5.86927,12.61268,10.48976,5.74439
NREM,0.00072,5.12,11.86341,10.36488,3.74634
NREM,0.00034,5.99415,12.61268,10.73951,5.61951
NREM,0.00039,4.87024,12.23805,9.74049,3.37171
NREM,0.00042,5.36976,12.73756,10.24,4.74537
NREM,0.00071,4.87024,10.98927,8.99122,5.12
NREM,0.00066,5.36976,12.4878,10.36488,4.24585
NREM,0.00116,3.62146,10.86439,8.11707,2.49756
NREM,0.00062,5.61951,11.61366,10.24,3.74634
NREM,0.00125,3.74634,11.11415,9.1161,2.2478
NREM,0.00125,4.49561,11.61366,9.74049,2.37268
NREM,0.00054,4.87024,11.61366,9.36585,3.37171
NREM,0.00111,4.87024,11.86341,10.36488,3.24683
NREM,0.00102,4.74537,11.61366,9.36585,4.74537
NREM,0.001,4.24585,11.86341,9.36585,2.74732
NREM,0.00114,3.74634,11.3639,8.49171,2.2478
NREM,0.00099,4.24585,11.61366,9.86537,3.24683
NREM,0.00147,4.24585,11.3639,9.74049,3.12195
NREM,0.00064,5.12,11.98829,10.36488,5.49463
NREM,0.001,4.74537,12.23805,10.61463,3.37171
NREM,0.00113,4.62049,11.23902,9.36585,3.49659
NREM,0.00086,4.87024,11.86341,9.99024,4.99512
NREM,0.00115,4.37073,11.11415,8.99122,2.37268
NREM,0.00082,4.37073,11.11415,9.1161,3.49659
NREM,0.00141,4.87024,11.48878,10.48976,2.8722
NREM,0.00128,4.74537,11.48878,9.49073,3.49659
NREM,0.00119,5.12,11.23902,10.24,2.49756
NREM,0.00115,5.49463,11.98829,10.86439,4.37073
NREM,0.00146,4.12098,10.98927,8.99122,2.99707
NREM,0.00151,4.37073,10.98927,9.49073,2.74732
NREM,0.00092,4.87024,11.11415,9.24098,4.49561
NREM,0.00144,5.61951,11.23902,9.99024,6.2439
NREM,0.00095,4.74537,11.23902,9.36585,2.99707
NREM,0.002,4.62049,11.48878,9.36585,2.12293
NREM,0.00135,4.37073,10.98927,9.86537,3.74634
NREM,0.00168,4.37073,10.86439,9.86537,2.62244
NREM,0.00136,4.74537,11.61366,10.24,3.12195
NREM,0.00193,4.12098,11.23902,8.61659,2.74732
NREM,0.00121,4.87024,11.73854,10.36488,2.49756
NREM,0.00148,3.9961,11.11415,8.61659,3.74634
REM,0.00096,3.74634,11.73854,8.24195,2.2478
REM,0.00079,4.74537,11.98829,9.74049,2.99707
REM,0.00059,5.12,11.11415,9.49073,5.12
REM,0.00062,5.49463,11.86341,9.61561,5.86927
REM,0.00049,4.62049,10.98927,9.36585,4.37073
REM,0.00044,5.86927,12.36293,9.86537,3.24683
REM,0.00046,4.99512,11.61366,9.36585,3.62146
REM,0.00045,5.36976,11.3639,9.1161,3.12195
REM,0.00061,4.49561,10.73951,8.61659,3.24683
REM,0.00054,5.61951,11.3639,8.99122,5.74439
REM,0.00053,5.86927,11.11415,9.24098,5.74439
REM,0.00056,5.12,11.48878,9.49073,3.74634
REM,0.00059,5.36976,10.73951,8.74146,5.74439
REM,0.00057,5.61951,10.86439,8.99122,3.74634
REM,0.00062,4.74537,10.98927,8.86634,4.62049
REM,0.00059,4.87024,10.61463,8.36683,4.37073
REM,0.00049,4.74537,11.11415,8.74146,4.12098
REM,0.00052,5.36976,10.73951,9.1161,3.9961
REM,0.00055,5.12,11.11415,8.99122,3.49659
REM,0.00051,5.36976,11.73854,9.36585,4.99512
REM,0.00056,4.99512,10.86439,8.61659,3.49659
REM,0.00052,4.74537,10.61463,8.61659,3.62146
REM,0.00045,5.36976,10.86439,9.36585,5.36976
REM,0.00061,4.62049,10.11512,8.49171,2.99707
REM,0.00047,5.12,10.98927,8.99122,3.9961
REM,0.0005,5.24488,10.98927,8.99122,5.49463
REM,0.00047,4.99512,10.86439,8.86634,4.49561
REM,0.00061,5.99415,9.86537,8.61659,5.86927
REM,0.00056,5.36976,10.24,8.61659,3.87122
REM,0.00071,5.12,10.73951,8.49171,5.36976
REM,0.00043,5.49463,10.73951,8.99122,5.61951
REM,0.00048,5.49463,11.23902,9.1161,3.49659
REM,0.00057,5.36976,11.73854,9.49073,4.62049
NREM,0.00113,3.9961,10.98927,8.74146,2.2478
NREM,0.00046,5.36976,12.4878,10.36488,2.8722
NREM,0.00095,4.24585,12.23805,10.48976,4.37073
NREM,0.00142,4.37073,11.11415,9.36585,2.37268
NREM,0.00079,4.99512,11.73854,9.36585,5.36976
NREM,0.00079,4.74537,11.3639,9.61561,2.49756
NREM,0.00071,4.99512,12.23805,10.24,2.74732
NREM,0.00077,4.99512,11.61366,10.61463,2.74732
NREM,0.00096,5.74439,12.11317,10.48976,6.49366
NREM,0.00072,4.49561,15.85951,12.98732,3.49659
NREM,0.00112,4.62049,11.73854,9.74049,1.62341
NREM,0.00062,4.87024,12.11317,9.86537,4.99512
NREM,0.00065,5.61951,12.23805,11.61366,3.62146
NREM,0.00102,5.12,11.73854,10.24,3.24683
NREM,0.0011,4.37073,11.61366,9.61561,3.12195
NREM,0.00063,4.99512,10.86439,9.36585,4.49561
NREM,0.00092,5.49463,12.36293,11.23902,3.62146
NREM,0.00084,5.36976,12.23805,11.73854,5.24488
NREM,0.00098,5.12,11.86341,10.98927,2.8722
NREM,0.00126,4.12098,11.23902,8.74146,3.24683
NREM,0.00079,4.99512,11.61366,9.86537,3.49659
NREM,0.00095,5.24488,11.3639,9.24098,4.12098
NREM,0.00135,3.9961,11.11415,8.49171,4.12098
NREM,0.00085,4.87024,11.73854,9.61561,2.99707
NREM,0.001,5.74439,12.11317,11.23902,5.12
NREM,0.00111,5.36976,11.86341,10.98927,2.8722
NREM,0.00114,5.49463,11.86341,10.98927,5.36976
NREM,0.00084,5.36976,11.61366,10.61463,3.74634
NREM,0.00128,5.24488,11.61366,10.61463,2.99707
NREM,0.00123,5.24488,11.23902,10.24,2.62244
NREM,0.0014,5.36976,11.3639,10.86439,4.49561
NREM,0.00107,5.12,11.3639,9.99024,5.36976
NREM,0.00123,4.87024,10.73951,9.74049,4.99512
NREM,0.00109,5.12,11.73854,10.24,3.12195
NREM,0.00143,4.87024,11.11415,10.24,4.87024
NREM,0.00101,4.49561,11.23902,9.36585,4.49561
NREM,0.00103,4.87024,11.23902,9.61561,5.12
NREM,0.00137,4.74537,11.61366,9.86537,4.87024
NREM,0.00126,4.74537,10.86439,9.74049,3.49659
NREM,0.0015,4.49561,10.86439,9.74049,3.74634
NREM,0.0015,4.49561,10.73951,9.1161,4.49561
NREM,0.0015,3.9961,10.73951,9.24098,3.49659
NREM,0.00144,4.24585,10.11512,9.24098,2.37268
NREM,0.00094,4.62049,11.61366,8.99122,4.37073
NREM,0.00145,4.37073,11.86341,10.61463,3.12195
NREM,0.00119,4.49561,10.86439,9.36585,4.24585
NREM,0.00127,4.62049,11.23902,9.86537,3.37171
NREM,0.0012,4.74537,10.98927,9.61561,3.62146
NREM,0.00131,4.62049,11.11415,9.74049,2.8722
NREM,0.00105,4.87024,10.86439,9.61561,4.99512
NREM,0.00125,4.87024,10.98927,10.24,3.37171
NREM,0.00137,4.49561,11.23902,10.11512,3.74634
NREM,0.00121,4.24585,10.36488,8.11707,2.99707
NREM,0.00116,4.49561,10.98927,9.36585,3.74634
NREM,0.00133,4.49561,10.98927,8.86634,6.11902
NREM,0.00124,4.37073,11.23902,9.99024,3.87122
NREM,0.00165,4.12098,10.73951,9.49073,2.99707
NREM,0.00117,4.62049,10.98927,10.11512,2.99707
NREM,0.00113,4.24585,10.86439,8.61659,2.74732
NREM,0.00132,4.37073,10.98927,9.86537,4.24585
NREM,0.00144,4.12098,10.86439,9.1161,3.87122
NREM,0.00125,4.62049,11.11415,9.1161,5.36976
NREM,0.00119,4.37073,10.73951,9.49073,4.49561
NREM,0.00198,4.62049,10.86439,9.99024,4.74537
NREM,0.00193,4.87024,12.23805,9.86537,2.8722
NREM,0.00086,4.74537,10.73951,9.24098,2.62244
NREM,0.00097,4.87024,11.73854,10.11512,3.9961
NREM,0.0042,2.62244,10.11512,7.11805,2.2478
NREM,0.00114,4.74537,11.98829,9.74049,3.74634
NREM,0.00069,5.61951,11.98829,10.73951,2.74732
NREM,0.00116,5.36976,11.48878,9.86537,3.24683
NREM,0.00082,5.12,12.23805,10.73951,2.99707
NREM,0.00108,5.61951,11.98829,10.11512,3.12195
NREM,0.00109,5.36976,11.86341,10.24,2.99707
NREM,0.00104,5.49463,11.86341,9.99024,5.49463
NREM,0.00141,4.99512,11.98829,10.11512,2.74732
NREM,0.0015,5.12,11.48878,9.74049,5.24488
NREM,0.00156,4.37073,11.48878,9.49073,2.37268
NREM,0.00131,4.74537,11.23902,9.49073,3.87122
NREM,0.00113,5.24488,11.48878,9.36585,4.62049
NREM,0.00106,4.62049,11.3639,9.61561,3.12195
NREM,0.00135,4.99512,11.61366,10.11512,4.12098
NREM,0.0017,4.62049,10.86439,9.61561,3.37171
NREM,0.00174,3.74634,10.73951,8.36683,2.99707
NREM,0.00212,4.24585,13.73659,9.1161,3.37171
NREM,0.00134,4.24585,10.61463,9.36585,2.99707
NREM,0.0018,4.49561,11.3639,8.86634,2.8722
NREM,0.00078,5.24488,11.86341,9.49073,3.12195
NREM,0.0011,6.11902,12.11317,11.48878,6.11902
NREM,0.00103,4.99512,11.3639,9.36585,3.12195
NREM,0.00151,4.99512,11.61366,10.24,3.24683
NREM,0.00103,4.99512,11.98829,10.73951,3.74634
NREM,0.00116,5.12,11.61366,9.99024,2.99707
NREM,0.0017,4.12098,10.86439,8.74146,4.99512
NREM,0.00128,4.74537,11.61366,9.49073,4.87024
NREM,0.00123,4.87024,11.73854,9.99024,4.37073
NREM,0.00115,4.87024,11.11415,9.36585,4.49561
NREM,0.00115,4.62049,10.98927,9.86537,2.74732
NREM,0.00129,4.62049,11.11415,9.24098,2.99707
NREM,0.00132,5.12,11.48878,9.99024,5.36976
NREM,0.00143,4.49561,10.98927,9.1161,4.49561
NREM,0.00114,4.99512,10.98927,9.49073,4.87024
NREM,0.00116,4.62049,10.98927,9.74049,3.9961
NREM,0.00151,3.9961,10.98927,9.1161,2.99707
NREM,0.0014,4.49561,10.73951,9.61561,4.49561
NREM,0.00138,4.62049,10.73951,9.74049,6.2439
NREM,0.00141,4.37073,11.3639,9.61561,4.24585
NREM,0.0013,4.74537,10.61463,8.99122,5.12
NREM,0.00142,4.49561,10.86439,9.49073,3.24683
NREM,0.00144,4.74537,10.86439,9.49073,4.99512
NREM,0.00147,4.62049,10.73951,9.1161,2.99707
NREM,0.00135,4.49561,11.11415,9.36585,3.74634
NREM,0.00131,4.62049,10.73951,8.99122,3.87122
NREM,0.00207,4.49561,10.48976,9.74049,1.62341
NREM,0.00139,4.37073,10.24,8.24195,3.24683
NREM,0.00101,5.49463,10.73951,9.99024,5.49463
NREM,0.00115,5.12,11.3639,9.74049,5.24488
NREM,0.00188,3.9961,11.3639,9.1161,2.2478
NREM,0.00195,3.74634,11.48878,8.74146,3.12195
NREM,0.00072,5.86927,12.36293,10.48976,5.12
NREM,0.0007,4.24585,11.23902,8.99122,3.74634
NREM,0.00084,5.49463,11.86341,11.11415,3.9961
NREM,0.00117,4.62049,11.48878,9.74049,2.8722
NREM,0.00126,4.62049,11.73854,9.86537,4.49561
NREM,0.00172,4.87024,11.3639,10.36488,2.99707
NREM,0.00163,4.12098,11.23902,8.74146,2.2478
NREM,0.00184,3.62146,11.11415,8.24195,3.12195
NREM,0.00167,3.74634,11.11415,8.11707,2.62244
REM,0.00082,4.87024,11.11415,8.74146,3.37171
REM,0.00105,5.12,10.61463,8.36683,5.86927
REM,0.00096,4.87024,10.98927,8.74146,5.49463
REM,0.00092,5.12,11.11415,8.86634,4.49561
REM,0.00068,4.99512,10.73951,8.86634,3.62146
REM,0.00089,5.49463,10.48976,8.61659,5.61951
REM,0.00082,4.99512,10.73951,8.49171,3.24683
REM,0.00066,5.12,11.11415,8.86634,4.62049
REM,0.00079,4.87024,10.86439,8.61659,3.9961
REM,0.00062,5.12,10.61463,8.61659,2.8722
REM,0.0007,5.61951,10.24,8.74146,6.74341
REM,0.00081,5.36976,10.24,8.49171,5.86927
REM,0.00048,5.61951,10.98927,9.24098,5.74439
REM,0.00051,5.61951,11.3639,9.24098,5.74439
REM,0.00072,5.12,10.61463,8.99122,3.9961
REM,0.00054,5.49463,10.98927,8.86634,3.62146
REM,0.00062,4.74537,10.11512,8.49171,3.49659
REM,0.0007,4.49561,10.24,8.49171,2.49756
REM,0.00049,5.49463,10.86439,8.86634,3.87122
REM,0.00062,5.24488,11.11415,8.86634,4.37073
REM,0.00057,5.12,10.98927,8.86634,5.24488
REM,0.00054,5.24488,10.73951,8.86634,4.24585
REM,0.00062,4.99512,10.98927,8.74146,4.87024
REM,0.00078,4.37073,9.99024,8.11707,3.62146
REM,0.00059,4.99512,10.98927,8.74146,4.37073
REM,0.00045,5.36976,10.86439,9.1161,4.74537
REM,0.00072,5.49463,11.86341,9.1161,5.12
REM,0.0012,4.12098,11.23902,8.49171,2.49756
REM,0.00068,5.49463,9.99024,8.61659,5.24488
REM,0.00086,5.24488,10.86439,8.49171,4.37073
REM,0.00072,6.2439,10.73951,8.86634,7.61756
REM,0.00064,5.24488,10.36488,8.99122,5.61951
REM,0.00068,4.74537,10.73951,8.86634,4.37073
REM,0.00053,5.24488,10.86439,8.74146,5.12
REM,0.00089,4.49561,11.48878,8.61659,4.62049
REM,0.00079,4.99512,10.11512,8.61659,3.24683
REM,0.00053,5.24488,11.23902,8.86634,5.36976
REM,0.00066,5.12,10.86439,8.99122,5.36976
REM,0.00053,5.36976,11.11415,9.1161,4.37073
REM,0.00052,4.87024,10.86439,8.86634,3.37171
REM,0.00058,5.12,10.61463,8.86634,3.87122
REM,0.00074,4.62049,10.36488,8.74146,2.74732
REM,0.00053,5.49463,10.73951,9.1161,3.24683
REM,0.00063,4.99512,10.48976,8.61659,3.49659
REM,0.00051,5.61951,11.11415,9.24098,5.74439
REM,0.0006,5.24488,11.3639,9.49073,4.99512
REM,0.00061,5.61951,10.48976,8.49171,6.74341
REM,0.00108,3.74634,9.86537,7.61756,3.49659
REM,0.00062,4.87024,11.11415,9.1161,2.8722
REM,0.00081,4.62049,10.24,8.24195,4.74537
REM,0.00048,5.61951,11.3639,9.61561,6.11902
REM,0.00061,4.49561,10.86439,8.74146,4.24585
NREM,0.00037,5.99415,13.61171,10.73951,5.86927
NREM,0.00041,5.86927,12.11317,9.61561,3.74634
NREM,0.00039,6.2439,12.86244,11.11415,5.74439
NREM,0.00044,5.74439,12.61268,10.24,4.99512
NREM,0.0005,5.86927,12.23805,9.49073,5.99415
NREM,0.00032,6.49366,13.98634,12.11317,6.99317
NREM,0.00034,5.49463,12.11317,10.11512,3.87122
NREM,0.00079,4.74537,11.3639,8.74146,3.12195
NREM,0.0005,5.36976,11.61366,9.49073,5.49463
NREM,0.00129,4.74537,12.61268,9.99024,2.99707
NREM,0.00051,5.24488,13.86146,10.98927,4.37073
NREM,0.00056,5.24488,12.36293,10.11512,5.74439
NREM,0.00042,5.99415,12.73756,10.36488,5.99415
NREM,0.00045,5.61951,12.73756,10.36488,2.99707
NREM,0.00063,4.99512,12.61268,11.11415,4.74537
NREM,0.00039,5.24488,12.98732,10.36488,3.74634
NREM,0.00046,5.24488,12.4878,10.11512,5.36976
NREM,0.00051,5.74439,12.86244,10.98927,5.24488
NREM,0.00025,5.49463,12.86244,10.86439,4.62049
NREM,0.00043,4.87024,11.73854,9.61561,4.62049
NREM,0.00063,4.74537,11.73854,9.36585,2.2478
NREM,0.00066,4.49561,11.73854,9.61561,2.8722
NREM,0.00101,4.87024,11.98829,10.48976,1.87317
NREM,0.00083,4.74537,12.36293,10.48976,3.9961
NREM,0.00059,4.99512,12.73756,11.73854,3.74634
NREM,0.00112,3.9961,12.23805,9.99024,3.12195
NREM,0.00058,4.87024,11.61366,9.99024,2.8722
NREM,0.00061,4.74537,11.86341,9.74049,3.9961
NREM,0.00098,4.12098,11.11415,9.74049,2.37268
NREM,0.00116,4.37073,12.23805,11.48878,3.62146
NREM,0.00059,4.99512,12.11317,10.48976,5.12
NREM,0.00113,3.9961,11.48878,10.11512,2.49756
NREM,0.00078,5.49463,12.4878,11.98829,5.24488
NREM,0.00053,5.74439,12.4878,11.3639,3.74634
NREM,0.00038,5.61951,13.23707,10.86439,3.12195
NREM,0.0005,5.74439,13.23707,11.98829,3.12195
NREM,0.00048,4.99512,12.61268,10.11512,5.61951
NREM,0.00065,5.24488,11.73854,9.74049,2.99707
NREM,0.00076,5.49463,12.4878,10.98927,2.49756
NREM,0.00087,4.12098,11.86341,9.74049,3.24683
NREM,0.00063,5.61951,12.36293,11.23902,5.36976
NREM,0.0008,5.12,12.36293,10.98927,4.87024
NREM,0.00117,4.74537,11.73854,9.61561,4.62049
NREM,0.00084,4.99512,11.86341,9.36585,3.62146
NREM,0.00066,5.49463,12.4878,11.98829,5.24488
NREM,0.00085,5.61951,12.23805,10.98927,5.86927
NREM,0.00072,5.12,12.36293,10.48976,3.24683
NREM,0.00085,4.74537,11.86341,9.1161,3.24683
NREM,0.00091,5.24488,11.73854,10.24,5.24488
NREM,0.00103,5.49463,11.98829,9.99024,5.24488
NREM,0.0009,5.36976,12.11317,10.73951,5.24488
NREM,0.0011,5.12,11.61366,9.86537,5.86927
NREM,0.00138,5.36976,12.11317,11.11415,4.49561
NREM,0.00111,4.87024,11.3639,9.61561,5.24488
NREM,0.00124,4.99512,12.11317,10.48976,3.24683
NREM,0.0009,5.12,11.86341,10.61463,3.24683
NREM,0.00114,4.99512,11.73854,9.74049,5.74439
NREM,0.0009,4.62049,10.98927,9.24098,4.49561
NREM,0.00104,4.74537,11.48878,9.49073,2.8722
NREM,0.00098,5.12,11.61366,10.24,3.74634
NREM,0.00126,5.12,11.61366,10.48976,2.99707
NREM,0.00109,4.74537,10.86439,9.1161,5.12
NREM,0.00104,4.24585,11.73854,10.24,3.37171
NREM,0.00111,4.62049,11.11415,9.1161,4.49561
NREM,0.00103,5.12,11.11415,10.24,3.49659
NREM,0.00121,4.62049,11.23902,10.24,2.99707
NREM,0.00108,4.62049,10.98927,9.1161,3.49659
NREM,0.00092,4.87024,11.61366,9.99024,2.8722
NREM,0.00101,4.49561,10.98927,9.99024,2.12293
